date,month,city,day,temp,year
1966-05-01,Mayo,Barcelona,1,24.8,1966
2005-05-01,Mayo,Barcelona,1,24.3,2005
1994-05-01,Mayo,Barcelona,1,23.8,1994
2003-05-01,Mayo,Barcelona,1,22.2,2003
2014-05-01,Mayo,Barcelona,1,21.7,2014
1983-05-01,Mayo,Barcelona,1,21.4,1983
1996-05-01,Mayo,Barcelona,1,21.4,1996
2016-05-01,Mayo,Barcelona,1,21.1,2016
1963-05-01,Mayo,Barcelona,1,21,1963
2010-05-01,Mayo,Barcelona,1,20.8,2010
2015-05-02,Mayo,Barcelona,2,23.7,2015
1994-05-02,Mayo,Barcelona,2,23.6,1994
1966-05-02,Mayo,Barcelona,2,23.4,1966
2003-05-02,Mayo,Barcelona,2,23.2,2003
2016-05-02,Mayo,Barcelona,2,23.1,2016
1979-05-02,Mayo,Barcelona,2,21.6,1979
1950-05-02,Mayo,Barcelona,2,21.5,1950
1985-05-02,Mayo,Barcelona,2,21.5,1985
1975-05-02,Mayo,Barcelona,2,21.4,1975
2005-05-02,Mayo,Barcelona,2,21.3,2005
2015-05-03,Mayo,Barcelona,3,26.1,2015
2014-05-03,Mayo,Barcelona,3,24.4,2014
2018-05-03,Mayo,Barcelona,3,23.6,2018
2009-05-03,Mayo,Barcelona,3,23.5,2009
2000-05-03,Mayo,Barcelona,3,22.7,2000
2008-05-03,Mayo,Barcelona,3,22.7,2008
1975-05-03,Mayo,Barcelona,3,22.6,1975
1995-05-03,Mayo,Barcelona,3,22.4,1995
1962-05-03,Mayo,Barcelona,3,22,1962
2005-05-03,Mayo,Barcelona,3,21.8,2005
1972-05-04,Mayo,Barcelona,4,23.2,1972
2003-05-04,Mayo,Barcelona,4,22.8,2003
2008-05-04,Mayo,Barcelona,4,22.8,2008
2005-05-04,Mayo,Barcelona,4,22.6,2005
1981-05-04,Mayo,Barcelona,4,22.5,1981
1990-05-04,Mayo,Barcelona,4,22.5,1990
2009-05-04,Mayo,Barcelona,4,22.5,2009
1953-05-04,Mayo,Barcelona,4,22,1953
1964-05-04,Mayo,Barcelona,4,22,1964
1997-05-04,Mayo,Barcelona,4,22,1997
2015-05-05,Mayo,Barcelona,5,28.9,2015
1997-05-05,Mayo,Barcelona,5,28,1997
1999-05-05,Mayo,Barcelona,5,25.4,1999
1953-05-05,Mayo,Barcelona,5,23.6,1953
1995-05-05,Mayo,Barcelona,5,23.4,1995
2012-05-05,Mayo,Barcelona,5,23.4,2012
2006-05-05,Mayo,Barcelona,5,23.3,2006
2019-05-05,Mayo,Barcelona,5,23.3,2019
2008-05-05,Mayo,Barcelona,5,23.1,2008
2007-05-05,Mayo,Barcelona,5,22.6,2007
2017-05-06,Mayo,Barcelona,6,26.6,2017
1995-05-06,Mayo,Barcelona,6,24.2,1995
1999-05-06,Mayo,Barcelona,6,24,1999
2007-05-06,Mayo,Barcelona,6,23.8,2007
1989-05-06,Mayo,Barcelona,6,23.6,1989
1997-05-06,Mayo,Barcelona,6,23.5,1997
1953-05-06,Mayo,Barcelona,6,23.4,1953
1969-05-06,Mayo,Barcelona,6,23.2,1969
2015-05-06,Mayo,Barcelona,6,23.2,2015
2006-05-06,Mayo,Barcelona,6,23.1,2006
2013-05-07,Mayo,Barcelona,7,25.5,2013
1962-05-07,Mayo,Barcelona,7,24,1962
2007-05-07,Mayo,Barcelona,7,23.8,2007
2006-05-07,Mayo,Barcelona,7,23.6,2006
1989-05-07,Mayo,Barcelona,7,23.2,1989
1960-05-07,Mayo,Barcelona,7,23,1960
1961-05-07,Mayo,Barcelona,7,23,1961
1976-05-07,Mayo,Barcelona,7,23,1976
1988-05-07,Mayo,Barcelona,7,23,1988
1966-05-07,Mayo,Barcelona,7,22.8,1966
2014-05-08,Mayo,Barcelona,8,24,2014
2015-05-08,Mayo,Barcelona,8,23.9,2015
1962-05-08,Mayo,Barcelona,8,23.6,1962
1980-05-08,Mayo,Barcelona,8,23.4,1980
2011-05-08,Mayo,Barcelona,8,23.2,2011
1971-05-08,Mayo,Barcelona,8,23,1971
2013-05-08,Mayo,Barcelona,8,23,2013
2007-05-08,Mayo,Barcelona,8,22.9,2007
2006-05-08,Mayo,Barcelona,8,22.4,2006
2012-05-08,Mayo,Barcelona,8,22.3,2012
1995-05-09,Mayo,Barcelona,9,27,1995
1969-05-09,Mayo,Barcelona,9,25.4,1969
1956-05-09,Mayo,Barcelona,9,25.2,1956
2003-05-09,Mayo,Barcelona,9,24.2,2003
2015-05-09,Mayo,Barcelona,9,23.8,2015
1962-05-09,Mayo,Barcelona,9,23.2,1962
1997-05-09,Mayo,Barcelona,9,23.2,1997
2000-05-09,Mayo,Barcelona,9,23.2,2000
1958-05-09,Mayo,Barcelona,9,23,1958
1971-05-09,Mayo,Barcelona,9,23,1971
2012-05-10,Mayo,Barcelona,10,24.2,2012
1956-05-10,Mayo,Barcelona,10,24,1956
2015-05-10,Mayo,Barcelona,10,23.8,2015
2007-05-10,Mayo,Barcelona,10,23.7,2007
1995-05-10,Mayo,Barcelona,10,23.6,1995
