date,month,city,day,temp,year
1958-05-01,Mayo,Donostia,1,28.5,1958
2005-05-01,Mayo,Donostia,1,27.9,2005
1966-05-01,Mayo,Donostia,1,24.5,1966
2003-05-01,Mayo,Donostia,1,24.4,2003
1987-05-01,Mayo,Donostia,1,23.8,1987
1997-05-01,Mayo,Donostia,1,23.4,1997
2011-05-01,Mayo,Donostia,1,22.4,2011
1973-05-01,Mayo,Donostia,1,22,1973
1999-05-01,Mayo,Donostia,1,21.6,1999
1969-05-01,Mayo,Donostia,1,21.5,1969
1997-05-02,Mayo,Donostia,2,27.4,1997
2006-05-02,Mayo,Donostia,2,27,2006
2005-05-02,Mayo,Donostia,2,25.1,2005
2015-05-02,Mayo,Donostia,2,24.2,2015
1973-05-02,Mayo,Donostia,2,23.9,1973
1958-05-02,Mayo,Donostia,2,23.4,1958
1966-05-02,Mayo,Donostia,2,23.4,1966
2012-05-02,Mayo,Donostia,2,23.2,2012
1990-05-02,Mayo,Donostia,2,22.4,1990
2008-05-02,Mayo,Donostia,2,22.4,2008
2008-05-03,Mayo,Donostia,3,29,2008
2006-05-03,Mayo,Donostia,3,25.4,2006
1970-05-03,Mayo,Donostia,3,25.1,1970
2012-05-03,Mayo,Donostia,3,24.7,2012
2000-05-03,Mayo,Donostia,3,24.6,2000
2015-05-03,Mayo,Donostia,3,24.3,2015
1995-05-03,Mayo,Donostia,3,23.2,1995
1958-05-03,Mayo,Donostia,3,23,1958
1973-05-03,Mayo,Donostia,3,22.9,1973
1968-05-03,Mayo,Donostia,3,22.4,1968
1958-05-04,Mayo,Donostia,4,29,1958
2003-05-04,Mayo,Donostia,4,28.6,2003
2015-05-04,Mayo,Donostia,4,28.2,2015
1989-05-04,Mayo,Donostia,4,26.8,1989
1995-05-04,Mayo,Donostia,4,26.4,1995
1961-05-04,Mayo,Donostia,4,26.1,1961
1970-05-04,Mayo,Donostia,4,25,1970
1973-05-04,Mayo,Donostia,4,24.6,1973
1997-05-04,Mayo,Donostia,4,24.6,1997
2008-05-04,Mayo,Donostia,4,23,2008
1995-05-05,Mayo,Donostia,5,28.2,1995
2014-05-05,Mayo,Donostia,5,26.9,2014
1976-05-05,Mayo,Donostia,5,26.8,1976
2016-05-05,Mayo,Donostia,5,26.8,2016
2017-05-05,Mayo,Donostia,5,26,2017
1990-05-05,Mayo,Donostia,5,25.4,1990
1956-05-05,Mayo,Donostia,5,25,1956
1983-05-05,Mayo,Donostia,5,25,1983
1996-05-05,Mayo,Donostia,5,24.4,1996
1989-05-05,Mayo,Donostia,5,23.8,1989
1964-05-06,Mayo,Donostia,6,29.7,1964
1962-05-06,Mayo,Donostia,6,29.5,1962
1999-05-06,Mayo,Donostia,6,26.2,1999
1971-05-06,Mayo,Donostia,6,25.5,1971
1956-05-06,Mayo,Donostia,6,24.4,1956
1989-05-06,Mayo,Donostia,6,24,1989
1990-05-06,Mayo,Donostia,6,24,1990
2013-05-06,Mayo,Donostia,6,24,2013
1976-05-06,Mayo,Donostia,6,23.8,1976
2011-05-06,Mayo,Donostia,6,23.6,2011
1958-05-07,Mayo,Donostia,7,30.3,1958
2015-05-07,Mayo,Donostia,7,28.2,2015
1962-05-07,Mayo,Donostia,7,27.8,1962
1998-05-07,Mayo,Donostia,7,26.2,1998
2008-05-07,Mayo,Donostia,7,25.6,2008
1976-05-07,Mayo,Donostia,7,24.4,1976
2012-05-07,Mayo,Donostia,7,24.3,2012
1995-05-07,Mayo,Donostia,7,24,1995
1981-05-07,Mayo,Donostia,7,23.8,1981
1988-05-07,Mayo,Donostia,7,23.8,1988
1958-05-08,Mayo,Donostia,8,29,1958
1955-05-08,Mayo,Donostia,8,26.7,1955
2012-05-08,Mayo,Donostia,8,25.4,2012
1960-05-08,Mayo,Donostia,8,24.5,1960
2015-05-08,Mayo,Donostia,8,23.1,2015
2011-05-08,Mayo,Donostia,8,22.6,2011
1998-05-08,Mayo,Donostia,8,22.2,1998
1954-05-08,Mayo,Donostia,8,22,1954
2000-05-08,Mayo,Donostia,8,22,2000
1989-05-08,Mayo,Donostia,8,21,1989
1958-05-09,Mayo,Donostia,9,31.2,1958
2012-05-09,Mayo,Donostia,9,28.6,2012
1998-05-09,Mayo,Donostia,9,26.8,1998
1999-05-09,Mayo,Donostia,9,25.6,1999
2007-05-09,Mayo,Donostia,9,25.4,2007
1987-05-09,Mayo,Donostia,9,25,1987
1967-05-09,Mayo,Donostia,9,23,1967
2016-05-09,Mayo,Donostia,9,23,2016
1959-05-09,Mayo,Donostia,9,22.3,1959
1986-05-09,Mayo,Donostia,9,21.2,1986
2012-05-10,Mayo,Donostia,10,32.2,2012
2015-05-10,Mayo,Donostia,10,31,2015
2007-05-10,Mayo,Donostia,10,26.8,2007
2017-05-10,Mayo,Donostia,10,24.8,2017
1960-05-10,Mayo,Donostia,10,24.6,1960
1999-05-10,Mayo,Donostia,10,24,1999
1986-05-10,Mayo,Donostia,10,23.6,1986
1998-05-10,Mayo,Donostia,10,23.6,1998
1980-05-10,Mayo,Donostia,10,23,1980
2009-05-10,Mayo,Donostia,10,23,2009
1964-05-11,Mayo,Donostia,11,28.4,1964
1999-05-11,Mayo,Donostia,11,28.4,1999
1980-05-11,Mayo,Donostia,11,27,1980
1969-05-11,Mayo,Donostia,11,26.5,1969
2009-05-11,Mayo,Donostia,11,25.5,2009
1960-05-11,Mayo,Donostia,11,25.2,1960
1982-05-11,Mayo,Donostia,11,25,1982
2018-05-11,Mayo,Donostia,11,25,2018
2007-05-11,Mayo,Donostia,11,24,2007
1950-05-11,Mayo,Donostia,11,23.8,1950
1969-05-12,Mayo,Donostia,12,28.3,1969
2001-05-12,Mayo,Donostia,12,27,2001
1990-05-12,Mayo,Donostia,12,26.8,1990
1982-05-12,Mayo,Donostia,12,26.4,1982
1953-05-12,Mayo,Donostia,12,24.2,1953
1960-05-12,Mayo,Donostia,12,24,1960
1964-05-12,Mayo,Donostia,12,23.4,1964
1967-05-12,Mayo,Donostia,12,23.4,1967
2007-05-12,Mayo,Donostia,12,23.4,2007
1965-05-12,Mayo,Donostia,12,23,1965
1992-05-13,Mayo,Donostia,13,30,1992
1961-05-13,Mayo,Donostia,13,29,1961
1969-05-13,Mayo,Donostia,13,28.1,1969
2015-05-13,Mayo,Donostia,13,26,2015
1967-05-13,Mayo,Donostia,13,25.2,1967
2007-05-13,Mayo,Donostia,13,24.9,2007
1965-05-13,Mayo,Donostia,13,24.7,1965
1982-05-13,Mayo,Donostia,13,24.6,1982
2008-05-13,Mayo,Donostia,13,23.9,2008
1973-05-13,Mayo,Donostia,13,23.8,1973
1973-05-14,Mayo,Donostia,14,28.4,1973
1965-05-14,Mayo,Donostia,14,27.7,1965
2006-05-14,Mayo,Donostia,14,27.6,2006
1992-05-14,Mayo,Donostia,14,26.8,1992
2000-05-14,Mayo,Donostia,14,26,2000
1990-05-14,Mayo,Donostia,14,23.8,1990
1960-05-14,Mayo,Donostia,14,22.2,1960
1957-05-14,Mayo,Donostia,14,22.1,1957
2001-05-14,Mayo,Donostia,14,21.8,2001
1979-05-14,Mayo,Donostia,14,21.6,1979
1974-05-15,Mayo,Donostia,15,29.4,1974
2002-05-15,Mayo,Donostia,15,29.4,2002
1953-05-15,Mayo,Donostia,15,28,1953
1952-05-15,Mayo,Donostia,15,27.9,1952
1973-05-15,Mayo,Donostia,15,27.7,1973
1979-05-15,Mayo,Donostia,15,27,1979
2017-05-15,Mayo,Donostia,15,26.5,2017
1997-05-15,Mayo,Donostia,15,25.2,1997
1992-05-15,Mayo,Donostia,15,25,1992
1961-05-15,Mayo,Donostia,15,24,1961
2002-05-16,Mayo,Donostia,16,31.2,2002
1992-05-16,Mayo,Donostia,16,29.4,1992
1952-05-16,Mayo,Donostia,16,27.6,1952
1953-05-16,Mayo,Donostia,16,27,1953
1993-05-16,Mayo,Donostia,16,25.2,1993
1964-05-16,Mayo,Donostia,16,25,1964
1955-05-16,Mayo,Donostia,16,24.9,1955
2017-05-16,Mayo,Donostia,16,24.4,2017
1973-05-16,Mayo,Donostia,16,23.8,1973
1986-05-16,Mayo,Donostia,16,23,1986
2006-05-17,Mayo,Donostia,17,32.5,2006
1964-05-17,Mayo,Donostia,17,31,1964
1986-05-17,Mayo,Donostia,17,28,1986
1992-05-17,Mayo,Donostia,17,27.4,1992
1993-05-17,Mayo,Donostia,17,25.6,1993
1990-05-17,Mayo,Donostia,17,25,1990
2002-05-17,Mayo,Donostia,17,24.6,2002
2012-05-17,Mayo,Donostia,17,24,2012
2003-05-17,Mayo,Donostia,17,23.4,2003
1950-05-17,Mayo,Donostia,17,22.3,1950
2004-05-18,Mayo,Donostia,18,26.6,2004
1992-05-18,Mayo,Donostia,18,26.2,1992
1981-05-18,Mayo,Donostia,18,26,1981
2014-05-18,Mayo,Donostia,18,25.7,2014
1953-05-18,Mayo,Donostia,18,25,1953
1997-05-18,Mayo,Donostia,18,23.6,1997
2003-05-18,Mayo,Donostia,18,23.2,2003
1989-05-18,Mayo,Donostia,18,22.4,1989
1964-05-18,Mayo,Donostia,18,20,1964
2011-05-18,Mayo,Donostia,18,19.6,2011
1986-05-19,Mayo,Donostia,19,29,1986
1958-05-19,Mayo,Donostia,19,27.6,1958
2004-05-19,Mayo,Donostia,19,27,2004
1981-05-19,Mayo,Donostia,19,26.4,1981
1997-05-19,Mayo,Donostia,19,24.2,1997
1950-05-19,Mayo,Donostia,19,23.5,1950
2003-05-19,Mayo,Donostia,19,22.5,2003
1989-05-19,Mayo,Donostia,19,22.4,1989
2005-05-19,Mayo,Donostia,19,22.4,2005
2014-05-19,Mayo,Donostia,19,21.3,2014
2002-05-20,Mayo,Donostia,20,28.9,2002
1989-05-20,Mayo,Donostia,20,28.4,1989
2004-05-20,Mayo,Donostia,20,27.6,2004
1950-05-20,Mayo,Donostia,20,26.5,1950
1953-05-20,Mayo,Donostia,20,26.1,1953
1975-05-20,Mayo,Donostia,20,22.6,1975
1981-05-20,Mayo,Donostia,20,22.4,1981
2016-05-20,Mayo,Donostia,20,21.5,2016
1998-05-20,Mayo,Donostia,20,21.2,1998
1973-05-20,Mayo,Donostia,20,20.8,1973
2006-05-21,Mayo,Donostia,21,28.5,2006
2017-05-21,Mayo,Donostia,21,27.7,2017
2016-05-21,Mayo,Donostia,21,26,2016
2002-05-21,Mayo,Donostia,21,25.9,2002
1989-05-21,Mayo,Donostia,21,25.6,1989
1950-05-21,Mayo,Donostia,21,24.8,1950
1966-05-21,Mayo,Donostia,21,24.5,1966
1972-05-21,Mayo,Donostia,21,24.4,1972
1967-05-21,Mayo,Donostia,21,24,1967
1951-05-21,Mayo,Donostia,21,23.4,1951
1969-05-22,Mayo,Donostia,22,26.1,1969
1988-05-22,Mayo,Donostia,22,26,1988
1995-05-22,Mayo,Donostia,22,25,1995
2003-05-22,Mayo,Donostia,22,24.9,2003
2017-05-22,Mayo,Donostia,22,24.6,2017
1991-05-22,Mayo,Donostia,22,24,1991
