date,month,city,day,temp,year
1994-05-01,Mayo,Logrono,1,31.4,1994
1995-05-01,Mayo,Logrono,1,29.4,1995
2005-05-01,Mayo,Logrono,1,29.4,2005
1950-05-01,Mayo,Logrono,1,27.2,1950
1987-05-01,Mayo,Logrono,1,27,1987
1985-05-01,Mayo,Logrono,1,26.8,1985
1966-05-01,Mayo,Logrono,1,26.2,1966
1997-05-01,Mayo,Logrono,1,25.4,1997
1958-05-01,Mayo,Logrono,1,25,1958
1961-05-01,Mayo,Logrono,1,24.2,1961
1994-05-02,Mayo,Logrono,2,31.2,1994
2005-05-02,Mayo,Logrono,2,29.2,2005
1987-05-02,Mayo,Logrono,2,27.6,1987
1958-05-02,Mayo,Logrono,2,26.4,1958
1964-05-02,Mayo,Logrono,2,26.4,1964
2008-05-02,Mayo,Logrono,2,26.1,2008
2006-05-02,Mayo,Logrono,2,26,2006
2000-05-02,Mayo,Logrono,2,25.6,2000
1966-05-02,Mayo,Logrono,2,25.4,1966
1973-05-02,Mayo,Logrono,2,25.4,1973
1994-05-03,Mayo,Logrono,3,29,1994
2008-05-03,Mayo,Logrono,3,28.1,2008
1964-05-03,Mayo,Logrono,3,27.4,1964
1958-05-03,Mayo,Logrono,3,27.2,1958
1961-05-03,Mayo,Logrono,3,26.2,1961
1970-05-03,Mayo,Logrono,3,26.2,1970
1982-05-03,Mayo,Logrono,3,25.6,1982
1989-05-03,Mayo,Logrono,3,25,1989
1990-05-03,Mayo,Logrono,3,25,1990
2000-05-03,Mayo,Logrono,3,24.6,2000
1961-05-04,Mayo,Logrono,4,30.6,1961
1958-05-04,Mayo,Logrono,4,29.4,1958
1964-05-04,Mayo,Logrono,4,28.2,1964
2015-05-04,Mayo,Logrono,4,27.7,2015
2003-05-04,Mayo,Logrono,4,27.6,2003
1989-05-04,Mayo,Logrono,4,27.4,1989
1995-05-04,Mayo,Logrono,4,27,1995
1997-05-04,Mayo,Logrono,4,27,1997
1976-05-04,Mayo,Logrono,4,26,1976
2008-05-04,Mayo,Logrono,4,26,2008
1989-05-05,Mayo,Logrono,5,28.6,1989
1995-05-05,Mayo,Logrono,5,28.6,1995
1955-05-05,Mayo,Logrono,5,28,1955
1966-05-05,Mayo,Logrono,5,27.6,1966
1976-05-05,Mayo,Logrono,5,26.8,1976
1953-05-05,Mayo,Logrono,5,26.6,1953
2014-05-05,Mayo,Logrono,5,26.5,2014
1990-05-05,Mayo,Logrono,5,26.4,1990
1962-05-05,Mayo,Logrono,5,26.2,1962
2011-05-05,Mayo,Logrono,5,25.9,2011
1989-05-06,Mayo,Logrono,6,30.6,1989
1964-05-06,Mayo,Logrono,6,29.4,1964
2009-05-06,Mayo,Logrono,6,29.4,2009
1995-05-06,Mayo,Logrono,6,28.4,1995
1994-05-06,Mayo,Logrono,6,28,1994
2008-05-06,Mayo,Logrono,6,27.6,2008
1958-05-06,Mayo,Logrono,6,27.4,1958
1990-05-06,Mayo,Logrono,6,27.2,1990
1950-05-06,Mayo,Logrono,6,26.8,1950
1962-05-06,Mayo,Logrono,6,26.2,1962
1958-05-07,Mayo,Logrono,7,30.6,1958
1964-05-07,Mayo,Logrono,7,30.6,1964
1989-05-07,Mayo,Logrono,7,30.4,1989
1995-05-07,Mayo,Logrono,7,29.4,1995
1962-05-07,Mayo,Logrono,7,29,1962
2009-05-07,Mayo,Logrono,7,28.8,2009
2005-05-07,Mayo,Logrono,7,28,2005
1956-05-07,Mayo,Logrono,7,27.4,1956
2018-05-07,Mayo,Logrono,7,27.1,2018
1965-05-07,Mayo,Logrono,7,27,1965
1962-05-08,Mayo,Logrono,8,31.4,1962
1965-05-08,Mayo,Logrono,8,30.2,1965
1995-05-08,Mayo,Logrono,8,29.6,1995
1958-05-08,Mayo,Logrono,8,28.6,1958
1954-05-08,Mayo,Logrono,8,28.4,1954
2005-05-08,Mayo,Logrono,8,28.2,2005
1956-05-08,Mayo,Logrono,8,28,1956
2007-05-08,Mayo,Logrono,8,28,2007
1960-05-08,Mayo,Logrono,8,27,1960
1963-05-08,Mayo,Logrono,8,26.8,1963
1965-05-09,Mayo,Logrono,9,32.2,1965
1958-05-09,Mayo,Logrono,9,30.8,1958
2007-05-09,Mayo,Logrono,9,29.2,2007
2012-05-09,Mayo,Logrono,9,28.8,2012
1960-05-09,Mayo,Logrono,9,27.6,1960
1955-05-09,Mayo,Logrono,9,27.4,1955
1992-05-09,Mayo,Logrono,9,27.4,1992
2015-05-09,Mayo,Logrono,9,27.3,2015
1956-05-09,Mayo,Logrono,9,27.2,1956
1986-05-09,Mayo,Logrono,9,27,1986
2012-05-10,Mayo,Logrono,10,31.2,2012
1986-05-10,Mayo,Logrono,10,30.6,1986
2015-05-10,Mayo,Logrono,10,30.1,2015
1965-05-10,Mayo,Logrono,10,29.4,1965
2007-05-10,Mayo,Logrono,10,29.2,2007
1992-05-10,Mayo,Logrono,10,29,1992
2014-05-10,Mayo,Logrono,10,28,2014
1977-05-10,Mayo,Logrono,10,27.4,1977
1969-05-10,Mayo,Logrono,10,27.2,1969
1954-05-10,Mayo,Logrono,10,26.1,1954
1965-05-11,Mayo,Logrono,11,33,1965
2012-05-11,Mayo,Logrono,11,32.6,2012
2015-05-11,Mayo,Logrono,11,31.1,2015
1986-05-11,Mayo,Logrono,11,30.4,1986
1969-05-11,Mayo,Logrono,11,28.8,1969
1999-05-11,Mayo,Logrono,11,28.6,1999
1954-05-11,Mayo,Logrono,11,28.4,1954
1964-05-11,Mayo,Logrono,11,27.8,1964
1979-05-11,Mayo,Logrono,11,27.8,1979
1977-05-11,Mayo,Logrono,11,27.6,1977
1965-05-12,Mayo,Logrono,12,33.2,1965
2015-05-12,Mayo,Logrono,12,32.1,2015
1986-05-12,Mayo,Logrono,12,31.2,1986
1999-05-12,Mayo,Logrono,12,30.4,1999
1979-05-12,Mayo,Logrono,12,29.6,1979
1964-05-12,Mayo,Logrono,12,29,1964
1954-05-12,Mayo,Logrono,12,28.2,1954
2007-05-12,Mayo,Logrono,12,28.2,2007
1969-05-12,Mayo,Logrono,12,28,1969
2012-05-12,Mayo,Logrono,12,28,2012
2015-05-13,Mayo,Logrono,13,32.8,2015
1992-05-13,Mayo,Logrono,13,31,1992
1965-05-13,Mayo,Logrono,13,30.4,1965
1964-05-13,Mayo,Logrono,13,30.2,1964
1961-05-13,Mayo,Logrono,13,30,1961
1999-05-13,Mayo,Logrono,13,29.4,1999
1979-05-13,Mayo,Logrono,13,28.2,1979
1952-05-13,Mayo,Logrono,13,27.4,1952
1982-05-13,Mayo,Logrono,13,27,1982
1955-05-13,Mayo,Logrono,13,26.8,1955
1965-05-14,Mayo,Logrono,14,33.8,1965
1961-05-14,Mayo,Logrono,14,32,1961
1992-05-14,Mayo,Logrono,14,29.8,1992
2019-05-14,Mayo,Logrono,14,29,2019
1964-05-14,Mayo,Logrono,14,28.8,1964
1979-05-14,Mayo,Logrono,14,28.4,1979
1990-05-14,Mayo,Logrono,14,27.4,1990
2000-05-14,Mayo,Logrono,14,27.4,2000
1974-05-14,Mayo,Logrono,14,27.2,1974
1960-05-14,Mayo,Logrono,14,27,1960
1965-05-15,Mayo,Logrono,15,32,1965
1964-05-15,Mayo,Logrono,15,31.6,1964
1961-05-15,Mayo,Logrono,15,30.4,1961
1992-05-15,Mayo,Logrono,15,30.2,1992
1953-05-15,Mayo,Logrono,15,29.6,1953
1974-05-15,Mayo,Logrono,15,29.6,1974
2017-05-15,Mayo,Logrono,15,29.3,2017
1979-05-15,Mayo,Logrono,15,28.8,1979
2019-05-15,Mayo,Logrono,15,28.8,2019
1990-05-15,Mayo,Logrono,15,28.6,1990
1953-05-16,Mayo,Logrono,16,32,1953
1965-05-16,Mayo,Logrono,16,32,1965
1992-05-16,Mayo,Logrono,16,32,1992
2017-05-16,Mayo,Logrono,16,30.9,2017
1964-05-16,Mayo,Logrono,16,30.6,1964
1990-05-16,Mayo,Logrono,16,30,1990
2000-05-16,Mayo,Logrono,16,28.8,2000
1968-05-16,Mayo,Logrono,16,28.6,1968
1979-05-16,Mayo,Logrono,16,28.4,1979
1986-05-16,Mayo,Logrono,16,28,1986
1992-05-17,Mayo,Logrono,17,33,1992
1986-05-17,Mayo,Logrono,17,32.2,1986
1952-05-17,Mayo,Logrono,17,29.4,1952
2006-05-17,Mayo,Logrono,17,29.4,2006
1953-05-17,Mayo,Logrono,17,29.2,1953
1964-05-17,Mayo,Logrono,17,29,1964
2017-05-17,Mayo,Logrono,17,28.7,2017
1956-05-17,Mayo,Logrono,17,28.6,1956
1989-05-17,Mayo,Logrono,17,28,1989
2011-05-17,Mayo,Logrono,17,27.5,2011
1964-05-18,Mayo,Logrono,18,31.8,1964
1992-05-18,Mayo,Logrono,18,30.6,1992
