date,month,city,day,temp,year
2010-05-01,Mayo,Malaga,1,29,2010
1991-05-01,Mayo,Malaga,1,28.2,1991
2002-05-01,Mayo,Malaga,1,28,2002
1953-05-01,Mayo,Malaga,1,27.6,1953
1988-05-01,Mayo,Malaga,1,26.6,1988
1961-05-01,Mayo,Malaga,1,26,1961
1962-05-01,Mayo,Malaga,1,26,1962
1965-05-01,Mayo,Malaga,1,26,1965
2009-05-01,Mayo,Malaga,1,26,2009
1995-05-01,Mayo,Malaga,1,25,1995
1967-05-02,Mayo,Malaga,2,30,1967
1973-05-02,Mayo,Malaga,2,27.6,1973
1979-05-02,Mayo,Malaga,2,27.6,1979
1955-05-02,Mayo,Malaga,2,27,1955
1962-05-02,Mayo,Malaga,2,27,1962
2010-05-02,Mayo,Malaga,2,27,2010
1981-05-02,Mayo,Malaga,2,26.4,1981
2015-05-02,Mayo,Malaga,2,26.4,2015
2014-05-02,Mayo,Malaga,2,25.8,2014
1954-05-02,Mayo,Malaga,2,25.6,1954
1965-05-03,Mayo,Malaga,3,29.4,1965
2015-05-03,Mayo,Malaga,3,29.3,2015
1953-05-03,Mayo,Malaga,3,28.6,1953
1961-05-03,Mayo,Malaga,3,28.5,1961
1962-05-03,Mayo,Malaga,3,27.8,1962
2011-05-03,Mayo,Malaga,3,27.2,2011
1955-05-03,Mayo,Malaga,3,27,1955
1987-05-03,Mayo,Malaga,3,26.6,1987
2005-05-03,Mayo,Malaga,3,26.4,2005
1967-05-03,Mayo,Malaga,3,25.6,1967
2015-05-04,Mayo,Malaga,4,31.6,2015
1997-05-04,Mayo,Malaga,4,31.2,1997
1965-05-04,Mayo,Malaga,4,29.6,1965
1981-05-04,Mayo,Malaga,4,29.2,1981
1962-05-04,Mayo,Malaga,4,29,1962
1970-05-04,Mayo,Malaga,4,28.8,1970
1961-05-04,Mayo,Malaga,4,28.6,1961
1999-05-04,Mayo,Malaga,4,26.4,1999
2005-05-04,Mayo,Malaga,4,26.2,2005
1960-05-04,Mayo,Malaga,4,25.6,1960
2019-05-05,Mayo,Malaga,5,31.6,2019
1958-05-05,Mayo,Malaga,5,29,1958
1961-05-05,Mayo,Malaga,5,28.6,1961
1997-05-05,Mayo,Malaga,5,28.4,1997
1965-05-05,Mayo,Malaga,5,28,1965
1999-05-05,Mayo,Malaga,5,27.4,1999
2015-05-05,Mayo,Malaga,5,26.9,2015
1955-05-05,Mayo,Malaga,5,26.8,1955
2006-05-05,Mayo,Malaga,5,26.4,2006
1960-05-05,Mayo,Malaga,5,26,1960
1960-05-06,Mayo,Malaga,6,32,1960
1958-05-06,Mayo,Malaga,6,29,1958
1966-05-06,Mayo,Malaga,6,29,1966
2015-05-06,Mayo,Malaga,6,28.2,2015
1962-05-06,Mayo,Malaga,6,28,1962
1955-05-06,Mayo,Malaga,6,27,1955
2019-05-06,Mayo,Malaga,6,26.3,2019
2017-05-06,Mayo,Malaga,6,26.1,2017
1970-05-06,Mayo,Malaga,6,25.6,1970
1973-05-06,Mayo,Malaga,6,25.6,1973
1999-05-07,Mayo,Malaga,7,29.8,1999
1973-05-07,Mayo,Malaga,7,29.6,1973
2007-05-07,Mayo,Malaga,7,29.6,2007
1955-05-07,Mayo,Malaga,7,29,1955
1965-05-07,Mayo,Malaga,7,28,1965
1962-05-07,Mayo,Malaga,7,27,1962
1994-05-07,Mayo,Malaga,7,27,1994
1986-05-07,Mayo,Malaga,7,26.6,1986
1978-05-07,Mayo,Malaga,7,26.4,1978
1964-05-07,Mayo,Malaga,7,26,1964
1953-05-08,Mayo,Malaga,8,34.6,1953
2005-05-08,Mayo,Malaga,8,32.6,2005
1999-05-08,Mayo,Malaga,8,30.4,1999
2019-05-08,Mayo,Malaga,8,30.3,2019
1983-05-08,Mayo,Malaga,8,29.8,1983
2015-05-08,Mayo,Malaga,8,29.5,2015
2013-05-08,Mayo,Malaga,8,29.4,2013
1978-05-08,Mayo,Malaga,8,29,1978
1969-05-08,Mayo,Malaga,8,28.4,1969
1964-05-08,Mayo,Malaga,8,28,1964
1962-05-09,Mayo,Malaga,9,33.6,1962
2013-05-09,Mayo,Malaga,9,33.6,2013
1963-05-09,Mayo,Malaga,9,32,1963
1969-05-09,Mayo,Malaga,9,31.4,1969
2005-05-09,Mayo,Malaga,9,30.8,2005
1966-05-09,Mayo,Malaga,9,30.4,1966
1965-05-09,Mayo,Malaga,9,30,1965
1983-05-09,Mayo,Malaga,9,29.6,1983
2019-05-09,Mayo,Malaga,9,29.2,2019
1958-05-09,Mayo,Malaga,9,29,1958
2013-05-10,Mayo,Malaga,10,31.6,2013
1963-05-10,Mayo,Malaga,10,31,1963
2005-05-10,Mayo,Malaga,10,31,2005
1965-05-10,Mayo,Malaga,10,30,1965
2019-05-10,Mayo,Malaga,10,29.8,2019
1960-05-10,Mayo,Malaga,10,29.6,1960
1956-05-10,Mayo,Malaga,10,29,1956
1995-05-10,Mayo,Malaga,10,29,1995
1992-05-10,Mayo,Malaga,10,28.4,1992
2015-05-10,Mayo,Malaga,10,28.1,2015
2007-05-11,Mayo,Malaga,11,33,2007
1958-05-11,Mayo,Malaga,11,32,1958
1992-05-11,Mayo,Malaga,11,30.4,1992
1952-05-11,Mayo,Malaga,11,29.6,1952
1953-05-11,Mayo,Malaga,11,29.6,1953
1972-05-11,Mayo,Malaga,11,29.6,1972
1987-05-11,Mayo,Malaga,11,29.4,1987
1965-05-11,Mayo,Malaga,11,29,1965
2019-05-11,Mayo,Malaga,11,28.7,2019
2009-05-11,Mayo,Malaga,11,28.2,2009
1955-05-12,Mayo,Malaga,12,33,1955
1977-05-12,Mayo,Malaga,12,31.8,1977
1968-05-12,Mayo,Malaga,12,31,1968
2007-05-12,Mayo,Malaga,12,31,2007
1972-05-12,Mayo,Malaga,12,30.2,1972
1989-05-12,Mayo,Malaga,12,29.6,1989
2009-05-12,Mayo,Malaga,12,28,2009
1987-05-12,Mayo,Malaga,12,27.8,1987
2012-05-12,Mayo,Malaga,12,27.4,2012
1953-05-12,Mayo,Malaga,12,27.2,1953
1999-05-13,Mayo,Malaga,13,30.6,1999
2007-05-13,Mayo,Malaga,13,29.2,2007
1987-05-13,Mayo,Malaga,13,29,1987
1977-05-13,Mayo,Malaga,13,28.4,1977
1979-05-13,Mayo,Malaga,13,27.4,1979
2001-05-13,Mayo,Malaga,13,27.4,2001
1983-05-13,Mayo,Malaga,13,27.2,1983
2012-05-13,Mayo,Malaga,13,27,2012
2009-05-13,Mayo,Malaga,13,26.8,2009
1989-05-13,Mayo,Malaga,13,26.4,1989
1999-05-14,Mayo,Malaga,14,35,1999
2015-05-14,Mayo,Malaga,14,34.9,2015
1969-05-14,Mayo,Malaga,14,31.6,1969
1955-05-14,Mayo,Malaga,14,31,1955
1986-05-14,Mayo,Malaga,14,30.2,1986
1960-05-14,Mayo,Malaga,14,28.6,1960
1953-05-14,Mayo,Malaga,14,28.2,1953
1965-05-14,Mayo,Malaga,14,28,1965
2005-05-14,Mayo,Malaga,14,27,2005
1977-05-14,Mayo,Malaga,14,26.6,1977
1955-05-15,Mayo,Malaga,15,33.2,1955
1958-05-15,Mayo,Malaga,15,30.6,1958
2015-05-15,Mayo,Malaga,15,28.6,2015
1999-05-15,Mayo,Malaga,15,28.4,1999
2009-05-15,Mayo,Malaga,15,28.4,2009
2001-05-15,Mayo,Malaga,15,28,2001
1986-05-15,Mayo,Malaga,15,27.6,1986
2019-05-15,Mayo,Malaga,15,27.4,2019
2005-05-15,Mayo,Malaga,15,27.2,2005
1988-05-15,Mayo,Malaga,15,27,1988
1961-05-16,Mayo,Malaga,16,33.8,1961
1995-05-16,Mayo,Malaga,16,33,1995
1958-05-16,Mayo,Malaga,16,32,1958
1991-05-16,Mayo,Malaga,16,31.2,1991
1974-05-16,Mayo,Malaga,16,29.2,1974
1965-05-16,Mayo,Malaga,16,28,1965
1988-05-16,Mayo,Malaga,16,28,1988
2005-05-16,Mayo,Malaga,16,27.5,2005
1999-05-16,Mayo,Malaga,16,27.2,1999
1980-05-16,Mayo,Malaga,16,27,1980
1961-05-17,Mayo,Malaga,17,34.8,1961
1995-05-17,Mayo,Malaga,17,33.8,1995
1979-05-17,Mayo,Malaga,17,31.8,1979
1955-05-17,Mayo,Malaga,17,31,1955
1958-05-17,Mayo,Malaga,17,30,1958
1965-05-17,Mayo,Malaga,17,30,1965
1978-05-17,Mayo,Malaga,17,29.4,1978
2002-05-17,Mayo,Malaga,17,29.4,2002
2009-05-17,Mayo,Malaga,17,29,2009
2001-05-17,Mayo,Malaga,17,27.6,2001
1995-05-18,Mayo,Malaga,18,35,1995
1961-05-18,Mayo,Malaga,18,34.5,1961
2006-05-18,Mayo,Malaga,18,33,2006
2017-05-18,Mayo,Malaga,18,31.3,2017
1955-05-18,Mayo,Malaga,18,31,1955
1952-05-18,Mayo,Malaga,18,30.6,1952
2012-05-18,Mayo,Malaga,18,30.6,2012
1978-05-18,Mayo,Malaga,18,28.8,1978
1980-05-18,Mayo,Malaga,18,28.8,1980
1954-05-18,Mayo,Malaga,18,28.4,1954
1995-05-19,Mayo,Malaga,19,33.6,1995
2015-05-19,Mayo,Malaga,19,33.3,2015
1957-05-19,Mayo,Malaga,19,33,1957
2006-05-19,Mayo,Malaga,19,33,2006
2016-05-19,Mayo,Malaga,19,31.3,2016
1968-05-19,Mayo,Malaga,19,30,1968
1953-05-19,Mayo,Malaga,19,29.2,1953
2007-05-19,Mayo,Malaga,19,29.2,2007
1958-05-19,Mayo,Malaga,19,28.4,1958
1997-05-19,Mayo,Malaga,19,28.4,1997
1990-05-20,Mayo,Malaga,20,30.6,1990
1977-05-20,Mayo,Malaga,20,29,1977
2005-05-20,Mayo,Malaga,20,28.8,2005
1997-05-20,Mayo,Malaga,20,28.4,1997
2003-05-20,Mayo,Malaga,20,28.2,2003
1992-05-20,Mayo,Malaga,20,28,1992
2019-05-20,Mayo,Malaga,20,28,2019
1951-05-20,Mayo,Malaga,20,27.6,1951
1986-05-20,Mayo,Malaga,20,27.4,1986
1981-05-20,Mayo,Malaga,20,27.2,1981
1958-05-21,Mayo,Malaga,21,33,1958
1997-05-21,Mayo,Malaga,21,29.6,1997
1990-05-21,Mayo,Malaga,21,29.2,1990
1986-05-21,Mayo,Malaga,21,28.6,1986
1961-05-21,Mayo,Malaga,21,28.2,1961
2005-05-21,Mayo,Malaga,21,28.2,2005
2009-05-21,Mayo,Malaga,21,28.2,2009
1994-05-21,Mayo,Malaga,21,28,1994
2008-05-21,Mayo,Malaga,21,27.8,2008
1985-05-21,Mayo,Malaga,21,27.2,1985
2008-05-22,Mayo,Malaga,22,31.9,2008
2005-05-22,Mayo,Malaga,22,31.6,2005
2016-05-22,Mayo,Malaga,22,31.1,2016
1961-05-22,Mayo,Malaga,22,31,1961
1967-05-22,Mayo,Malaga,22,31,1967
1992-05-22,Mayo,Malaga,22,29.4,1992
1979-05-22,Mayo,Malaga,22,29.2,1979
1980-05-22,Mayo,Malaga,22,29.2,1980
1974-05-22,Mayo,Malaga,22,29,1974
1985-05-22,Mayo,Malaga,22,29,1985
1974-05-23,Mayo,Malaga,23,33.6,1974
2013-05-23,Mayo,Malaga,23,30.6,2013
1979-05-23,Mayo,Malaga,23,30.4,1979
1965-05-23,Mayo,Malaga,23,30,1965
1988-05-23,Mayo,Malaga,23,30,1988
2008-05-23,Mayo,Malaga,23,30,2008
1990-05-23,Mayo,Malaga,23,28.8,1990
2006-05-23,Mayo,Malaga,23,28.8,2006
1975-05-23,Mayo,Malaga,23,28.6,1975
1953-05-23,Mayo,Malaga,23,28,1953
2003-05-24,Mayo,Malaga,24,33.6,2003
2019-05-24,Mayo,Malaga,24,32.7,2019
2013-05-24,Mayo,Malaga,24,32,2013
1951-05-24,Mayo,Malaga,24,31.2,1951
1994-05-24,Mayo,Malaga,24,30.2,1994
1956-05-24,Mayo,Malaga,24,30,1956
1965-05-24,Mayo,Malaga,24,30,1965
1958-05-24,Mayo,Malaga,24,29.8,1958
1974-05-24,Mayo,Malaga,24,29.6,1974
1953-05-24,Mayo,Malaga,24,29.2,1953
2002-05-25,Mayo,Malaga,25,33.6,2002
1968-05-25,Mayo,Malaga,25,32,1968
1981-05-25,Mayo,Malaga,25,31.8,1981
2000-05-25,Mayo,Malaga,25,31.6,2000
1951-05-25,Mayo,Malaga,25,31,1951
1964-05-25,Mayo,Malaga,25,30,1964
1995-05-25,Mayo,Malaga,25,30,1995
1979-05-25,Mayo,Malaga,25,29.6,1979
1950-05-25,Mayo,Malaga,25,29.2,1950
1994-05-25,Mayo,Malaga,25,29,1994
2009-05-26,Mayo,Malaga,26,31.6,2009
2012-05-26,Mayo,Malaga,26,31.5,2012
1988-05-26,Mayo,Malaga,26,31.4,1988
2002-05-26,Mayo,Malaga,26,31.2,2002
1964-05-26,Mayo,Malaga,26,31,1964
1994-05-26,Mayo,Malaga,26,31,1994
1950-05-26,Mayo,Malaga,26,30.8,1950
2000-05-26,Mayo,Malaga,26,30.8,2000
2017-05-26,Mayo,Malaga,26,30.7,2017
2010-05-26,Mayo,Malaga,26,30.6,2010
1964-05-27,Mayo,Malaga,27,32,1964
1999-05-27,Mayo,Malaga,27,31,1999
1987-05-27,Mayo,Malaga,27,30.8,1987
2016-05-27,Mayo,Malaga,27,30.7,2016
