date,month,city,day,temp,year
2005-05-01,Mayo,Mallorca,1,30.2,2005
2003-05-01,Mayo,Mallorca,1,26.2,2003
1999-05-01,Mayo,Mallorca,1,26,1999
2000-05-01,Mayo,Mallorca,1,25.2,2000
1987-05-01,Mayo,Mallorca,1,24.8,1987
1985-05-01,Mayo,Mallorca,1,24.6,1985
2008-05-01,Mayo,Mallorca,1,24.5,2008
1995-05-01,Mayo,Mallorca,1,23.6,1995
2006-05-01,Mayo,Mallorca,1,23.3,2006
1997-05-01,Mayo,Mallorca,1,23,1997
2015-05-02,Mayo,Mallorca,2,29.2,2015
2005-05-02,Mayo,Mallorca,2,27.4,2005
2003-05-02,Mayo,Mallorca,2,26.5,2003
2008-05-02,Mayo,Mallorca,2,26.1,2008
2006-05-02,Mayo,Mallorca,2,25.2,2006
1985-05-02,Mayo,Mallorca,2,24.6,1985
1997-05-02,Mayo,Mallorca,2,23.7,1997
1987-05-02,Mayo,Mallorca,2,23.5,1987
2009-05-02,Mayo,Mallorca,2,23.4,2009
1975-05-02,Mayo,Mallorca,2,23,1975
2000-05-03,Mayo,Mallorca,3,27.8,2000
2015-05-03,Mayo,Mallorca,3,27.6,2015
2008-05-03,Mayo,Mallorca,3,26.7,2008
2005-05-03,Mayo,Mallorca,3,26.3,2005
1994-05-03,Mayo,Mallorca,3,26.2,1994
1995-05-03,Mayo,Mallorca,3,26.2,1995
2006-05-03,Mayo,Mallorca,3,26.1,2006
1975-05-03,Mayo,Mallorca,3,26,1975
2009-05-03,Mayo,Mallorca,3,24.6,2009
2014-05-03,Mayo,Mallorca,3,24.6,2014
2015-05-04,Mayo,Mallorca,4,31.9,2015
2000-05-04,Mayo,Mallorca,4,29,2000
1995-05-04,Mayo,Mallorca,4,27.6,1995
1978-05-04,Mayo,Mallorca,4,27,1978
2005-05-04,Mayo,Mallorca,4,26.4,2005
2003-05-04,Mayo,Mallorca,4,26.2,2003
1999-05-04,Mayo,Mallorca,4,26,1999
2009-05-04,Mayo,Mallorca,4,25.1,2009
2008-05-04,Mayo,Mallorca,4,25,2008
2017-05-04,Mayo,Mallorca,4,24.9,2017
2015-05-05,Mayo,Mallorca,5,31.1,2015
2017-05-05,Mayo,Mallorca,5,28.9,2017
1988-05-05,Mayo,Mallorca,5,26.6,1988
1995-05-05,Mayo,Mallorca,5,26.4,1995
1999-05-05,Mayo,Mallorca,5,26.4,1999
2016-05-05,Mayo,Mallorca,5,25,2016
2000-05-05,Mayo,Mallorca,5,24.8,2000
2011-05-05,Mayo,Mallorca,5,23.9,2011
1992-05-05,Mayo,Mallorca,5,23.8,1992
1997-05-05,Mayo,Mallorca,5,23.8,1997
1995-05-06,Mayo,Mallorca,6,27.4,1995
1988-05-06,Mayo,Mallorca,6,26.6,1988
2011-05-06,Mayo,Mallorca,6,26.2,2011
2015-05-06,Mayo,Mallorca,6,26.1,2015
2009-05-06,Mayo,Mallorca,6,25.7,2009
2017-05-06,Mayo,Mallorca,6,25.7,2017
1993-05-06,Mayo,Mallorca,6,25.4,1993
1980-05-06,Mayo,Mallorca,6,25.2,1980
2014-05-06,Mayo,Mallorca,6,25,2014
1999-05-06,Mayo,Mallorca,6,24.8,1999
1999-05-07,Mayo,Mallorca,7,28.5,1999
1995-05-07,Mayo,Mallorca,7,28.2,1995
2013-05-07,Mayo,Mallorca,7,27.8,2013
1989-05-07,Mayo,Mallorca,7,27.5,1989
2011-05-07,Mayo,Mallorca,7,27.3,2011
2014-05-07,Mayo,Mallorca,7,26.5,2014
2008-05-07,Mayo,Mallorca,7,25.8,2008
2015-05-07,Mayo,Mallorca,7,25.4,2015
2007-05-07,Mayo,Mallorca,7,24.9,2007
1992-05-07,Mayo,Mallorca,7,24.5,1992
1995-05-08,Mayo,Mallorca,8,27.8,1995
2002-05-08,Mayo,Mallorca,8,27.4,2002
1999-05-08,Mayo,Mallorca,8,26.4,1999
2009-05-08,Mayo,Mallorca,8,25.4,2009
2011-05-08,Mayo,Mallorca,8,25.1,2011
1980-05-08,Mayo,Mallorca,8,25,1980
1992-05-08,Mayo,Mallorca,8,25,1992
2013-05-08,Mayo,Mallorca,8,25,2013
2014-05-08,Mayo,Mallorca,8,25,2014
1988-05-08,Mayo,Mallorca,8,24.8,1988
1995-05-09,Mayo,Mallorca,9,29.6,1995
2007-05-09,Mayo,Mallorca,9,28.6,2007
2015-05-09,Mayo,Mallorca,9,27.2,2015
1999-05-09,Mayo,Mallorca,9,27,1999
2013-05-09,Mayo,Mallorca,9,27,2013
2014-05-09,Mayo,Mallorca,9,26.8,2014
1993-05-09,Mayo,Mallorca,9,26.6,1993
2017-05-09,Mayo,Mallorca,9,26.5,2017
1998-05-09,Mayo,Mallorca,9,26.4,1998
2019-05-09,Mayo,Mallorca,9,26.4,2019
2012-05-10,Mayo,Mallorca,10,30.5,2012
2009-05-10,Mayo,Mallorca,10,27.9,2009
1999-05-10,Mayo,Mallorca,10,27.2,1999
2019-05-10,Mayo,Mallorca,10,27.2,2019
1998-05-10,Mayo,Mallorca,10,26.8,1998
1995-05-10,Mayo,Mallorca,10,26.6,1995
2015-05-10,Mayo,Mallorca,10,26.4,2015
1987-05-10,Mayo,Mallorca,10,26.2,1987
2003-05-10,Mayo,Mallorca,10,25.6,2003
2005-05-10,Mayo,Mallorca,10,25.6,2005
2015-05-11,Mayo,Mallorca,11,28.2,2015
2009-05-11,Mayo,Mallorca,11,28.1,2009
1998-05-11,Mayo,Mallorca,11,27.6,1998
2019-05-11,Mayo,Mallorca,11,27.5,2019
2012-05-11,Mayo,Mallorca,11,27.2,2012
2014-05-11,Mayo,Mallorca,11,26.4,2014
1979-05-11,Mayo,Mallorca,11,26.2,1979
2006-05-11,Mayo,Mallorca,11,25.5,2006
2001-05-11,Mayo,Mallorca,11,25.4,2001
2007-05-11,Mayo,Mallorca,11,24.9,2007
2015-05-12,Mayo,Mallorca,12,31.6,2015
2000-05-12,Mayo,Mallorca,12,28.5,2000
2014-05-12,Mayo,Mallorca,12,27.3,2014
2006-05-12,Mayo,Mallorca,12,26.9,2006
2003-05-12,Mayo,Mallorca,12,26.4,2003
1986-05-12,Mayo,Mallorca,12,26.2,1986
1979-05-12,Mayo,Mallorca,12,25.8,1979
2012-05-12,Mayo,Mallorca,12,25.7,2012
1977-05-12,Mayo,Mallorca,12,25.2,1977
1987-05-12,Mayo,Mallorca,12,25,1987
1986-05-13,Mayo,Mallorca,13,29.2,1986
2000-05-13,Mayo,Mallorca,13,29,2000
2015-05-13,Mayo,Mallorca,13,28,2015
1999-05-13,Mayo,Mallorca,13,27.2,1999
1987-05-13,Mayo,Mallorca,13,27,1987
2007-05-13,Mayo,Mallorca,13,26.7,2007
2012-05-13,Mayo,Mallorca,13,26.6,2012
2017-05-13,Mayo,Mallorca,13,26.3,2017
1979-05-13,Mayo,Mallorca,13,26.2,1979
2011-05-13,Mayo,Mallorca,13,26.2,2011
2015-05-14,Mayo,Mallorca,14,30.4,2015
1992-05-14,Mayo,Mallorca,14,27.4,1992
1979-05-14,Mayo,Mallorca,14,26.4,1979
2000-05-14,Mayo,Mallorca,14,26.2,2000
1986-05-14,Mayo,Mallorca,14,26,1986
2011-05-14,Mayo,Mallorca,14,26,2011
1999-05-14,Mayo,Mallorca,14,25.8,1999
2005-05-14,Mayo,Mallorca,14,25.6,2005
2019-05-14,Mayo,Mallorca,14,25.6,2019
2006-05-14,Mayo,Mallorca,14,25.5,2006
1999-05-15,Mayo,Mallorca,15,29,1999
1992-05-15,Mayo,Mallorca,15,28,1992
2000-05-15,Mayo,Mallorca,15,28,2000
2006-05-15,Mayo,Mallorca,15,27.4,2006
2002-05-15,Mayo,Mallorca,15,27.2,2002
1982-05-15,Mayo,Mallorca,15,27,1982
2001-05-15,Mayo,Mallorca,15,26.6,2001
1997-05-15,Mayo,Mallorca,15,26.2,1997
1986-05-15,Mayo,Mallorca,15,26,1986
1990-05-15,Mayo,Mallorca,15,25.6,1990
2006-05-16,Mayo,Mallorca,16,31.8,2006
1990-05-16,Mayo,Mallorca,16,28.4,1990
2017-05-16,Mayo,Mallorca,16,28,2017
2002-05-16,Mayo,Mallorca,16,27.8,2002
1999-05-16,Mayo,Mallorca,16,27.2,1999
1982-05-16,Mayo,Mallorca,16,27,1982
1986-05-16,Mayo,Mallorca,16,26.8,1986
2000-05-16,Mayo,Mallorca,16,26.2,2000
2001-05-16,Mayo,Mallorca,16,25.3,2001
1992-05-16,Mayo,Mallorca,16,25.2,1992
2001-05-17,Mayo,Mallorca,17,30.2,2001
1986-05-17,Mayo,Mallorca,17,29,1986
1990-05-17,Mayo,Mallorca,17,29,1990
2017-05-17,Mayo,Mallorca,17,28.8,2017
2000-05-17,Mayo,Mallorca,17,28.3,2000
2002-05-17,Mayo,Mallorca,17,27.8,2002
2015-05-17,Mayo,Mallorca,17,27.6,2015
1989-05-17,Mayo,Mallorca,17,27.2,1989
1993-05-17,Mayo,Mallorca,17,27,1993
1998-05-17,Mayo,Mallorca,17,26.5,1998
1986-05-18,Mayo,Mallorca,18,32.6,1986
1975-05-18,Mayo,Mallorca,18,32.4,1975
2006-05-18,Mayo,Mallorca,18,30.5,2006
1990-05-18,Mayo,Mallorca,18,29.2,1990
2017-05-18,Mayo,Mallorca,18,26.7,2017
1998-05-18,Mayo,Mallorca,18,26,1998
1995-05-18,Mayo,Mallorca,18,25.6,1995
2007-05-18,Mayo,Mallorca,18,25.6,2007
2011-05-18,Mayo,Mallorca,18,25.6,2011
2015-05-18,Mayo,Mallorca,18,25.6,2015
1986-05-19,Mayo,Mallorca,19,31,1986
1992-05-19,Mayo,Mallorca,19,29.4,1992
1981-05-19,Mayo,Mallorca,19,26.6,1981
1983-05-19,Mayo,Mallorca,19,26.2,1983
2000-05-19,Mayo,Mallorca,19,26,2000
2006-05-19,Mayo,Mallorca,19,26,2006
2007-05-19,Mayo,Mallorca,19,26,2007
2016-05-19,Mayo,Mallorca,19,25.9,2016
1978-05-19,Mayo,Mallorca,19,25.6,1978
1988-05-19,Mayo,Mallorca,19,25.6,1988
2009-05-20,Mayo,Mallorca,20,32.7,2009
1986-05-20,Mayo,Mallorca,20,30.6,1986
1997-05-20,Mayo,Mallorca,20,28.8,1997
2005-05-20,Mayo,Mallorca,20,28.2,2005
2007-05-20,Mayo,Mallorca,20,28,2007
1989-05-20,Mayo,Mallorca,20,27.8,1989
2014-05-20,Mayo,Mallorca,20,27.7,2014
1981-05-20,Mayo,Mallorca,20,27.4,1981
2011-05-20,Mayo,Mallorca,20,26.4,2011
1998-05-20,Mayo,Mallorca,20,26,1998
2009-05-21,Mayo,Mallorca,21,34.2,2009
1986-05-21,Mayo,Mallorca,21,30,1986
2007-05-21,Mayo,Mallorca,21,28.4,2007
2005-05-21,Mayo,Mallorca,21,27.1,2005
2002-05-21,Mayo,Mallorca,21,26.8,2002
1997-05-21,Mayo,Mallorca,21,26.4,1997
2001-05-21,Mayo,Mallorca,21,26.3,2001
2014-05-21,Mayo,Mallorca,21,25.9,2014
1976-05-21,Mayo,Mallorca,21,25.8,1976
1998-05-21,Mayo,Mallorca,21,25.8,1998
2009-05-22,Mayo,Mallorca,22,29.5,2009
1999-05-22,Mayo,Mallorca,22,28.5,1999
2011-05-22,Mayo,Mallorca,22,28.5,2011
1986-05-22,Mayo,Mallorca,22,28.4,1986
1989-05-22,Mayo,Mallorca,22,28.2,1989
1994-05-22,Mayo,Mallorca,22,28.2,1994
2006-05-22,Mayo,Mallorca,22,27.8,2006
2017-05-22,Mayo,Mallorca,22,27.7,2017
2007-05-22,Mayo,Mallorca,22,26.8,2007
2003-05-22,Mayo,Mallorca,22,26.7,2003
2009-05-23,Mayo,Mallorca,23,32.7,2009
2007-05-23,Mayo,Mallorca,23,31.8,2007
1997-05-23,Mayo,Mallorca,23,30.2,1997
1993-05-23,Mayo,Mallorca,23,29,1993
2012-05-23,Mayo,Mallorca,23,29,2012
2011-05-23,Mayo,Mallorca,23,28.7,2011
1986-05-23,Mayo,Mallorca,23,28,1986
2017-05-23,Mayo,Mallorca,23,27.9,2017
1994-05-23,Mayo,Mallorca,23,27.6,1994
1977-05-23,Mayo,Mallorca,23,26.8,1977
1993-05-24,Mayo,Mallorca,24,33.6,1993
2007-05-24,Mayo,Mallorca,24,30.8,2007
2011-05-24,Mayo,Mallorca,24,30.8,2011
2003-05-24,Mayo,Mallorca,24,30,2003
1997-05-24,Mayo,Mallorca,24,29.5,1997
2018-05-24,Mayo,Mallorca,24,28.5,2018
1986-05-24,Mayo,Mallorca,24,27.6,1986
2017-05-24,Mayo,Mallorca,24,27.5,2017
1994-05-24,Mayo,Mallorca,24,27.2,1994
2000-05-24,Mayo,Mallorca,24,27.2,2000
1993-05-25,Mayo,Mallorca,25,33,1993
1997-05-25,Mayo,Mallorca,25,30.4,1997
2011-05-25,Mayo,Mallorca,25,29.9,2011
2017-05-25,Mayo,Mallorca,25,29.1,2017
2018-05-25,Mayo,Mallorca,25,27.9,2018
1976-05-25,Mayo,Mallorca,25,27.6,1976
1986-05-25,Mayo,Mallorca,25,27.6,1986
2010-05-25,Mayo,Mallorca,25,27.6,2010
1999-05-25,Mayo,Mallorca,25,27.5,1999
1990-05-25,Mayo,Mallorca,25,26.6,1990
1997-05-26,Mayo,Mallorca,26,31.6,1997
1999-05-26,Mayo,Mallorca,26,31.6,1999
1986-05-26,Mayo,Mallorca,26,30,1986
2017-05-26,Mayo,Mallorca,26,29.2,2017
2001-05-26,Mayo,Mallorca,26,28.6,2001
2011-05-26,Mayo,Mallorca,26,27.8,2011
1982-05-26,Mayo,Mallorca,26,27.6,1982
1985-05-26,Mayo,Mallorca,26,27.2,1985
2005-05-26,Mayo,Mallorca,26,26.2,2005
1976-05-26,Mayo,Mallorca,26,26,1976
2017-05-27,Mayo,Mallorca,27,31.2,2017
1986-05-27,Mayo,Mallorca,27,30.6,1986
1997-05-27,Mayo,Mallorca,27,30.6,1997
1999-05-27,Mayo,Mallorca,27,30.2,1999
2001-05-27,Mayo,Mallorca,27,29.6,2001
1993-05-27,Mayo,Mallorca,27,28,1993
2005-05-27,Mayo,Mallorca,27,28,2005
2006-05-27,Mayo,Mallorca,27,27.8,2006
2012-05-27,Mayo,Mallorca,27,27.5,2012
1992-05-27,Mayo,Mallorca,27,27.4,1992
2017-05-28,Mayo,Mallorca,28,30.8,2017
1986-05-28,Mayo,Mallorca,28,29.6,1986
1979-05-28,Mayo,Mallorca,28,29,1979
2005-05-28,Mayo,Mallorca,28,28.9,2005
2001-05-28,Mayo,Mallorca,28,28.5,2001
2009-05-28,Mayo,Mallorca,28,28.3,2009
1997-05-28,Mayo,Mallorca,28,28,1997
2012-05-28,Mayo,Mallorca,28,27.8,2012
1993-05-28,Mayo,Mallorca,28,27.4,1993
1982-05-28,Mayo,Mallorca,28,27,1982
1997-05-29,Mayo,Mallorca,29,30.8,1997
2001-05-29,Mayo,Mallorca,29,30.6,2001
2005-05-29,Mayo,Mallorca,29,30,2005
1999-05-29,Mayo,Mallorca,29,29.5,1999
2017-05-29,Mayo,Mallorca,29,29.5,2017
2000-05-29,Mayo,Mallorca,29,29,2000
1994-05-29,Mayo,Mallorca,29,28.8,1994
2015-05-29,Mayo,Mallorca,29,28.8,2015
2012-05-29,Mayo,Mallorca,29,28.7,2012
2006-05-29,Mayo,Mallorca,29,28.1,2006
2001-05-30,Mayo,Mallorca,30,31.6,2001
2005-05-30,Mayo,Mallorca,30,31,2005
1997-05-30,Mayo,Mallorca,30,29.8,1997
1999-05-30,Mayo,Mallorca,30,29.8,1999
2002-05-30,Mayo,Mallorca,30,29.1,2002
2011-05-30,Mayo,Mallorca,30,28.7,2011
1994-05-30,Mayo,Mallorca,30,28.6,1994
2009-05-30,Mayo,Mallorca,30,28.3,2009
2003-05-30,Mayo,Mallorca,30,28.1,2003
2016-05-30,Mayo,Mallorca,30,28.1,2016
1999-05-31,Mayo,Mallorca,31,32,1999
1994-05-31,Mayo,Mallorca,31,31.6,1994
2001-05-31,Mayo,Mallorca,31,31.2,2001
2012-05-31,Mayo,Mallorca,31,31.1,2012
1983-05-31,Mayo,Mallorca,31,31,1983
1979-05-31,Mayo,Mallorca,31,30.4,1979
2010-05-31,Mayo,Mallorca,31,30,2010
1985-05-31,Mayo,Mallorca,31,29.4,1985
2002-05-31,Mayo,Mallorca,31,29.1,2002
1981-05-31,Mayo,Mallorca,31,29,1981
