date,month,city,day,temp,year
2015-05-01,Mayo,Reus,1,28.3,2015
2005-05-01,Mayo,Reus,1,25.6,2005
1966-05-01,Mayo,Reus,1,24.8,1966
1994-05-01,Mayo,Reus,1,24.4,1994
1970-05-01,Mayo,Reus,1,23,1970
1999-05-01,Mayo,Reus,1,23,1999
2014-05-01,Mayo,Reus,1,22.6,2014
1963-05-01,Mayo,Reus,1,22.4,1963
1997-05-01,Mayo,Reus,1,22.3,1997
1967-05-01,Mayo,Reus,1,22.2,1967
2015-05-02,Mayo,Reus,2,26.3,2015
2014-05-02,Mayo,Reus,2,25.5,2014
2016-05-02,Mayo,Reus,2,25.1,2016
2009-05-02,Mayo,Reus,2,24.8,2009
1994-05-02,Mayo,Reus,2,24.4,1994
1975-05-02,Mayo,Reus,2,23.6,1975
2003-05-02,Mayo,Reus,2,23.6,2003
2018-05-02,Mayo,Reus,2,23.5,2018
1979-05-02,Mayo,Reus,2,23,1979
1955-05-02,Mayo,Reus,2,22.7,1955
2015-05-03,Mayo,Reus,3,28.3,2015
2014-05-03,Mayo,Reus,3,27.1,2014
1975-05-03,Mayo,Reus,3,26.6,1975
2005-05-03,Mayo,Reus,3,26.4,2005
2016-05-03,Mayo,Reus,3,24.2,2016
1962-05-03,Mayo,Reus,3,24,1962
2009-05-03,Mayo,Reus,3,23.9,2009
1987-05-03,Mayo,Reus,3,23.8,1987
2000-05-03,Mayo,Reus,3,23.5,2000
2018-05-03,Mayo,Reus,3,23.5,2018
1965-05-04,Mayo,Reus,4,26.4,1965
1962-05-04,Mayo,Reus,4,25.4,1962
2000-05-04,Mayo,Reus,4,24.6,2000
1999-05-04,Mayo,Reus,4,24.5,1999
2009-05-04,Mayo,Reus,4,24.5,2009
2011-05-04,Mayo,Reus,4,23.9,2011
2005-05-04,Mayo,Reus,4,23.8,2005
1961-05-04,Mayo,Reus,4,23.7,1961
1964-05-04,Mayo,Reus,4,23.4,1964
1992-05-04,Mayo,Reus,4,23.3,1992
2015-05-05,Mayo,Reus,5,29.9,2015
1964-05-05,Mayo,Reus,5,29,1964
1997-05-05,Mayo,Reus,5,27.4,1997
1953-05-05,Mayo,Reus,5,27.3,1953
1962-05-05,Mayo,Reus,5,27.2,1962
1973-05-05,Mayo,Reus,5,27,1973
1999-05-05,Mayo,Reus,5,27,1999
2005-05-05,Mayo,Reus,5,26.8,2005
2008-05-05,Mayo,Reus,5,25.6,2008
1989-05-05,Mayo,Reus,5,24.4,1989
1953-05-06,Mayo,Reus,6,27.9,1953
2005-05-06,Mayo,Reus,6,27.4,2005
2017-05-06,Mayo,Reus,6,27,2017
2015-05-06,Mayo,Reus,6,26.4,2015
2007-05-06,Mayo,Reus,6,26.3,2007
1954-05-06,Mayo,Reus,6,25.9,1954
1988-05-06,Mayo,Reus,6,25.2,1988
1989-05-06,Mayo,Reus,6,25,1989
1961-05-06,Mayo,Reus,6,24.9,1961
1993-05-06,Mayo,Reus,6,24.4,1993
2013-05-07,Mayo,Reus,7,27.7,2013
1987-05-07,Mayo,Reus,7,26.6,1987
2007-05-07,Mayo,Reus,7,25.9,2007
1960-05-07,Mayo,Reus,7,25,1960
1989-05-07,Mayo,Reus,7,24.8,1989
1958-05-07,Mayo,Reus,7,24.2,1958
1955-05-07,Mayo,Reus,7,23.8,1955
1961-05-07,Mayo,Reus,7,23.8,1961
1962-05-07,Mayo,Reus,7,23.6,1962
1956-05-07,Mayo,Reus,7,23.5,1956
2015-05-08,Mayo,Reus,8,30.7,2015
2007-05-08,Mayo,Reus,8,27.3,2007
2013-05-08,Mayo,Reus,8,25.6,2013
1978-05-08,Mayo,Reus,8,24.8,1978
2012-05-08,Mayo,Reus,8,24.8,2012
2018-05-08,Mayo,Reus,8,24.8,2018
1992-05-08,Mayo,Reus,8,24.6,1992
1956-05-08,Mayo,Reus,8,24.4,1956
