date,month,city,day,temp,year
1970-11-01,Noviembre,Pontevedra,1,26,1970
1971-11-01,Noviembre,Pontevedra,1,25,1971
1982-11-01,Noviembre,Pontevedra,1,24,1982
2015-11-01,Noviembre,Pontevedra,1,23,2015
1988-11-01,Noviembre,Pontevedra,1,22,1988
1981-11-01,Noviembre,Pontevedra,1,21.6,1981
2001-11-01,Noviembre,Pontevedra,1,21.5,2001
2006-11-01,Noviembre,Pontevedra,1,21.5,2006
2016-11-01,Noviembre,Pontevedra,1,21.4,2016
1980-11-01,Noviembre,Pontevedra,1,21,1980
1970-11-02,Noviembre,Pontevedra,2,27,1970
1971-11-02,Noviembre,Pontevedra,2,26,1971
1987-11-02,Noviembre,Pontevedra,2,25.6,1987
1982-11-02,Noviembre,Pontevedra,2,24.2,1982
1964-11-02,Noviembre,Pontevedra,2,24,1964
1995-11-02,Noviembre,Pontevedra,2,22.6,1995
1979-11-02,Noviembre,Pontevedra,2,22,1979
1981-11-02,Noviembre,Pontevedra,2,22,1981
1983-11-02,Noviembre,Pontevedra,2,22,1983
2006-11-02,Noviembre,Pontevedra,2,21.9,2006
1971-11-03,Noviembre,Pontevedra,3,25.5,1971
1981-11-03,Noviembre,Pontevedra,3,24,1981
1970-11-03,Noviembre,Pontevedra,3,23,1970
2007-11-03,Noviembre,Pontevedra,3,22,2007
1979-11-03,Noviembre,Pontevedra,3,21.6,1979
1982-11-03,Noviembre,Pontevedra,3,21.6,1982
2001-11-03,Noviembre,Pontevedra,3,21.4,2001
1978-11-03,Noviembre,Pontevedra,3,21,1978
1980-11-03,Noviembre,Pontevedra,3,21,1980
2016-11-03,Noviembre,Pontevedra,3,20.7,2016
1970-11-04,Noviembre,Pontevedra,4,24,1970
1971-11-04,Noviembre,Pontevedra,4,24,1971
1987-11-04,Noviembre,Pontevedra,4,24,1987
1988-11-04,Noviembre,Pontevedra,4,23.6,1988
1972-11-04,Noviembre,Pontevedra,4,23,1972
1978-11-04,Noviembre,Pontevedra,4,23,1978
1981-11-04,Noviembre,Pontevedra,4,22,1981
1995-11-04,Noviembre,Pontevedra,4,22,1995
2006-11-04,Noviembre,Pontevedra,4,21.3,2006
2007-11-04,Noviembre,Pontevedra,4,20.8,2007
1978-11-05,Noviembre,Pontevedra,5,24,1978
1981-11-05,Noviembre,Pontevedra,5,24,1981
1988-11-05,Noviembre,Pontevedra,5,24,1988
1970-11-05,Noviembre,Pontevedra,5,23,1970
1972-11-05,Noviembre,Pontevedra,5,23,1972
1987-11-05,Noviembre,Pontevedra,5,23,1987
2006-11-05,Noviembre,Pontevedra,5,22.5,2006
1992-11-05,Noviembre,Pontevedra,5,22,1992
2007-11-05,Noviembre,Pontevedra,5,21.7,2007
2010-11-05,Noviembre,Pontevedra,5,21.5,2010
1981-11-06,Noviembre,Pontevedra,6,24,1981
1970-11-06,Noviembre,Pontevedra,6,23,1970
2006-11-06,Noviembre,Pontevedra,6,22.2,2006
2003-11-06,Noviembre,Pontevedra,6,22,2003
1995-11-06,Noviembre,Pontevedra,6,21.7,1995
1992-11-06,Noviembre,Pontevedra,6,21.2,1992
1968-11-06,Noviembre,Pontevedra,6,21,1968
1983-11-06,Noviembre,Pontevedra,6,21,1983
2004-11-06,Noviembre,Pontevedra,6,21,2004
1988-11-06,Noviembre,Pontevedra,6,20.8,1988
2003-11-07,Noviembre,Pontevedra,7,22.3,2003
1995-11-07,Noviembre,Pontevedra,7,22,1995
1981-11-07,Noviembre,Pontevedra,7,21,1981
2007-11-07,Noviembre,Pontevedra,7,20.7,2007
2015-11-07,Noviembre,Pontevedra,7,20.5,2015
1985-11-07,Noviembre,Pontevedra,7,20,1985
2006-11-07,Noviembre,Pontevedra,7,20,2006
2001-11-07,Noviembre,Pontevedra,7,19.6,2001
1988-11-07,Noviembre,Pontevedra,7,19.4,1988
1972-11-07,Noviembre,Pontevedra,7,19,1972
1970-11-08,Noviembre,Pontevedra,8,24,1970
2015-11-08,Noviembre,Pontevedra,8,22.9,2015
1983-11-08,Noviembre,Pontevedra,8,21.2,1983
1998-11-08,Noviembre,Pontevedra,8,21.2,1998
2007-11-08,Noviembre,Pontevedra,8,20.5,2007
2006-11-08,Noviembre,Pontevedra,8,20.4,2006
1999-11-08,Noviembre,Pontevedra,8,19.8,1999
1995-11-08,Noviembre,Pontevedra,8,19.5,1995
1973-11-08,Noviembre,Pontevedra,8,19,1973
1985-11-08,Noviembre,Pontevedra,8,19,1985
1970-11-09,Noviembre,Pontevedra,9,24,1970
2006-11-09,Noviembre,Pontevedra,9,23,2006
1977-11-09,Noviembre,Pontevedra,9,22.2,1977
2015-11-09,Noviembre,Pontevedra,9,20.9,2015
2007-11-09,Noviembre,Pontevedra,9,20.8,2007
1988-11-09,Noviembre,Pontevedra,9,20.6,1988
1973-11-09,Noviembre,Pontevedra,9,20.5,1973
1972-11-09,Noviembre,Pontevedra,9,20,1972
1983-11-09,Noviembre,Pontevedra,9,20,1983
1981-11-09,Noviembre,Pontevedra,9,18.6,1981
1977-11-10,Noviembre,Pontevedra,10,22.4,1977
1970-11-10,Noviembre,Pontevedra,10,22,1970
1988-11-10,Noviembre,Pontevedra,10,21.6,1988
1967-11-10,Noviembre,Pontevedra,10,21,1967
1981-11-10,Noviembre,Pontevedra,10,21,1981
2006-11-10,Noviembre,Pontevedra,10,21,2006
2007-11-10,Noviembre,Pontevedra,10,20.4,2007
1973-11-10,Noviembre,Pontevedra,10,19.5,1973
1968-11-10,Noviembre,Pontevedra,10,19,1968
1998-11-10,Noviembre,Pontevedra,10,18.8,1998
1967-11-11,Noviembre,Pontevedra,11,25,1967
1970-11-11,Noviembre,Pontevedra,11,23,1970
1988-11-11,Noviembre,Pontevedra,11,22.5,1988
1977-11-11,Noviembre,Pontevedra,11,21,1977
2006-11-11,Noviembre,Pontevedra,11,21,2006
1981-11-11,Noviembre,Pontevedra,11,20,1981
1978-11-11,Noviembre,Pontevedra,11,19,1978
1968-11-11,Noviembre,Pontevedra,11,18,1968
1969-11-11,Noviembre,Pontevedra,11,18,1969
1982-11-11,Noviembre,Pontevedra,11,18,1982
2011-11-12,Noviembre,Pontevedra,12,24,2011
1967-11-12,Noviembre,Pontevedra,12,23,1967
1983-11-12,Noviembre,Pontevedra,12,21.2,1983
1988-11-12,Noviembre,Pontevedra,12,21.2,1988
2006-11-12,Noviembre,Pontevedra,12,21.2,2006
1964-11-12,Noviembre,Pontevedra,12,19.5,1964
1990-11-12,Noviembre,Pontevedra,12,19.2,1990
1977-11-12,Noviembre,Pontevedra,12,19,1977
2007-11-12,Noviembre,Pontevedra,12,19,2007
1975-11-12,Noviembre,Pontevedra,12,18.4,1975
1989-11-13,Noviembre,Pontevedra,13,24,1989
1988-11-13,Noviembre,Pontevedra,13,21,1988
1978-11-13,Noviembre,Pontevedra,13,20,1978
2011-11-13,Noviembre,Pontevedra,13,19.8,2011
2015-11-13,Noviembre,Pontevedra,13,19.5,2015
1983-11-13,Noviembre,Pontevedra,13,19.4,1983
1967-11-13,Noviembre,Pontevedra,13,19,1967
1975-11-13,Noviembre,Pontevedra,13,19,1975
2013-11-13,Noviembre,Pontevedra,13,18.9,2013
1981-11-13,Noviembre,Pontevedra,13,18.6,1981
1968-11-14,Noviembre,Pontevedra,14,24,1968
1989-11-14,Noviembre,Pontevedra,14,22,1989
1988-11-14,Noviembre,Pontevedra,14,21.8,1988
1966-11-14,Noviembre,Pontevedra,14,21,1966
2018-11-14,Noviembre,Pontevedra,14,19.9,2018
1990-11-14,Noviembre,Pontevedra,14,19.2,1990
1970-11-14,Noviembre,Pontevedra,14,19,1970
1978-11-14,Noviembre,Pontevedra,14,19,1978
2015-11-14,Noviembre,Pontevedra,14,18.9,2015
1983-11-14,Noviembre,Pontevedra,14,18.4,1983
2012-11-15,Noviembre,Pontevedra,15,22.5,2012
2018-11-15,Noviembre,Pontevedra,15,21,2018
1988-11-15,Noviembre,Pontevedra,15,20.6,1988
1973-11-15,Noviembre,Pontevedra,15,20,1973
1975-11-15,Noviembre,Pontevedra,15,19.4,1975
1997-11-15,Noviembre,Pontevedra,15,19.2,1997
1964-11-15,Noviembre,Pontevedra,15,19,1964
1966-11-15,Noviembre,Pontevedra,15,19,1966
1968-11-15,Noviembre,Pontevedra,15,19,1968
1978-11-15,Noviembre,Pontevedra,15,19,1978
1968-11-16,Noviembre,Pontevedra,16,21,1968
2018-11-16,Noviembre,Pontevedra,16,20.6,2018
1988-11-16,Noviembre,Pontevedra,16,19.2,1988
1990-11-16,Noviembre,Pontevedra,16,19.2,1990
2012-11-16,Noviembre,Pontevedra,16,18.4,2012
2007-11-16,Noviembre,Pontevedra,16,18.2,2007
1970-11-16,Noviembre,Pontevedra,16,18,1970
1978-11-16,Noviembre,Pontevedra,16,18,1978
1983-11-16,Noviembre,Pontevedra,16,17.8,1983
1964-11-16,Noviembre,Pontevedra,16,17.5,1964
2018-11-17,Noviembre,Pontevedra,17,21,2018
1964-11-17,Noviembre,Pontevedra,17,19.5,1964
1973-11-17,Noviembre,Pontevedra,17,19.5,1973
1978-11-17,Noviembre,Pontevedra,17,19,1978
1988-11-17,Noviembre,Pontevedra,17,19,1988
1976-11-17,Noviembre,Pontevedra,17,18.4,1976
1967-11-17,Noviembre,Pontevedra,17,18,1967
1970-11-17,Noviembre,Pontevedra,17,18,1970
1971-11-17,Noviembre,Pontevedra,17,18,1971
1972-11-17,Noviembre,Pontevedra,17,18,1972
1967-11-18,Noviembre,Pontevedra,18,21,1967
1964-11-18,Noviembre,Pontevedra,18,20.2,1964
1981-11-18,Noviembre,Pontevedra,18,20,1981
1995-11-18,Noviembre,Pontevedra,18,20,1995
2018-11-18,Noviembre,Pontevedra,18,19.3,2018
1970-11-18,Noviembre,Pontevedra,18,19,1970
1973-11-18,Noviembre,Pontevedra,18,19,1973
1987-11-18,Noviembre,Pontevedra,18,18.8,1987
1983-11-18,Noviembre,Pontevedra,18,18.2,1983
1978-11-18,Noviembre,Pontevedra,18,18,1978
1981-11-19,Noviembre,Pontevedra,19,22,1981
1967-11-19,Noviembre,Pontevedra,19,21,1967
1995-11-19,Noviembre,Pontevedra,19,20,1995
1973-11-19,Noviembre,Pontevedra,19,19.5,1973
1964-11-19,Noviembre,Pontevedra,19,19,1964
1970-11-19,Noviembre,Pontevedra,19,19,1970
1987-11-19,Noviembre,Pontevedra,19,18.6,1987
2003-11-19,Noviembre,Pontevedra,19,18.5,2003
1976-11-19,Noviembre,Pontevedra,19,18,1976
1980-11-19,Noviembre,Pontevedra,19,18,1980
1968-11-20,Noviembre,Pontevedra,20,23,1968
1995-11-20,Noviembre,Pontevedra,20,23,1995
1981-11-20,Noviembre,Pontevedra,20,21,1981
1967-11-20,Noviembre,Pontevedra,20,20,1967
1973-11-20,Noviembre,Pontevedra,20,20,1973
1964-11-20,Noviembre,Pontevedra,20,19.5,1964
2014-11-20,Noviembre,Pontevedra,20,19,2014
2005-11-20,Noviembre,Pontevedra,20,18.4,2005
1987-11-20,Noviembre,Pontevedra,20,18.2,1987
1975-11-20,Noviembre,Pontevedra,20,18,1975
1968-11-21,Noviembre,Pontevedra,21,24,1968
