date,month,city,day,temp,year
1995-11-01,Noviembre,Vitoria,1,21.9,1995
2019-11-01,Noviembre,Vitoria,1,21.9,2019
2019-11-01,Noviembre,Vitoria,1,21.9,2019
2009-11-01,Noviembre,Vitoria,1,21.4,2009
1989-11-01,Noviembre,Vitoria,1,21,1989
1988-11-01,Noviembre,Vitoria,1,20.5,1988
1970-11-01,Noviembre,Vitoria,1,20.4,1970
1981-11-01,Noviembre,Vitoria,1,20.4,1981
1987-11-01,Noviembre,Vitoria,1,20,1987
1999-11-01,Noviembre,Vitoria,1,20,1999
1981-11-02,Noviembre,Vitoria,2,22.2,1981
1970-11-02,Noviembre,Vitoria,2,21.6,1970
2016-11-02,Noviembre,Vitoria,2,21.5,2016
1977-11-02,Noviembre,Vitoria,2,20.8,1977
2002-11-02,Noviembre,Vitoria,2,19.8,2002
2013-11-02,Noviembre,Vitoria,2,19.2,2013
1954-11-02,Noviembre,Vitoria,2,19,1954
1987-11-02,Noviembre,Vitoria,2,19,1987
1973-11-02,Noviembre,Vitoria,2,18.8,1973
1998-11-02,Noviembre,Vitoria,2,18.8,1998
2016-11-03,Noviembre,Vitoria,3,22,2016
1954-11-03,Noviembre,Vitoria,3,21.6,1954
1970-11-03,Noviembre,Vitoria,3,21.4,1970
1981-11-03,Noviembre,Vitoria,3,21.2,1981
2017-11-03,Noviembre,Vitoria,3,19.7,2017
1988-11-03,Noviembre,Vitoria,3,19.4,1988
1991-11-03,Noviembre,Vitoria,3,19,1991
1994-11-03,Noviembre,Vitoria,3,19,1994
2001-11-03,Noviembre,Vitoria,3,18.9,2001
1973-11-03,Noviembre,Vitoria,3,18.8,1973
1954-11-04,Noviembre,Vitoria,4,21.6,1954
1970-11-04,Noviembre,Vitoria,4,20.8,1970
1981-11-04,Noviembre,Vitoria,4,20.2,1981
1971-11-04,Noviembre,Vitoria,4,19.4,1971
1955-11-04,Noviembre,Vitoria,4,19.2,1955
1972-11-04,Noviembre,Vitoria,4,18.2,1972
1993-11-04,Noviembre,Vitoria,4,18.2,1993
1996-11-04,Noviembre,Vitoria,4,18.2,1996
2010-11-04,Noviembre,Vitoria,4,18.1,2010
1988-11-04,Noviembre,Vitoria,4,18,1988
1955-11-05,Noviembre,Vitoria,5,20.8,1955
2003-11-05,Noviembre,Vitoria,5,18.8,2003
1954-11-05,Noviembre,Vitoria,5,18.6,1954
1971-11-05,Noviembre,Vitoria,5,18.6,1971
1981-11-05,Noviembre,Vitoria,5,18.6,1981
2010-11-05,Noviembre,Vitoria,5,18.2,2010
1985-11-05,Noviembre,Vitoria,5,17.8,1985
2013-11-05,Noviembre,Vitoria,5,17.8,2013
1992-11-05,Noviembre,Vitoria,5,17.7,1992
1987-11-05,Noviembre,Vitoria,5,17.2,1987
2015-11-06,Noviembre,Vitoria,6,21.8,2015
1955-11-06,Noviembre,Vitoria,6,20,1955
2013-11-06,Noviembre,Vitoria,6,19.9,2013
1954-11-06,Noviembre,Vitoria,6,19.2,1954
1987-11-06,Noviembre,Vitoria,6,17.2,1987
2003-11-06,Noviembre,Vitoria,6,17.2,2003
1988-11-06,Noviembre,Vitoria,6,17,1988
1995-11-06,Noviembre,Vitoria,6,17,1995
1978-11-06,Noviembre,Vitoria,6,16.8,1978
1985-11-06,Noviembre,Vitoria,6,16.6,1985
2015-11-07,Noviembre,Vitoria,7,21.4,2015
1954-11-07,Noviembre,Vitoria,7,19,1954
1985-11-07,Noviembre,Vitoria,7,19,1985
2013-11-07,Noviembre,Vitoria,7,18.5,2013
1983-11-07,Noviembre,Vitoria,7,18.4,1983
1955-11-07,Noviembre,Vitoria,7,18.2,1955
1988-11-07,Noviembre,Vitoria,7,18.2,1988
1995-11-07,Noviembre,Vitoria,7,18,1995
1979-11-07,Noviembre,Vitoria,7,17.6,1979
1986-11-07,Noviembre,Vitoria,7,17.6,1986
1985-11-08,Noviembre,Vitoria,8,20,1985
1995-11-08,Noviembre,Vitoria,8,19.2,1995
1954-11-08,Noviembre,Vitoria,8,19,1954
2013-11-08,Noviembre,Vitoria,8,19,2013
1953-11-08,Noviembre,Vitoria,8,18.4,1953
1979-11-08,Noviembre,Vitoria,8,18.2,1979
