date,month,city,day,temp,year
2004-10-01,Octubre,Ciudad_Real,1,32.4,2004
2005-10-01,Octubre,Ciudad_Real,1,31.8,2005
1985-10-01,Octubre,Ciudad_Real,1,31.6,1985
1970-10-01,Octubre,Ciudad_Real,1,31,1970
1971-10-01,Octubre,Ciudad_Real,1,30.6,1971
1995-10-01,Octubre,Ciudad_Real,1,30.6,1995
1963-10-01,Octubre,Ciudad_Real,1,30,1963
1977-10-01,Octubre,Ciudad_Real,1,30,1977
1967-10-01,Octubre,Ciudad_Real,1,29.8,1967
1980-10-01,Octubre,Ciudad_Real,1,29,1980
2004-10-02,Octubre,Ciudad_Real,2,32.2,2004
1985-10-02,Octubre,Ciudad_Real,2,31.8,1985
2006-10-02,Octubre,Ciudad_Real,2,30.5,2006
1970-10-02,Octubre,Ciudad_Real,2,30.4,1970
1980-10-02,Octubre,Ciudad_Real,2,29.6,1980
2017-10-02,Octubre,Ciudad_Real,2,29.1,2017
1975-10-02,Octubre,Ciudad_Real,2,29,1975
1977-10-02,Octubre,Ciudad_Real,2,29,1977
1983-10-02,Octubre,Ciudad_Real,2,29,1983
2001-10-02,Octubre,Ciudad_Real,2,28.9,2001
2004-10-03,Octubre,Ciudad_Real,3,31.2,2004
1975-10-03,Octubre,Ciudad_Real,3,31,1975
2017-10-03,Octubre,Ciudad_Real,3,30.9,2017
1970-10-03,Octubre,Ciudad_Real,3,30.4,1970
1968-10-03,Octubre,Ciudad_Real,3,30,1968
1979-10-03,Octubre,Ciudad_Real,3,30,1979
1983-10-03,Octubre,Ciudad_Real,3,29.8,1983
2011-10-03,Octubre,Ciudad_Real,3,29.4,2011
2016-10-03,Octubre,Ciudad_Real,3,29.3,2016
1977-10-03,Octubre,Ciudad_Real,3,29,1977
2017-10-04,Octubre,Ciudad_Real,4,31.4,2017
2004-10-04,Octubre,Ciudad_Real,4,30.8,2004
1975-10-04,Octubre,Ciudad_Real,4,30.6,1975
2000-10-04,Octubre,Ciudad_Real,4,29.8,2000
2009-10-04,Octubre,Ciudad_Real,4,29.8,2009
2018-10-04,Octubre,Ciudad_Real,4,29.8,2018
2011-10-04,Octubre,Ciudad_Real,4,29.7,2011
2019-10-04,Octubre,Ciudad_Real,4,29.7,2019
1988-10-04,Octubre,Ciudad_Real,4,29.6,1988
1989-10-04,Octubre,Ciudad_Real,4,29.4,1989
2011-10-05,Octubre,Ciudad_Real,5,31.4,2011
2004-10-05,Octubre,Ciudad_Real,5,31,2004
2017-10-05,Octubre,Ciudad_Real,5,30.5,2017
2000-10-05,Octubre,Ciudad_Real,5,30.2,2000
2009-10-05,Octubre,Ciudad_Real,5,30.2,2009
2016-10-05,Octubre,Ciudad_Real,5,29.9,2016
2018-10-05,Octubre,Ciudad_Real,5,29.9,2018
1964-10-05,Octubre,Ciudad_Real,5,29.4,1964
1968-10-05,Octubre,Ciudad_Real,5,29,1968
1983-10-05,Octubre,Ciudad_Real,5,29,1983
2017-10-06,Octubre,Ciudad_Real,6,31.7,2017
2011-10-06,Octubre,Ciudad_Real,6,31.6,2011
2009-10-06,Octubre,Ciudad_Real,6,31.2,2009
1983-10-06,Octubre,Ciudad_Real,6,30,1983
2018-10-06,Octubre,Ciudad_Real,6,29.3,2018
1975-10-06,Octubre,Ciudad_Real,6,29,1975
2019-10-06,Octubre,Ciudad_Real,6,28.9,2019
1964-10-06,Octubre,Ciudad_Real,6,28.8,1964
2016-10-06,Octubre,Ciudad_Real,6,28.8,2016
1962-10-06,Octubre,Ciudad_Real,6,28,1962
2004-10-07,Octubre,Ciudad_Real,7,31,2004
1968-10-07,Octubre,Ciudad_Real,7,29.6,1968
1983-10-07,Octubre,Ciudad_Real,7,29.5,1983
2019-10-07,Octubre,Ciudad_Real,7,29.5,2019
1989-10-07,Octubre,Ciudad_Real,7,29.4,1989
1976-10-07,Octubre,Ciudad_Real,7,28.8,1976
2016-10-07,Octubre,Ciudad_Real,7,28.7,2016
1962-10-07,Octubre,Ciudad_Real,7,28.4,1962
1975-10-07,Octubre,Ciudad_Real,7,28.4,1975
1964-10-07,Octubre,Ciudad_Real,7,28,1964
2019-10-08,Octubre,Ciudad_Real,8,31,2019
2006-10-08,Octubre,Ciudad_Real,8,29.7,2006
2012-10-08,Octubre,Ciudad_Real,8,29.6,2012
1988-10-08,Octubre,Ciudad_Real,8,29,1988
2016-10-08,Octubre,Ciudad_Real,8,28.9,2016
1967-10-08,Octubre,Ciudad_Real,8,28.8,1967
1975-10-08,Octubre,Ciudad_Real,8,28.8,1975
1983-10-08,Octubre,Ciudad_Real,8,28.4,1983
1962-10-08,Octubre,Ciudad_Real,8,28,1962
1978-10-08,Octubre,Ciudad_Real,8,28,1978
2019-10-09,Octubre,Ciudad_Real,9,31.6,2019
1978-10-09,Octubre,Ciudad_Real,9,30.8,1978
2012-10-09,Octubre,Ciudad_Real,9,30.1,2012
2017-10-09,Octubre,Ciudad_Real,9,30,2017
2006-10-09,Octubre,Ciudad_Real,9,28.7,2006
1967-10-09,Octubre,Ciudad_Real,9,28,1967
1988-10-09,Octubre,Ciudad_Real,9,28,1988
1956-10-09,Octubre,Ciudad_Real,9,27.8,1956
1962-10-09,Octubre,Ciudad_Real,9,27.8,1962
1975-10-09,Octubre,Ciudad_Real,9,27.8,1975
2019-10-10,Octubre,Ciudad_Real,10,29.9,2019
2017-10-10,Octubre,Ciudad_Real,10,29.8,2017
2011-10-10,Octubre,Ciudad_Real,10,29.2,2011
2012-10-10,Octubre,Ciudad_Real,10,29.1,2012
1978-10-10,Octubre,Ciudad_Real,10,28.8,1978
1997-10-10,Octubre,Ciudad_Real,10,28,1997
1968-10-10,Octubre,Ciudad_Real,10,27.6,1968
1952-10-10,Octubre,Ciudad_Real,10,26.6,1952
1955-10-10,Octubre,Ciudad_Real,10,26.6,1955
1981-10-10,Octubre,Ciudad_Real,10,26.6,1981
2011-10-11,Octubre,Ciudad_Real,11,30.3,2011
2017-10-11,Octubre,Ciudad_Real,11,30,2017
2019-10-11,Octubre,Ciudad_Real,11,29.3,2019
1997-10-11,Octubre,Ciudad_Real,11,29,1997
2001-10-11,Octubre,Ciudad_Real,11,29,2001
1978-10-11,Octubre,Ciudad_Real,11,28.6,1978
1950-10-11,Octubre,Ciudad_Real,11,28.4,1950
1981-10-11,Octubre,Ciudad_Real,11,28,1981
1955-10-11,Octubre,Ciudad_Real,11,27.6,1955
1983-10-11,Octubre,Ciudad_Real,11,27,1983
2011-10-12,Octubre,Ciudad_Real,12,31.9,2011
2017-10-12,Octubre,Ciudad_Real,12,31.3,2017
2019-10-12,Octubre,Ciudad_Real,12,29.7,2019
1981-10-12,Octubre,Ciudad_Real,12,29.6,1981
1950-10-12,Octubre,Ciudad_Real,12,29.4,1950
1983-10-12,Octubre,Ciudad_Real,12,28,1983
2009-10-12,Octubre,Ciudad_Real,12,27.6,2009
1985-10-12,Octubre,Ciudad_Real,12,26.6,1985
1997-10-12,Octubre,Ciudad_Real,12,26.6,1997
1958-10-12,Octubre,Ciudad_Real,12,26.4,1958
2011-10-13,Octubre,Ciudad_Real,13,32.5,2011
2017-10-13,Octubre,Ciudad_Real,13,31.5,2017
2019-10-13,Octubre,Ciudad_Real,13,28.4,2019
2018-10-13,Octubre,Ciudad_Real,13,28.3,2018
1950-10-13,Octubre,Ciudad_Real,13,28.2,1950
1981-10-13,Octubre,Ciudad_Real,13,28,1981
1985-10-13,Octubre,Ciudad_Real,13,27.2,1985
1983-10-13,Octubre,Ciudad_Real,13,27,1983
2009-10-13,Octubre,Ciudad_Real,13,26.7,2009
1968-10-13,Octubre,Ciudad_Real,13,26.6,1968
2017-10-14,Octubre,Ciudad_Real,14,30.9,2017
2011-10-14,Octubre,Ciudad_Real,14,30.6,2011
1981-10-14,Octubre,Ciudad_Real,14,30,1981
1985-10-14,Octubre,Ciudad_Real,14,28.6,1985
1968-10-14,Octubre,Ciudad_Real,14,27.8,1968
1958-10-14,Octubre,Ciudad_Real,14,27.2,1958
1971-10-14,Octubre,Ciudad_Real,14,26.6,1971
1950-10-14,Octubre,Ciudad_Real,14,26,1950
1952-10-14,Octubre,Ciudad_Real,14,26,1952
2006-10-14,Octubre,Ciudad_Real,14,25.6,2006
2017-10-15,Octubre,Ciudad_Real,15,30,2017
1981-10-15,Octubre,Ciudad_Real,15,29.8,1981
2011-10-15,Octubre,Ciudad_Real,15,28.2,2011
1958-10-15,Octubre,Ciudad_Real,15,27,1958
1963-10-15,Octubre,Ciudad_Real,15,25.8,1963
1952-10-15,Octubre,Ciudad_Real,15,25.4,1952
1968-10-15,Octubre,Ciudad_Real,15,25,1968
1985-10-15,Octubre,Ciudad_Real,15,25,1985
1998-10-15,Octubre,Ciudad_Real,15,25,1998
1954-10-15,Octubre,Ciudad_Real,15,24.8,1954
1981-10-16,Octubre,Ciudad_Real,16,31,1981
2017-10-16,Octubre,Ciudad_Real,16,28.4,2017
1958-10-16,Octubre,Ciudad_Real,16,27.2,1958
1985-10-16,Octubre,Ciudad_Real,16,27,1985
2011-10-16,Octubre,Ciudad_Real,16,27,2011
1963-10-16,Octubre,Ciudad_Real,16,25.6,1963
2008-10-16,Octubre,Ciudad_Real,16,25.6,2008
1952-10-16,Octubre,Ciudad_Real,16,25.3,1952
1995-10-16,Octubre,Ciudad_Real,16,25.2,1995
2001-10-16,Octubre,Ciudad_Real,16,25.2,2001
1985-10-17,Octubre,Ciudad_Real,17,26.8,1985
1952-10-17,Octubre,Ciudad_Real,17,26.4,1952
1997-10-17,Octubre,Ciudad_Real,17,26.2,1997
1981-10-17,Octubre,Ciudad_Real,17,26,1981
2014-10-17,Octubre,Ciudad_Real,17,25.7,2014
1958-10-17,Octubre,Ciudad_Real,17,25.4,1958
1957-10-17,Octubre,Ciudad_Real,17,25,1957
2008-10-17,Octubre,Ciudad_Real,17,25,2008
2015-10-17,Octubre,Ciudad_Real,17,25,2015
2012-10-17,Octubre,Ciudad_Real,17,24.9,2012
2014-10-18,Octubre,Ciudad_Real,18,31.2,2014
2013-10-18,Octubre,Ciudad_Real,18,26.6,2013
1971-10-18,Octubre,Ciudad_Real,18,25.8,1971
1997-10-18,Octubre,Ciudad_Real,18,25.8,1997
1985-10-18,Octubre,Ciudad_Real,18,25.6,1985
1967-10-18,Octubre,Ciudad_Real,18,25.4,1967
2011-10-18,Octubre,Ciudad_Real,18,25.1,2011
1968-10-18,Octubre,Ciudad_Real,18,25,1968
1995-10-18,Octubre,Ciudad_Real,18,25,1995
1954-10-18,Octubre,Ciudad_Real,18,24.6,1954
1981-10-19,Octubre,Ciudad_Real,19,28.6,1981
2014-10-19,Octubre,Ciudad_Real,19,28.3,2014
1968-10-19,Octubre,Ciudad_Real,19,27.2,1968
2011-10-19,Octubre,Ciudad_Real,19,26.9,2011
1950-10-19,Octubre,Ciudad_Real,19,26.6,1950
1985-10-19,Octubre,Ciudad_Real,19,25.6,1985
1997-10-19,Octubre,Ciudad_Real,19,25.6,1997
1983-10-19,Octubre,Ciudad_Real,19,25.4,1983
1995-10-19,Octubre,Ciudad_Real,19,25.2,1995
2002-10-19,Octubre,Ciudad_Real,19,25,2002
2014-10-20,Octubre,Ciudad_Real,20,27.7,2014
1981-10-20,Octubre,Ciudad_Real,20,27.6,1981
1983-10-20,Octubre,Ciudad_Real,20,27.4,1983
1967-10-20,Octubre,Ciudad_Real,20,27.2,1967
1950-10-20,Octubre,Ciudad_Real,20,26,1950
1996-10-20,Octubre,Ciudad_Real,20,25.2,1996
1958-10-20,Octubre,Ciudad_Real,20,25,1958
1968-10-20,Octubre,Ciudad_Real,20,24.6,1968
1985-10-20,Octubre,Ciudad_Real,20,24.6,1985
2008-10-20,Octubre,Ciudad_Real,20,24.6,2008
2014-10-21,Octubre,Ciudad_Real,21,28.7,2014
1983-10-21,Octubre,Ciudad_Real,21,27.6,1983
1996-10-21,Octubre,Ciudad_Real,21,25.6,1996
1985-10-21,Octubre,Ciudad_Real,21,25.4,1985
1989-10-21,Octubre,Ciudad_Real,21,25.2,1989
1950-10-21,Octubre,Ciudad_Real,21,25,1950
1968-10-21,Octubre,Ciudad_Real,21,25,1968
