date,month,city,day,temp,year
1980-10-01,Octubre,Cuenca,1,29.4,1980
2004-10-01,Octubre,Cuenca,1,29.1,2004
2005-10-01,Octubre,Cuenca,1,28.5,2005
2019-10-01,Octubre,Cuenca,1,28,2019
1995-10-01,Octubre,Cuenca,1,27.8,1995
1971-10-01,Octubre,Cuenca,1,27.6,1971
1985-10-01,Octubre,Cuenca,1,27.6,1985
1963-10-01,Octubre,Cuenca,1,26.8,1963
1977-10-01,Octubre,Cuenca,1,26.4,1977
2018-10-01,Octubre,Cuenca,1,26.2,2018
2004-10-02,Octubre,Cuenca,2,30.2,2004
1980-10-02,Octubre,Cuenca,2,30,1980
1970-10-02,Octubre,Cuenca,2,28.4,1970
1975-10-02,Octubre,Cuenca,2,28,1975
1985-10-02,Octubre,Cuenca,2,28,1985
2017-10-02,Octubre,Cuenca,2,27.9,2017
1968-10-02,Octubre,Cuenca,2,27.6,1968
1997-10-02,Octubre,Cuenca,2,27.3,1997
1971-10-02,Octubre,Cuenca,2,27.2,1971
1983-10-02,Octubre,Cuenca,2,27,1983
2011-10-03,Octubre,Cuenca,3,29.6,2011
2004-10-03,Octubre,Cuenca,3,29.5,2004
2017-10-03,Octubre,Cuenca,3,29.3,2017
1968-10-03,Octubre,Cuenca,3,29.2,1968
1975-10-03,Octubre,Cuenca,3,28.6,1975
2018-10-03,Octubre,Cuenca,3,28.1,2018
1979-10-03,Octubre,Cuenca,3,28,1979
1980-10-03,Octubre,Cuenca,3,27.6,1980
1997-10-03,Octubre,Cuenca,3,27.4,1997
2016-10-03,Octubre,Cuenca,3,27.2,2016
1968-10-04,Octubre,Cuenca,4,30,1968
2011-10-04,Octubre,Cuenca,4,29.8,2011
2019-10-04,Octubre,Cuenca,4,29.3,2019
2004-10-04,Octubre,Cuenca,4,28.7,2004
2016-10-04,Octubre,Cuenca,4,28.1,2016
2017-10-04,Octubre,Cuenca,4,28.1,2017
2000-10-04,Octubre,Cuenca,4,27.6,2000
2018-10-04,Octubre,Cuenca,4,27.6,2018
1997-10-04,Octubre,Cuenca,4,27.5,1997
1975-10-04,Octubre,Cuenca,4,27.4,1975
1968-10-05,Octubre,Cuenca,5,30,1968
2017-10-05,Octubre,Cuenca,5,29.6,2017
2011-10-05,Octubre,Cuenca,5,29.5,2011
2009-10-05,Octubre,Cuenca,5,28.5,2009
2019-10-05,Octubre,Cuenca,5,28.2,2019
2004-10-05,Octubre,Cuenca,5,28,2004
1962-10-05,Octubre,Cuenca,5,27.9,1962
2012-10-05,Octubre,Cuenca,5,27.5,2012
2018-10-05,Octubre,Cuenca,5,27.5,2018
1975-10-05,Octubre,Cuenca,5,27.2,1975
2011-10-06,Octubre,Cuenca,6,30.2,2011
2017-10-06,Octubre,Cuenca,6,29.1,2017
2009-10-06,Octubre,Cuenca,6,28.8,2009
1968-10-06,Octubre,Cuenca,6,28.6,1968
1964-10-06,Octubre,Cuenca,6,28.2,1964
2019-10-06,Octubre,Cuenca,6,27.8,2019
1983-10-06,Octubre,Cuenca,6,27.4,1983
1962-10-06,Octubre,Cuenca,6,27.2,1962
2018-10-06,Octubre,Cuenca,6,27,2018
2004-10-06,Octubre,Cuenca,6,26.6,2004
2019-10-07,Octubre,Cuenca,7,28.9,2019
1976-10-07,Octubre,Cuenca,7,28.6,1976
1967-10-07,Octubre,Cuenca,7,28.2,1967
2012-10-07,Octubre,Cuenca,7,28,2012
1962-10-07,Octubre,Cuenca,7,27,1962
2004-10-07,Octubre,Cuenca,7,27,2004
1968-10-07,Octubre,Cuenca,7,26.2,1968
2016-10-07,Octubre,Cuenca,7,26.1,2016
1975-10-07,Octubre,Cuenca,7,26,1975
1964-10-07,Octubre,Cuenca,7,25.4,1964
2019-10-08,Octubre,Cuenca,8,30,2019
2012-10-08,Octubre,Cuenca,8,28.8,2012
2016-10-08,Octubre,Cuenca,8,27.3,2016
1978-10-08,Octubre,Cuenca,8,27,1978
2006-10-08,Octubre,Cuenca,8,26.7,2006
2017-10-08,Octubre,Cuenca,8,26.7,2017
1967-10-08,Octubre,Cuenca,8,26.6,1967
1963-10-08,Octubre,Cuenca,8,26.5,1963
1975-10-08,Octubre,Cuenca,8,26.4,1975
1983-10-08,Octubre,Cuenca,8,25,1983
2019-10-09,Octubre,Cuenca,9,30.3,2019
2012-10-09,Octubre,Cuenca,9,27.9,2012
2017-10-09,Octubre,Cuenca,9,27.2,2017
1967-10-09,Octubre,Cuenca,9,26.8,1967
2005-10-09,Octubre,Cuenca,9,26,2005
1962-10-09,Octubre,Cuenca,9,25.8,1962
2016-10-09,Octubre,Cuenca,9,25.8,2016
1963-10-09,Octubre,Cuenca,9,25.6,1963
1983-10-09,Octubre,Cuenca,9,25.4,1983
1997-10-09,Octubre,Cuenca,9,25.4,1997
2011-10-10,Octubre,Cuenca,10,28.7,2011
1967-10-10,Octubre,Cuenca,10,28.4,1967
2017-10-10,Octubre,Cuenca,10,28.1,2017
2012-10-10,Octubre,Cuenca,10,26,2012
1963-10-10,Octubre,Cuenca,10,25.9,1963
2009-10-10,Octubre,Cuenca,10,25.9,2009
1968-10-10,Octubre,Cuenca,10,25.4,1968
1997-10-10,Octubre,Cuenca,10,25,1997
2019-10-10,Octubre,Cuenca,10,25,2019
1983-10-10,Octubre,Cuenca,10,24.4,1983
