date,month,city,day,temp,year
2001-10-01,Octubre,Donostia,1,29.4,2001
2011-10-01,Octubre,Donostia,1,28.4,2011
1985-10-01,Octubre,Donostia,1,27.6,1985
1962-10-01,Octubre,Donostia,1,27.3,1962
1956-10-01,Octubre,Donostia,1,27,1956
2013-10-01,Octubre,Donostia,1,26,2013
1997-10-01,Octubre,Donostia,1,25.2,1997
2006-10-01,Octubre,Donostia,1,24.7,2006
1982-10-01,Octubre,Donostia,1,24.6,1982
1971-10-01,Octubre,Donostia,1,24.3,1971
1985-10-02,Octubre,Donostia,2,30,1985
2001-10-02,Octubre,Donostia,2,29.8,2001
2011-10-02,Octubre,Donostia,2,28.4,2011
2013-10-02,Octubre,Donostia,2,28.4,2013
2010-10-02,Octubre,Donostia,2,27.7,2010
1975-10-02,Octubre,Donostia,2,26.8,1975
1962-10-02,Octubre,Donostia,2,26.7,1962
1954-10-02,Octubre,Donostia,2,26.3,1954
1995-10-02,Octubre,Donostia,2,26.2,1995
2006-10-02,Octubre,Donostia,2,26.2,2006
1985-10-03,Octubre,Donostia,3,30,1985
1983-10-03,Octubre,Donostia,3,28.6,1983
2013-10-03,Octubre,Donostia,3,28.4,2013
1979-10-03,Octubre,Donostia,3,27.4,1979
1995-10-03,Octubre,Donostia,3,27.2,1995
1980-10-03,Octubre,Donostia,3,26.4,1980
1966-10-03,Octubre,Donostia,3,25.5,1966
1990-10-03,Octubre,Donostia,3,25.2,1990
2016-10-03,Octubre,Donostia,3,24.5,2016
2006-10-03,Octubre,Donostia,3,24.2,2006
2004-10-04,Octubre,Donostia,4,28.2,2004
1983-10-04,Octubre,Donostia,4,26.4,1983
2009-10-04,Octubre,Donostia,4,26,2009
1989-10-04,Octubre,Donostia,4,25.8,1989
1995-10-04,Octubre,Donostia,4,25.4,1995
1965-10-04,Octubre,Donostia,4,24.3,1965
1950-10-04,Octubre,Donostia,4,24,1950
1981-10-04,Octubre,Donostia,4,24,1981
1987-10-04,Octubre,Donostia,4,23.6,1987
1964-10-04,Octubre,Donostia,4,23.3,1964
1983-10-05,Octubre,Donostia,5,27.4,1983
2012-10-05,Octubre,Donostia,5,27.4,2012
1997-10-05,Octubre,Donostia,5,27.2,1997
2018-10-05,Octubre,Donostia,5,27.1,2018
2015-10-05,Octubre,Donostia,5,26.7,2015
2009-10-05,Octubre,Donostia,5,26.5,2009
2004-10-05,Octubre,Donostia,5,26.3,2004
1981-10-05,Octubre,Donostia,5,25.6,1981
