date,month,city,day,temp,year
2006-10-01,Octubre,Granada,1,32.6,2006
2004-10-01,Octubre,Granada,1,31.6,2004
1985-10-01,Octubre,Granada,1,31,1985
2017-10-01,Octubre,Granada,1,30.5,2017
1962-10-01,Octubre,Granada,1,30,1962
1970-10-01,Octubre,Granada,1,30,1970
1995-10-01,Octubre,Granada,1,30,1995
2005-10-01,Octubre,Granada,1,29.7,2005
2018-10-01,Octubre,Granada,1,29.6,2018
2019-10-01,Octubre,Granada,1,29.6,2019
2006-10-02,Octubre,Granada,2,35.2,2006
2013-10-02,Octubre,Granada,2,32.2,2013
1985-10-02,Octubre,Granada,2,32,1985
2004-10-02,Octubre,Granada,2,31.8,2004
1975-10-02,Octubre,Granada,2,31.4,1975
2010-10-02,Octubre,Granada,2,30.5,2010
2005-10-02,Octubre,Granada,2,30.2,2005
1995-10-02,Octubre,Granada,2,30,1995
1980-10-02,Octubre,Granada,2,29.6,1980
1988-10-02,Octubre,Granada,2,29.6,1988
1954-10-03,Octubre,Granada,3,32.6,1954
1975-10-03,Octubre,Granada,3,32.2,1975
2004-10-03,Octubre,Granada,3,31.6,2004
1970-10-03,Octubre,Granada,3,31.2,1970
1979-10-03,Octubre,Granada,3,31,1979
1985-10-03,Octubre,Granada,3,30.4,1985
2016-10-03,Octubre,Granada,3,30.3,2016
1988-10-03,Octubre,Granada,3,29.6,1988
1977-10-03,Octubre,Granada,3,29,1977
1997-10-03,Octubre,Granada,3,29,1997
1975-10-04,Octubre,Granada,4,31,1975
2016-10-04,Octubre,Granada,4,31,2016
1968-10-04,Octubre,Granada,4,30.6,1968
2004-10-04,Octubre,Granada,4,30.5,2004
2001-10-04,Octubre,Granada,4,30.1,2001
2009-10-04,Octubre,Granada,4,29.9,2009
2019-10-04,Octubre,Granada,4,29.8,2019
2000-10-04,Octubre,Granada,4,29.6,2000
2012-10-04,Octubre,Granada,4,29.6,2012
1956-10-04,Octubre,Granada,4,29.5,1956
2009-10-05,Octubre,Granada,5,32.5,2009
1964-10-05,Octubre,Granada,5,31.6,1964
