date,month,city,day,temp,year
1985-10-01,Octubre,Lleida,1,31.2,1985
2013-10-01,Octubre,Lleida,1,31.2,2013
2019-10-01,Octubre,Lleida,1,29.7,2019
1997-10-01,Octubre,Lleida,1,29.5,1997
2007-10-01,Octubre,Lleida,1,29.2,2007
2004-10-01,Octubre,Lleida,1,29,2004
2016-10-01,Octubre,Lleida,1,28.9,2016
1995-10-01,Octubre,Lleida,1,28.8,1995
1962-10-01,Octubre,Lleida,1,28.6,1962
1980-10-01,Octubre,Lleida,1,28.6,1980
2013-10-02,Octubre,Lleida,2,31,2013
1985-10-02,Octubre,Lleida,2,30.8,1985
2006-10-02,Octubre,Lleida,2,30,2006
1997-10-02,Octubre,Lleida,2,29.6,1997
1970-10-02,Octubre,Lleida,2,29.4,1970
1995-10-02,Octubre,Lleida,2,29,1995
2001-10-02,Octubre,Lleida,2,29,2001
2003-10-02,Octubre,Lleida,2,28.5,2003
1979-10-02,Octubre,Lleida,2,28.2,1979
2004-10-02,Octubre,Lleida,2,28,2004
1985-10-03,Octubre,Lleida,3,31.4,1985
2011-10-03,Octubre,Lleida,3,30.2,2011
2016-10-03,Octubre,Lleida,3,29.3,2016
2010-10-03,Octubre,Lleida,3,29,2010
1975-10-03,Octubre,Lleida,3,28.6,1975
2001-10-03,Octubre,Lleida,3,28.6,2001
2004-10-03,Octubre,Lleida,3,28.5,2004
1997-10-03,Octubre,Lleida,3,28.2,1997
1966-10-03,Octubre,Lleida,3,27.8,1966
2018-10-03,Octubre,Lleida,3,27.5,2018
2004-10-04,Octubre,Lleida,4,32.5,2004
1985-10-04,Octubre,Lleida,4,32.4,1985
2016-10-04,Octubre,Lleida,4,29.8,2016
1997-10-04,Octubre,Lleida,4,29.1,1997
1968-10-04,Octubre,Lleida,4,29,1968
2011-10-04,Octubre,Lleida,4,29,2011
2017-10-04,Octubre,Lleida,4,28.9,2017
1988-10-04,Octubre,Lleida,4,28,1988
2019-10-04,Octubre,Lleida,4,27.5,2019
1995-10-04,Octubre,Lleida,4,27.3,1995
2004-10-05,Octubre,Lleida,5,31,2004
2017-10-05,Octubre,Lleida,5,29.4,2017
2009-10-05,Octubre,Lleida,5,29.2,2009
2011-10-05,Octubre,Lleida,5,29,2011
1968-10-05,Octubre,Lleida,5,28.6,1968
2012-10-05,Octubre,Lleida,5,28.4,2012
2016-10-05,Octubre,Lleida,5,28,2016
1964-10-05,Octubre,Lleida,5,27.8,1964
2018-10-05,Octubre,Lleida,5,27.7,2018
1997-10-05,Octubre,Lleida,5,27.6,1997
