date,month,city,day,temp,year
2011-10-01,Octubre,Santander,1,32.7,2011
2001-10-01,Octubre,Santander,1,29.2,2001
1985-10-01,Octubre,Santander,1,29,1985
2006-10-01,Octubre,Santander,1,26.2,2006
2013-10-01,Octubre,Santander,1,26,2013
1962-10-01,Octubre,Santander,1,25.6,1962
2014-10-01,Octubre,Santander,1,24.9,2014
2007-10-01,Octubre,Santander,1,24.4,2007
1983-10-01,Octubre,Santander,1,24,1983
2003-10-01,Octubre,Santander,1,24,2003
2011-10-02,Octubre,Santander,2,29.3,2011
2001-10-02,Octubre,Santander,2,28.4,2001
1983-10-02,Octubre,Santander,2,26.6,1983
1979-10-02,Octubre,Santander,2,26.4,1979
1966-10-02,Octubre,Santander,2,26.2,1966
2013-10-02,Octubre,Santander,2,25.5,2013
2003-10-02,Octubre,Santander,2,24.6,2003
1985-10-02,Octubre,Santander,2,24.2,1985
2010-10-02,Octubre,Santander,2,23.7,2010
1997-10-02,Octubre,Santander,2,23.6,1997
1983-10-03,Octubre,Santander,3,33.2,1983
1985-10-03,Octubre,Santander,3,30.2,1985
2013-10-03,Octubre,Santander,3,29.2,2013
1966-10-03,Octubre,Santander,3,28,1966
2011-10-03,Octubre,Santander,3,27.6,2011
1965-10-03,Octubre,Santander,3,27,1965
1987-10-03,Octubre,Santander,3,24.4,1987
2010-10-03,Octubre,Santander,3,24.4,2010
1980-10-03,Octubre,Santander,3,24,1980
1995-10-03,Octubre,Santander,3,23.8,1995
1983-10-04,Octubre,Santander,4,29.8,1983
1965-10-04,Octubre,Santander,4,27,1965
2015-10-04,Octubre,Santander,4,26.5,2015
1969-10-04,Octubre,Santander,4,26.2,1969
1987-10-04,Octubre,Santander,4,25,1987
1995-10-04,Octubre,Santander,4,24.8,1995
2009-10-04,Octubre,Santander,4,24,2009
1972-10-04,Octubre,Santander,4,23.8,1972
2011-10-04,Octubre,Santander,4,23.7,2011
2013-10-04,Octubre,Santander,4,23.7,2013
2015-10-05,Octubre,Santander,5,27.9,2015
2009-10-05,Octubre,Santander,5,27.6,2009
1997-10-05,Octubre,Santander,5,27.4,1997
2008-10-05,Octubre,Santander,5,26.6,2008
2010-10-05,Octubre,Santander,5,26.6,2010
1972-10-05,Octubre,Santander,5,24.8,1972
2001-10-05,Octubre,Santander,5,24.6,2001
2012-10-05,Octubre,Santander,5,24.6,2012
2011-10-05,Octubre,Santander,5,23.7,2011
2018-10-05,Octubre,Santander,5,23.7,2018
2009-10-06,Octubre,Santander,6,28,2009
2014-10-06,Octubre,Santander,6,25,2014
1981-10-06,Octubre,Santander,6,24.4,1981
2012-10-06,Octubre,Santander,6,24.2,2012
1967-10-06,Octubre,Santander,6,23.6,1967
1972-10-06,Octubre,Santander,6,23.6,1972
1997-10-06,Octubre,Santander,6,23.4,1997
2015-10-06,Octubre,Santander,6,23.4,2015
