date,month,city,day,temp,year
1964-09-01,Septiembre,Ciudad_Real,1,39.2,1964
2006-09-01,Septiembre,Ciudad_Real,1,37.5,2006
2014-09-01,Septiembre,Ciudad_Real,1,36.8,2014
1984-09-01,Septiembre,Ciudad_Real,1,36.2,1984
1970-09-01,Septiembre,Ciudad_Real,1,36,1970
2019-09-01,Septiembre,Ciudad_Real,1,35.8,2019
1998-09-01,Septiembre,Ciudad_Real,1,35.4,1998
2018-09-01,Septiembre,Ciudad_Real,1,35.3,2018
1985-09-01,Septiembre,Ciudad_Real,1,35.2,1985
1962-09-01,Septiembre,Ciudad_Real,1,35,1962
1964-09-02,Septiembre,Ciudad_Real,2,40,1964
2014-09-02,Septiembre,Ciudad_Real,2,38.4,2014
2006-09-02,Septiembre,Ciudad_Real,2,37.8,2006
1962-09-02,Septiembre,Ciudad_Real,2,36.8,1962
1970-09-02,Septiembre,Ciudad_Real,2,36.6,1970
2018-09-02,Septiembre,Ciudad_Real,2,36.6,2018
1985-09-02,Septiembre,Ciudad_Real,2,35.8,1985
1984-09-02,Septiembre,Ciudad_Real,2,35.2,1984
1966-09-02,Septiembre,Ciudad_Real,2,34.8,1966
1993-09-02,Septiembre,Ciudad_Real,2,34.6,1993
2006-09-03,Septiembre,Ciudad_Real,3,39.4,2006
1962-09-03,Septiembre,Ciudad_Real,3,36.4,1962
2016-09-03,Septiembre,Ciudad_Real,3,36.1,2016
2005-09-03,Septiembre,Ciudad_Real,3,35.6,2005
1971-09-03,Septiembre,Ciudad_Real,3,35.4,1971
1985-09-03,Septiembre,Ciudad_Real,3,35.4,1985
1970-09-03,Septiembre,Ciudad_Real,3,35,1970
1966-09-03,Septiembre,Ciudad_Real,3,34.8,1966
2014-09-03,Septiembre,Ciudad_Real,3,34.6,2014
2019-09-03,Septiembre,Ciudad_Real,3,34.6,2019
2016-09-04,Septiembre,Ciudad_Real,4,38,2016
1970-09-04,Septiembre,Ciudad_Real,4,37.6,1970
2006-09-04,Septiembre,Ciudad_Real,4,37.6,2006
2005-09-04,Septiembre,Ciudad_Real,4,36.2,2005
1966-09-04,Septiembre,Ciudad_Real,4,35.6,1966
1985-09-04,Septiembre,Ciudad_Real,4,35.4,1985
2009-09-04,Septiembre,Ciudad_Real,4,35.2,2009
1986-09-04,Septiembre,Ciudad_Real,4,35,1986
2001-09-04,Septiembre,Ciudad_Real,4,35,2001
2019-09-04,Septiembre,Ciudad_Real,4,35,2019
2016-09-05,Septiembre,Ciudad_Real,5,38.3,2016
1970-09-05,Septiembre,Ciudad_Real,5,38,1970
1988-09-05,Septiembre,Ciudad_Real,5,37.2,1988
1985-09-05,Septiembre,Ciudad_Real,5,35.4,1985
1957-09-05,Septiembre,Ciudad_Real,5,35.2,1957
1966-09-05,Septiembre,Ciudad_Real,5,35,1966
2001-09-05,Septiembre,Ciudad_Real,5,35,2001
2006-09-05,Septiembre,Ciudad_Real,5,35,2006
2009-09-05,Septiembre,Ciudad_Real,5,35,2009
1997-09-05,Septiembre,Ciudad_Real,5,34.7,1997
2016-09-06,Septiembre,Ciudad_Real,6,39.5,2016
1970-09-06,Septiembre,Ciudad_Real,6,38.8,1970
1988-09-06,Septiembre,Ciudad_Real,6,38.6,1988
1957-09-06,Septiembre,Ciudad_Real,6,36.4,1957
1985-09-06,Septiembre,Ciudad_Real,6,36.4,1985
1962-09-06,Septiembre,Ciudad_Real,6,35.8,1962
1966-09-06,Septiembre,Ciudad_Real,6,35.8,1966
1981-09-06,Septiembre,Ciudad_Real,6,35.6,1981
2017-09-06,Septiembre,Ciudad_Real,6,35,2017
1980-09-06,Septiembre,Ciudad_Real,6,34.8,1980
2016-09-07,Septiembre,Ciudad_Real,7,39.7,2016
1970-09-07,Septiembre,Ciudad_Real,7,39,1970
1988-09-07,Septiembre,Ciudad_Real,7,38.8,1988
1957-09-07,Septiembre,Ciudad_Real,7,36.8,1957
1966-09-07,Septiembre,Ciudad_Real,7,36.8,1966
1962-09-07,Septiembre,Ciudad_Real,7,36,1962
1981-09-07,Septiembre,Ciudad_Real,7,35.6,1981
1985-09-07,Septiembre,Ciudad_Real,7,35.4,1985
1964-09-07,Septiembre,Ciudad_Real,7,35,1964
1980-09-07,Septiembre,Ciudad_Real,7,35,1980
1988-09-08,Septiembre,Ciudad_Real,8,38,1988
1966-09-08,Septiembre,Ciudad_Real,8,36,1966
1985-09-08,Septiembre,Ciudad_Real,8,36,1985
1987-09-08,Septiembre,Ciudad_Real,8,36,1987
2000-09-08,Septiembre,Ciudad_Real,8,35.7,2000
2011-09-08,Septiembre,Ciudad_Real,8,35.6,2011
1962-09-08,Septiembre,Ciudad_Real,8,35.4,1962
1981-09-08,Septiembre,Ciudad_Real,8,35,1981
1983-09-08,Septiembre,Ciudad_Real,8,34.8,1983
1964-09-08,Septiembre,Ciudad_Real,8,34.2,1964
2011-09-09,Septiembre,Ciudad_Real,9,36.7,2011
1966-09-09,Septiembre,Ciudad_Real,9,36.4,1966
1962-09-09,Septiembre,Ciudad_Real,9,36.2,1962
1968-09-09,Septiembre,Ciudad_Real,9,35.4,1968
1987-09-09,Septiembre,Ciudad_Real,9,35.4,1987
1988-09-09,Septiembre,Ciudad_Real,9,34.8,1988
1985-09-09,Septiembre,Ciudad_Real,9,34.6,1985
2006-09-09,Septiembre,Ciudad_Real,9,34.6,2006
1998-09-09,Septiembre,Ciudad_Real,9,34.4,1998
2000-09-09,Septiembre,Ciudad_Real,9,34.2,2000
1966-09-10,Septiembre,Ciudad_Real,10,37.6,1966
1962-09-10,Septiembre,Ciudad_Real,10,36.8,1962
1985-09-10,Septiembre,Ciudad_Real,10,35.4,1985
1987-09-10,Septiembre,Ciudad_Real,10,35.2,1987
1964-09-10,Septiembre,Ciudad_Real,10,35,1964
1978-09-10,Septiembre,Ciudad_Real,10,34.6,1978
1997-09-10,Septiembre,Ciudad_Real,10,34.6,1997
2004-09-10,Septiembre,Ciudad_Real,10,34.4,2004
2000-09-10,Septiembre,Ciudad_Real,10,34.2,2000
2011-09-10,Septiembre,Ciudad_Real,10,33.9,2011
1962-09-11,Septiembre,Ciudad_Real,11,38.4,1962
1958-09-11,Septiembre,Ciudad_Real,11,36.8,1958
1973-09-11,Septiembre,Ciudad_Real,11,35.6,1973
1985-09-11,Septiembre,Ciudad_Real,11,35.6,1985
1966-09-11,Septiembre,Ciudad_Real,11,35.4,1966
1978-09-11,Septiembre,Ciudad_Real,11,35.4,1978
1997-09-11,Septiembre,Ciudad_Real,11,35.4,1997
1954-09-11,Septiembre,Ciudad_Real,11,34.8,1954
1987-09-11,Septiembre,Ciudad_Real,11,34.4,1987
2004-09-11,Septiembre,Ciudad_Real,11,34.2,2004
1962-09-12,Septiembre,Ciudad_Real,12,36.8,1962
1987-09-12,Septiembre,Ciudad_Real,12,36,1987
1958-09-12,Septiembre,Ciudad_Real,12,35,1958
1966-09-12,Septiembre,Ciudad_Real,12,34.8,1966
2016-09-12,Septiembre,Ciudad_Real,12,34.5,2016
1960-09-12,Septiembre,Ciudad_Real,12,33.8,1960
2011-09-12,Septiembre,Ciudad_Real,12,33.7,2011
2012-09-12,Septiembre,Ciudad_Real,12,33.6,2012
1961-09-12,Septiembre,Ciudad_Real,12,33.4,1961
1964-09-12,Septiembre,Ciudad_Real,12,33.4,1964
1958-09-13,Septiembre,Ciudad_Real,13,36.6,1958
1987-09-13,Septiembre,Ciudad_Real,13,36.4,1987
1964-09-13,Septiembre,Ciudad_Real,13,36,1964
1962-09-13,Septiembre,Ciudad_Real,13,35.6,1962
1960-09-13,Septiembre,Ciudad_Real,13,35.4,1960
2011-09-13,Septiembre,Ciudad_Real,13,35,2011
2000-09-13,Septiembre,Ciudad_Real,13,34.2,2000
1961-09-13,Septiembre,Ciudad_Real,13,34,1961
1978-09-13,Septiembre,Ciudad_Real,13,34,1978
2010-09-13,Septiembre,Ciudad_Real,13,33.8,2010
1962-09-14,Septiembre,Ciudad_Real,14,36,1962
1987-09-14,Septiembre,Ciudad_Real,14,35,1987
2011-09-14,Septiembre,Ciudad_Real,14,34.9,2011
2010-09-14,Septiembre,Ciudad_Real,14,34.6,2010
1985-09-14,Septiembre,Ciudad_Real,14,34.4,1985
1992-09-14,Septiembre,Ciudad_Real,14,34.4,1992
2000-09-14,Septiembre,Ciudad_Real,14,34.3,2000
1961-09-14,Septiembre,Ciudad_Real,14,34.2,1961
1973-09-14,Septiembre,Ciudad_Real,14,34,1973
1978-09-14,Septiembre,Ciudad_Real,14,33.8,1978
1987-09-15,Septiembre,Ciudad_Real,15,35.6,1987
2010-09-15,Septiembre,Ciudad_Real,15,34.8,2010
1992-09-15,Septiembre,Ciudad_Real,15,34.6,1992
1964-09-15,Septiembre,Ciudad_Real,15,34.4,1964
1985-09-15,Septiembre,Ciudad_Real,15,34.4,1985
2000-09-15,Septiembre,Ciudad_Real,15,34.3,2000
2012-09-15,Septiembre,Ciudad_Real,15,34,2012
1961-09-15,Septiembre,Ciudad_Real,15,33.8,1961
1980-09-15,Septiembre,Ciudad_Real,15,33.6,1980
2011-09-15,Septiembre,Ciudad_Real,15,33.3,2011
1964-09-16,Septiembre,Ciudad_Real,16,36.6,1964
1992-09-16,Septiembre,Ciudad_Real,16,35.4,1992
1987-09-16,Septiembre,Ciudad_Real,16,34.2,1987
1978-09-16,Septiembre,Ciudad_Real,16,33.6,1978
1981-09-16,Septiembre,Ciudad_Real,16,33.6,1981
1961-09-16,Septiembre,Ciudad_Real,16,33.4,1961
2001-09-16,Septiembre,Ciudad_Real,16,33.4,2001
2011-09-16,Septiembre,Ciudad_Real,16,33.2,2011
2012-09-16,Septiembre,Ciudad_Real,16,33.1,2012
1970-09-16,Septiembre,Ciudad_Real,16,33,1970
1964-09-17,Septiembre,Ciudad_Real,17,36.8,1964
1992-09-17,Septiembre,Ciudad_Real,17,34.4,1992
1991-09-17,Septiembre,Ciudad_Real,17,34,1991
1961-09-17,Septiembre,Ciudad_Real,17,33.8,1961
1978-09-17,Septiembre,Ciudad_Real,17,33.8,1978
1981-09-17,Septiembre,Ciudad_Real,17,33,1981
1954-09-17,Septiembre,Ciudad_Real,17,32.8,1954
2012-09-17,Septiembre,Ciudad_Real,17,32.5,2012
1987-09-17,Septiembre,Ciudad_Real,17,32.4,1987
1998-09-17,Septiembre,Ciudad_Real,17,32.2,1998
1964-09-18,Septiembre,Ciudad_Real,18,37,1964
1991-09-18,Septiembre,Ciudad_Real,18,35.6,1991
1950-09-18,Septiembre,Ciudad_Real,18,33.6,1950
1992-09-18,Septiembre,Ciudad_Real,18,33.6,1992
1970-09-18,Septiembre,Ciudad_Real,18,33.4,1970
1978-09-18,Septiembre,Ciudad_Real,18,33.4,1978
1987-09-18,Septiembre,Ciudad_Real,18,33,1987
1954-09-18,Septiembre,Ciudad_Real,18,32.8,1954
2004-09-18,Septiembre,Ciudad_Real,18,32.6,2004
2012-09-18,Septiembre,Ciudad_Real,18,32.2,2012
1970-09-19,Septiembre,Ciudad_Real,19,35,1970
1991-09-19,Septiembre,Ciudad_Real,19,35,1991
1964-09-19,Septiembre,Ciudad_Real,19,34.4,1964
1954-09-19,Septiembre,Ciudad_Real,19,33.6,1954
2004-09-19,Septiembre,Ciudad_Real,19,33.2,2004
1978-09-19,Septiembre,Ciudad_Real,19,32.8,1978
1958-09-19,Septiembre,Ciudad_Real,19,32.6,1958
1950-09-19,Septiembre,Ciudad_Real,19,32.4,1950
1965-09-19,Septiembre,Ciudad_Real,19,32,1965
2012-09-19,Septiembre,Ciudad_Real,19,31.8,2012
1970-09-20,Septiembre,Ciudad_Real,20,34.4,1970
1954-09-20,Septiembre,Ciudad_Real,20,33.8,1954
1958-09-20,Septiembre,Ciudad_Real,20,33,1958
2004-09-20,Septiembre,Ciudad_Real,20,32.7,2004
2018-09-20,Septiembre,Ciudad_Real,20,32.3,2018
1978-09-20,Septiembre,Ciudad_Real,20,32,1978
2003-09-20,Septiembre,Ciudad_Real,20,32,2003
1981-09-20,Septiembre,Ciudad_Real,20,31.6,1981
1991-09-20,Septiembre,Ciudad_Real,20,31.6,1991
1983-09-20,Septiembre,Ciudad_Real,20,31.4,1983
1970-09-21,Septiembre,Ciudad_Real,21,34.4,1970
2004-09-21,Septiembre,Ciudad_Real,21,34.1,2004
2018-09-21,Septiembre,Ciudad_Real,21,33.4,2018
1965-09-21,Septiembre,Ciudad_Real,21,33.2,1965
1983-09-21,Septiembre,Ciudad_Real,21,33.2,1983
1954-09-21,Septiembre,Ciudad_Real,21,32.6,1954
1958-09-21,Septiembre,Ciudad_Real,21,32.4,1958
1966-09-21,Septiembre,Ciudad_Real,21,32,1966
2012-09-21,Septiembre,Ciudad_Real,21,31.3,2012
2017-09-21,Septiembre,Ciudad_Real,21,31.2,2017
1983-09-22,Septiembre,Ciudad_Real,22,36,1983
1970-09-22,Septiembre,Ciudad_Real,22,35.4,1970
2004-09-22,Septiembre,Ciudad_Real,22,34.4,2004
2018-09-22,Septiembre,Ciudad_Real,22,33.8,2018
1964-09-22,Septiembre,Ciudad_Real,22,32,1964
2012-09-22,Septiembre,Ciudad_Real,22,32,2012
1954-09-22,Septiembre,Ciudad_Real,22,31.8,1954
1958-09-22,Septiembre,Ciudad_Real,22,31.8,1958
1965-09-22,Septiembre,Ciudad_Real,22,31.8,1965
2013-09-22,Septiembre,Ciudad_Real,22,31.6,2013
1970-09-23,Septiembre,Ciudad_Real,23,35,1970
2018-09-23,Septiembre,Ciudad_Real,23,34.6,2018
2004-09-23,Septiembre,Ciudad_Real,23,34.4,2004
1983-09-23,Septiembre,Ciudad_Real,23,34,1983
1964-09-23,Septiembre,Ciudad_Real,23,33.8,1964
1958-09-23,Septiembre,Ciudad_Real,23,32.8,1958
1957-09-23,Septiembre,Ciudad_Real,23,32.4,1957
2005-09-23,Septiembre,Ciudad_Real,23,32,2005
1991-09-23,Septiembre,Ciudad_Real,23,31.8,1991
2013-09-23,Septiembre,Ciudad_Real,23,31.8,2013
1983-09-24,Septiembre,Ciudad_Real,24,34.6,1983
2018-09-24,Septiembre,Ciudad_Real,24,33.8,2018
1958-09-24,Septiembre,Ciudad_Real,24,33.4,1958
1964-09-24,Septiembre,Ciudad_Real,24,33.4,1964
1957-09-24,Septiembre,Ciudad_Real,24,33,1957
2013-09-24,Septiembre,Ciudad_Real,24,31.6,2013
1961-09-24,Septiembre,Ciudad_Real,24,31.4,1961
2017-09-24,Septiembre,Ciudad_Real,24,31.4,2017
1968-09-24,Septiembre,Ciudad_Real,24,31,1968
1970-09-24,Septiembre,Ciudad_Real,24,31,1970
1983-09-25,Septiembre,Ciudad_Real,25,34.8,1983
1958-09-25,Septiembre,Ciudad_Real,25,33.6,1958
2018-09-25,Septiembre,Ciudad_Real,25,33.5,2018
2013-09-25,Septiembre,Ciudad_Real,25,31.9,2013
1957-09-25,Septiembre,Ciudad_Real,25,31.8,1957
1961-09-25,Septiembre,Ciudad_Real,25,31.4,1961
