date,month,city,day,temp,year
2014-09-01,Septiembre,Jerez,1,38.2,2014
1964-09-01,Septiembre,Jerez,1,38,1964
1995-09-01,Septiembre,Jerez,1,37.4,1995
1970-09-01,Septiembre,Jerez,1,36.6,1970
1985-09-01,Septiembre,Jerez,1,36.6,1985
2006-09-01,Septiembre,Jerez,1,36.1,2006
2017-09-01,Septiembre,Jerez,1,36.1,2017
1957-09-01,Septiembre,Jerez,1,36,1957
1991-09-01,Septiembre,Jerez,1,36,1991
2008-09-01,Septiembre,Jerez,1,36,2008
2006-09-02,Septiembre,Jerez,2,38.4,2006
2016-09-02,Septiembre,Jerez,2,37.2,2016
2019-09-02,Septiembre,Jerez,2,37.2,2019
1970-09-02,Septiembre,Jerez,2,36.8,1970
1985-09-02,Septiembre,Jerez,2,36.4,1985
2018-09-02,Septiembre,Jerez,2,36.4,2018
1997-09-02,Septiembre,Jerez,2,35.7,1997
2017-09-02,Septiembre,Jerez,2,35.4,2017
1966-09-02,Septiembre,Jerez,2,35.2,1966
1957-09-02,Septiembre,Jerez,2,35,1957
2006-09-03,Septiembre,Jerez,3,40.4,2006
2016-09-03,Septiembre,Jerez,3,39.3,2016
2019-09-03,Septiembre,Jerez,3,37.6,2019
1983-09-03,Septiembre,Jerez,3,37.4,1983
1985-09-03,Septiembre,Jerez,3,37.4,1985
1970-09-03,Septiembre,Jerez,3,37.2,1970
1957-09-03,Septiembre,Jerez,3,37,1957
1992-09-03,Septiembre,Jerez,3,37,1992
2010-09-03,Septiembre,Jerez,3,37,2010
1953-09-03,Septiembre,Jerez,3,36.7,1953
2016-09-04,Septiembre,Jerez,4,41.7,2016
1957-09-04,Septiembre,Jerez,4,39,1957
2010-09-04,Septiembre,Jerez,4,37.6,2010
1970-09-04,Septiembre,Jerez,4,37.4,1970
2009-09-04,Septiembre,Jerez,4,37,2009
2019-09-04,Septiembre,Jerez,4,36.9,2019
1953-09-04,Septiembre,Jerez,4,36.7,1953
1985-09-04,Septiembre,Jerez,4,36.6,1985
1992-09-04,Septiembre,Jerez,4,36.6,1992
1997-09-04,Septiembre,Jerez,4,36.6,1997
2016-09-05,Septiembre,Jerez,5,44.6,2016
1970-09-05,Septiembre,Jerez,5,39.2,1970
1966-09-05,Septiembre,Jerez,5,39,1966
2010-09-05,Septiembre,Jerez,5,37.8,2010
1953-09-05,Septiembre,Jerez,5,37.4,1953
1988-09-05,Septiembre,Jerez,5,37.2,1988
1957-09-05,Septiembre,Jerez,5,37,1957
2006-09-05,Septiembre,Jerez,5,36.7,2006
1992-09-05,Septiembre,Jerez,5,36,1992
1997-09-05,Septiembre,Jerez,5,36,1997
2016-09-06,Septiembre,Jerez,6,41.8,2016
1988-09-06,Septiembre,Jerez,6,38.4,1988
2017-09-06,Septiembre,Jerez,6,38.2,2017
1957-09-06,Septiembre,Jerez,6,38,1957
1987-09-06,Septiembre,Jerez,6,37.6,1987
1970-09-06,Septiembre,Jerez,6,37.2,1970
1953-09-06,Septiembre,Jerez,6,37,1953
