date,month,city,day,temp,year
1984-09-01,Septiembre,Logrono,1,36.2,1984
1951-09-01,Septiembre,Logrono,1,36,1951
2014-09-01,Septiembre,Logrono,1,34.2,2014
1964-09-01,Septiembre,Logrono,1,34,1964
1953-09-01,Septiembre,Logrono,1,33.7,1953
2006-09-01,Septiembre,Logrono,1,33.5,2006
1967-09-01,Septiembre,Logrono,1,33.2,1967
2016-09-01,Septiembre,Logrono,1,32.8,2016
2018-09-01,Septiembre,Logrono,1,32.4,2018
1998-09-01,Septiembre,Logrono,1,32.2,1998
1984-09-02,Septiembre,Logrono,2,36.4,1984
2016-09-02,Septiembre,Logrono,2,36.1,2016
1999-09-02,Septiembre,Logrono,2,34.4,1999
2014-09-02,Septiembre,Logrono,2,34.3,2014
2018-09-02,Septiembre,Logrono,2,34.1,2018
1962-09-02,Septiembre,Logrono,2,33.8,1962
2006-09-02,Septiembre,Logrono,2,33,2006
1953-09-02,Septiembre,Logrono,2,32.8,1953
1958-09-02,Septiembre,Logrono,2,32.2,1958
2005-09-02,Septiembre,Logrono,2,32.2,2005
2016-09-03,Septiembre,Logrono,3,36.1,2016
2014-09-03,Septiembre,Logrono,3,35.3,2014
2005-09-03,Septiembre,Logrono,3,35.2,2005
2006-09-03,Septiembre,Logrono,3,35,2006
1962-09-03,Septiembre,Logrono,3,33.4,1962
1971-09-03,Septiembre,Logrono,3,33,1971
1986-09-03,Septiembre,Logrono,3,33,1986
2010-09-03,Septiembre,Logrono,3,32.3,2010
1990-09-03,Septiembre,Logrono,3,32.2,1990
1993-09-03,Septiembre,Logrono,3,32,1993
2016-09-04,Septiembre,Logrono,4,36.6,2016
2006-09-04,Septiembre,Logrono,4,35.6,2006
1951-09-04,Septiembre,Logrono,4,34.6,1951
2005-09-04,Septiembre,Logrono,4,34.6,2005
1958-09-04,Septiembre,Logrono,4,34,1958
2010-09-04,Septiembre,Logrono,4,33.5,2010
1971-09-04,Septiembre,Logrono,4,33.2,1971
1953-09-04,Septiembre,Logrono,4,33,1953
1988-09-04,Septiembre,Logrono,4,32.8,1988
1950-09-04,Septiembre,Logrono,4,32.5,1950
2006-09-05,Septiembre,Logrono,5,36,2006
2004-09-05,Septiembre,Logrono,5,34.4,2004
2016-09-05,Septiembre,Logrono,5,34.3,2016
1988-09-05,Septiembre,Logrono,5,34.2,1988
2010-09-05,Septiembre,Logrono,5,33.8,2010
1953-09-05,Septiembre,Logrono,5,33,1953
1951-09-05,Septiembre,Logrono,5,32.6,1951
1971-09-05,Septiembre,Logrono,5,32.6,1971
2014-09-05,Septiembre,Logrono,5,32.3,2014
1958-09-05,Septiembre,Logrono,5,31.8,1958
1988-09-06,Septiembre,Logrono,6,37.2,1988
2016-09-06,Septiembre,Logrono,6,37.2,2016
2006-09-06,Septiembre,Logrono,6,34.8,2006
1953-09-06,Septiembre,Logrono,6,34.5,1953
1994-09-06,Septiembre,Logrono,6,33.4,1994
1970-09-06,Septiembre,Logrono,6,33,1970
1971-09-06,Septiembre,Logrono,6,32.8,1971
1966-09-06,Septiembre,Logrono,6,32.6,1966
2000-09-06,Septiembre,Logrono,6,32.4,2000
2014-09-06,Septiembre,Logrono,6,32.4,2014
1988-09-07,Septiembre,Logrono,7,39,1988
1987-09-07,Septiembre,Logrono,7,36,1987
1966-09-07,Septiembre,Logrono,7,35.4,1966
2016-09-07,Septiembre,Logrono,7,34.3,2016
1953-09-07,Septiembre,Logrono,7,34,1953
1970-09-07,Septiembre,Logrono,7,33.6,1970
2012-09-07,Septiembre,Logrono,7,33.2,2012
2014-09-07,Septiembre,Logrono,7,32.8,2014
1985-09-07,Septiembre,Logrono,7,31.8,1985
1994-09-07,Septiembre,Logrono,7,31.6,1994
1966-09-08,Septiembre,Logrono,8,37,1966
1988-09-08,Septiembre,Logrono,8,37,1988
2006-09-08,Septiembre,Logrono,8,34.2,2006
1985-09-08,Septiembre,Logrono,8,33.2,1985
2011-09-08,Septiembre,Logrono,8,33.1,2011
2012-09-08,Septiembre,Logrono,8,33.1,2012
1991-09-08,Septiembre,Logrono,8,32.2,1991
1953-09-08,Septiembre,Logrono,8,32,1953
2009-09-08,Septiembre,Logrono,8,31.9,2009
1987-09-08,Septiembre,Logrono,8,31.8,1987
1966-09-09,Septiembre,Logrono,9,38.4,1966
1950-09-09,Septiembre,Logrono,9,33.8,1950
1991-09-09,Septiembre,Logrono,9,33.6,1991
1998-09-09,Septiembre,Logrono,9,33.6,1998
2006-09-09,Septiembre,Logrono,9,33.6,2006
2011-09-09,Septiembre,Logrono,9,33.3,2011
1964-09-09,Septiembre,Logrono,9,33.2,1964
2009-09-09,Septiembre,Logrono,9,32.5,2009
1985-09-09,Septiembre,Logrono,9,32.4,1985
1999-09-09,Septiembre,Logrono,9,32.4,1999
2011-09-10,Septiembre,Logrono,10,34.8,2011
1966-09-10,Septiembre,Logrono,10,34.4,1966
1985-09-10,Septiembre,Logrono,10,33.4,1985
2014-09-10,Septiembre,Logrono,10,32.5,2014
1950-09-10,Septiembre,Logrono,10,32.4,1950
2009-09-10,Septiembre,Logrono,10,32.3,2009
1997-09-10,Septiembre,Logrono,10,32.2,1997
1978-09-10,Septiembre,Logrono,10,32,1978
1954-09-10,Septiembre,Logrono,10,31.8,1954
1962-09-10,Septiembre,Logrono,10,31.6,1962
1966-09-11,Septiembre,Logrono,11,36.4,1966
1962-09-11,Septiembre,Logrono,11,33.6,1962
1973-09-11,Septiembre,Logrono,11,33.6,1973
1990-09-11,Septiembre,Logrono,11,33.2,1990
1958-09-11,Septiembre,Logrono,11,32.8,1958
2016-09-11,Septiembre,Logrono,11,32.5,2016
1987-09-11,Septiembre,Logrono,11,32,1987
2012-09-11,Septiembre,Logrono,11,31.9,2012
1964-09-11,Septiembre,Logrono,11,31.8,1964
1954-09-11,Septiembre,Logrono,11,31.6,1954
1987-09-12,Septiembre,Logrono,12,35.2,1987
1958-09-12,Septiembre,Logrono,12,34.6,1958
2016-09-12,Septiembre,Logrono,12,34.2,2016
1977-09-12,Septiembre,Logrono,12,33.6,1977
1990-09-12,Septiembre,Logrono,12,32.8,1990
1985-09-12,Septiembre,Logrono,12,32.4,1985
1964-09-12,Septiembre,Logrono,12,32,1964
2011-09-12,Septiembre,Logrono,12,32,2011
1980-09-12,Septiembre,Logrono,12,31.8,1980
1956-09-12,Septiembre,Logrono,12,31.4,1956
1987-09-13,Septiembre,Logrono,13,36.2,1987
1956-09-13,Septiembre,Logrono,13,35,1956
2011-09-13,Septiembre,Logrono,13,33.1,2011
1953-09-13,Septiembre,Logrono,13,32.5,1953
1950-09-13,Septiembre,Logrono,13,32.3,1950
1958-09-13,Septiembre,Logrono,13,32.2,1958
1961-09-13,Septiembre,Logrono,13,32,1961
1964-09-13,Septiembre,Logrono,13,31.4,1964
2000-09-13,Septiembre,Logrono,13,31.2,2000
2014-09-13,Septiembre,Logrono,13,31.1,2014
1987-09-14,Septiembre,Logrono,14,37.4,1987
1956-09-14,Septiembre,Logrono,14,36,1956
2000-09-14,Septiembre,Logrono,14,33.4,2000
1986-09-14,Septiembre,Logrono,14,32.4,1986
1962-09-14,Septiembre,Logrono,14,32,1962
1973-09-14,Septiembre,Logrono,14,32,1973
1953-09-14,Septiembre,Logrono,14,31.4,1953
1964-09-14,Septiembre,Logrono,14,31.4,1964
1981-09-14,Septiembre,Logrono,14,31,1981
1961-09-14,Septiembre,Logrono,14,30.8,1961
1987-09-15,Septiembre,Logrono,15,36.8,1987
2000-09-15,Septiembre,Logrono,15,33.4,2000
1981-09-15,Septiembre,Logrono,15,33,1981
2012-09-15,Septiembre,Logrono,15,32.8,2012
2011-09-15,Septiembre,Logrono,15,32.5,2011
1989-09-15,Septiembre,Logrono,15,32.4,1989
1961-09-15,Septiembre,Logrono,15,32,1961
2005-09-15,Septiembre,Logrono,15,32,2005
1962-09-15,Septiembre,Logrono,15,31.6,1962
1980-09-15,Septiembre,Logrono,15,31.6,1980
1987-09-16,Septiembre,Logrono,16,35.6,1987
1964-09-16,Septiembre,Logrono,16,34.2,1964
