date,month,city,day,temp,year
1984-09-01,Septiembre,Pamplona,1,34.6,1984
1964-09-01,Septiembre,Pamplona,1,33.4,1964
1998-09-01,Septiembre,Pamplona,1,33,1998
1962-09-01,Septiembre,Pamplona,1,32,1962
2016-09-01,Septiembre,Pamplona,1,31.8,2016
1954-09-01,Septiembre,Pamplona,1,31.5,1954
2006-09-01,Septiembre,Pamplona,1,31.4,2006
1999-09-01,Septiembre,Pamplona,1,31,1999
2004-09-01,Septiembre,Pamplona,1,31,2004
1958-09-01,Septiembre,Pamplona,1,30.5,1958
1962-09-02,Septiembre,Pamplona,2,35,1962
1984-09-02,Septiembre,Pamplona,2,34.7,1984
2016-09-02,Septiembre,Pamplona,2,34.2,2016
2005-09-02,Septiembre,Pamplona,2,33,2005
1958-09-02,Septiembre,Pamplona,2,32.5,1958
1999-09-02,Septiembre,Pamplona,2,32.5,1999
1964-09-02,Septiembre,Pamplona,2,32.4,1964
1980-09-02,Septiembre,Pamplona,2,32.2,1980
1998-09-02,Septiembre,Pamplona,2,32,1998
1973-09-02,Septiembre,Pamplona,2,31.8,1973
2005-09-03,Septiembre,Pamplona,3,35.5,2005
2016-09-03,Septiembre,Pamplona,3,35.3,2016
1962-09-03,Septiembre,Pamplona,3,34.6,1962
1954-09-03,Septiembre,Pamplona,3,33,1954
2006-09-03,Septiembre,Pamplona,3,32.9,2006
1973-09-03,Septiembre,Pamplona,3,32.6,1973
2014-09-03,Septiembre,Pamplona,3,31.6,2014
2013-09-03,Septiembre,Pamplona,3,31.5,2013
1958-09-03,Septiembre,Pamplona,3,31.4,1958
1980-09-03,Septiembre,Pamplona,3,31,1980
2016-09-04,Septiembre,Pamplona,4,35.4,2016
2006-09-04,Septiembre,Pamplona,4,34.5,2006
1958-09-04,Septiembre,Pamplona,4,33.5,1958
2005-09-04,Septiembre,Pamplona,4,33.5,2005
1980-09-04,Septiembre,Pamplona,4,32,1980
1954-09-04,Septiembre,Pamplona,4,31.5,1954
2013-09-04,Septiembre,Pamplona,4,31.4,2013
1973-09-04,Septiembre,Pamplona,4,31.2,1973
1966-09-04,Septiembre,Pamplona,4,31,1966
2004-09-04,Septiembre,Pamplona,4,31,2004
2006-09-05,Septiembre,Pamplona,5,35.4,2006
2004-09-05,Septiembre,Pamplona,5,35,2004
2010-09-05,Septiembre,Pamplona,5,33.8,2010
1988-09-05,Septiembre,Pamplona,5,33.4,1988
1958-09-05,Septiembre,Pamplona,5,32.8,1958
1986-09-05,Septiembre,Pamplona,5,31.8,1986
1979-09-05,Septiembre,Pamplona,5,31,1979
1956-09-05,Septiembre,Pamplona,5,30.3,1956
1973-09-05,Septiembre,Pamplona,5,30.2,1973
2013-09-05,Septiembre,Pamplona,5,30.2,2013
1988-09-06,Septiembre,Pamplona,6,35.6,1988
2006-09-06,Septiembre,Pamplona,6,34.5,2006
1957-09-06,Septiembre,Pamplona,6,34.3,1957
2016-09-06,Septiembre,Pamplona,6,33.6,2016
1994-09-06,Septiembre,Pamplona,6,33,1994
1962-09-06,Septiembre,Pamplona,6,32.8,1962
1966-09-06,Septiembre,Pamplona,6,32.4,1966
2014-09-06,Septiembre,Pamplona,6,32,2014
2010-09-06,Septiembre,Pamplona,6,31.9,2010
1958-09-06,Septiembre,Pamplona,6,31.2,1958
1988-09-07,Septiembre,Pamplona,7,36.8,1988
1966-09-07,Septiembre,Pamplona,7,35.4,1966
2016-09-07,Septiembre,Pamplona,7,34.4,2016
2012-09-07,Septiembre,Pamplona,7,33.8,2012
1987-09-07,Septiembre,Pamplona,7,33.7,1987
1958-09-07,Septiembre,Pamplona,7,32.5,1958
1957-09-07,Septiembre,Pamplona,7,32.3,1957
1980-09-07,Septiembre,Pamplona,7,32,1980
2014-09-07,Septiembre,Pamplona,7,31.9,2014
1962-09-07,Septiembre,Pamplona,7,31.8,1962
1958-09-08,Septiembre,Pamplona,8,38.8,1958
1966-09-08,Septiembre,Pamplona,8,37,1966
1988-09-08,Septiembre,Pamplona,8,34,1988
2012-09-08,Septiembre,Pamplona,8,33.6,2012
1956-09-08,Septiembre,Pamplona,8,32.5,1956
2009-09-08,Septiembre,Pamplona,8,31.6,2009
2000-09-08,Septiembre,Pamplona,8,31.5,2000
1983-09-08,Septiembre,Pamplona,8,31.2,1983
2006-09-08,Septiembre,Pamplona,8,31.2,2006
1981-09-08,Septiembre,Pamplona,8,30.4,1981
1966-09-09,Septiembre,Pamplona,9,35,1966
2011-09-09,Septiembre,Pamplona,9,34.3,2011
1998-09-09,Septiembre,Pamplona,9,32.5,1998
2006-09-09,Septiembre,Pamplona,9,32.5,2006
1958-09-09,Septiembre,Pamplona,9,32,1958
2012-09-09,Septiembre,Pamplona,9,32,2012
1991-09-09,Septiembre,Pamplona,9,31.6,1991
2000-09-09,Septiembre,Pamplona,9,31.5,2000
1962-09-09,Septiembre,Pamplona,9,31.4,1962
1964-09-09,Septiembre,Pamplona,9,31.2,1964
1966-09-10,Septiembre,Pamplona,10,36,1966
1962-09-10,Septiembre,Pamplona,10,34.6,1962
2011-09-10,Septiembre,Pamplona,10,34.4,2011
1954-09-10,Septiembre,Pamplona,10,33,1954
1958-09-10,Septiembre,Pamplona,10,33,1958
1961-09-10,Septiembre,Pamplona,10,32.4,1961
2006-09-10,Septiembre,Pamplona,10,32.2,2006
1964-09-10,Septiembre,Pamplona,10,31.6,1964
2000-09-10,Septiembre,Pamplona,10,31.5,2000
1973-09-10,Septiembre,Pamplona,10,31.2,1973
1962-09-11,Septiembre,Pamplona,11,35.2,1962
1958-09-11,Septiembre,Pamplona,11,35,1958
1966-09-11,Septiembre,Pamplona,11,35,1966
1973-09-11,Septiembre,Pamplona,11,33,1973
1964-09-11,Septiembre,Pamplona,11,32.8,1964
2016-09-11,Septiembre,Pamplona,11,32.5,2016
1954-09-11,Septiembre,Pamplona,11,32,1954
1987-09-11,Septiembre,Pamplona,11,32,1987
1994-09-11,Septiembre,Pamplona,11,31.2,1994
1997-09-11,Septiembre,Pamplona,11,31.2,1997
1987-09-12,Septiembre,Pamplona,12,35.6,1987
1958-09-12,Septiembre,Pamplona,12,35.4,1958
2016-09-12,Septiembre,Pamplona,12,33.7,2016
1964-09-12,Septiembre,Pamplona,12,33.4,1964
1962-09-12,Septiembre,Pamplona,12,32.6,1962
1985-09-12,Septiembre,Pamplona,12,32.6,1985
1966-09-12,Septiembre,Pamplona,12,32,1966
1956-09-12,Septiembre,Pamplona,12,31.6,1956
1974-09-12,Septiembre,Pamplona,12,31.4,1974
1960-09-12,Septiembre,Pamplona,12,31,1960
1987-09-13,Septiembre,Pamplona,13,37,1987
1956-09-13,Septiembre,Pamplona,13,34.5,1956
1958-09-13,Septiembre,Pamplona,13,34.3,1958
1964-09-13,Septiembre,Pamplona,13,33.8,1964
1961-09-13,Septiembre,Pamplona,13,33.1,1961
2000-09-13,Septiembre,Pamplona,13,31,2000
2011-09-13,Septiembre,Pamplona,13,30.5,2011
2019-09-13,Septiembre,Pamplona,13,29.7,2019
1978-09-13,Septiembre,Pamplona,13,29.5,1978
2014-09-13,Septiembre,Pamplona,13,29.3,2014
1956-09-14,Septiembre,Pamplona,14,36.7,1956
1987-09-14,Septiembre,Pamplona,14,36,1987
1962-09-14,Septiembre,Pamplona,14,34.8,1962
1958-09-14,Septiembre,Pamplona,14,33.6,1958
1964-09-14,Septiembre,Pamplona,14,33.6,1964
1961-09-14,Septiembre,Pamplona,14,33.2,1961
2000-09-14,Septiembre,Pamplona,14,32.5,2000
2019-09-14,Septiembre,Pamplona,14,31.5,2019
1960-09-14,Septiembre,Pamplona,14,29.8,1960
1986-09-14,Septiembre,Pamplona,14,29.6,1986
