date,month,city,day,temp,year
2006-09-01,Septiembre,Sevilla,1,39.5,2006
1985-09-01,Septiembre,Sevilla,1,39,1985
2018-09-01,Septiembre,Sevilla,1,39,2018
1964-09-01,Septiembre,Sevilla,1,38.8,1964
2014-09-01,Septiembre,Sevilla,1,38.8,2014
1991-09-01,Septiembre,Sevilla,1,37.6,1991
1995-09-01,Septiembre,Sevilla,1,37.5,1995
1955-09-01,Septiembre,Sevilla,1,37.4,1955
1993-09-01,Septiembre,Sevilla,1,37.2,1993
1970-09-01,Septiembre,Sevilla,1,37,1970
2006-09-02,Septiembre,Sevilla,2,40.2,2006
1970-09-02,Septiembre,Sevilla,2,38.4,1970
2018-09-02,Septiembre,Sevilla,2,38.3,2018
1985-09-02,Septiembre,Sevilla,2,38,1985
2016-09-02,Septiembre,Sevilla,2,38,2016
2019-09-02,Septiembre,Sevilla,2,37.5,2019
1966-09-02,Septiembre,Sevilla,2,37,1966
1951-09-02,Septiembre,Sevilla,2,36.8,1951
1994-09-02,Septiembre,Sevilla,2,36.8,1994
1989-09-02,Septiembre,Sevilla,2,36.4,1989
2006-09-03,Septiembre,Sevilla,3,41.6,2006
2016-09-03,Septiembre,Sevilla,3,40,2016
1951-09-03,Septiembre,Sevilla,3,39.4,1951
1953-09-03,Septiembre,Sevilla,3,38.8,1953
1985-09-03,Septiembre,Sevilla,3,38.8,1985
1957-09-03,Septiembre,Sevilla,3,38,1957
1971-09-03,Septiembre,Sevilla,3,38,1971
1992-09-03,Septiembre,Sevilla,3,38,1992
1979-09-03,Septiembre,Sevilla,3,37.8,1979
2019-09-03,Septiembre,Sevilla,3,37.6,2019
1970-09-04,Septiembre,Sevilla,4,41.6,1970
2016-09-04,Septiembre,Sevilla,4,40.9,2016
2006-09-04,Septiembre,Sevilla,4,40.6,2006
1953-09-04,Septiembre,Sevilla,4,39.5,1953
1985-09-04,Septiembre,Sevilla,4,39.4,1985
1992-09-04,Septiembre,Sevilla,4,39.4,1992
1957-09-04,Septiembre,Sevilla,4,39.2,1957
1951-09-04,Septiembre,Sevilla,4,38.8,1951
1988-09-04,Septiembre,Sevilla,4,38,1988
2005-09-04,Septiembre,Sevilla,4,38,2005
2016-09-05,Septiembre,Sevilla,5,44.8,2016
1970-09-05,Septiembre,Sevilla,5,42.4,1970
1953-09-05,Septiembre,Sevilla,5,40.5,1953
1966-09-05,Septiembre,Sevilla,5,40,1966
1988-09-05,Septiembre,Sevilla,5,39.2,1988
2010-09-05,Septiembre,Sevilla,5,38.4,2010
1992-09-05,Septiembre,Sevilla,5,38.1,1992
1983-09-05,Septiembre,Sevilla,5,37.6,1983
2006-09-05,Septiembre,Sevilla,5,37.6,2006
2007-09-05,Septiembre,Sevilla,5,37.5,2007
2016-09-06,Septiembre,Sevilla,6,43.4,2016
1988-09-06,Septiembre,Sevilla,6,41.6,1988
1966-09-06,Septiembre,Sevilla,6,40.2,1966
1953-09-06,Septiembre,Sevilla,6,39.2,1953
1970-09-06,Septiembre,Sevilla,6,38.8,1970
1987-09-06,Septiembre,Sevilla,6,38.8,1987
2017-09-06,Septiembre,Sevilla,6,38.6,2017
1983-09-06,Septiembre,Sevilla,6,38.2,1983
1977-09-06,Septiembre,Sevilla,6,37.8,1977
1957-09-06,Septiembre,Sevilla,6,37.5,1957
1988-09-07,Septiembre,Sevilla,7,42.6,1988
1983-09-07,Septiembre,Sevilla,7,39.2,1983
1987-09-07,Septiembre,Sevilla,7,39,1987
1953-09-07,Septiembre,Sevilla,7,38.5,1953
1966-09-07,Septiembre,Sevilla,7,38.5,1966
1957-09-07,Septiembre,Sevilla,7,38.4,1957
2000-09-07,Septiembre,Sevilla,7,38.2,2000
1962-09-07,Septiembre,Sevilla,7,37.6,1962
2017-09-07,Septiembre,Sevilla,7,37.2,2017
2016-09-07,Septiembre,Sevilla,7,37.1,2016
1988-09-08,Septiembre,Sevilla,8,42.4,1988
1968-09-08,Septiembre,Sevilla,8,39.8,1968
2000-09-08,Septiembre,Sevilla,8,39.6,2000
1978-09-08,Septiembre,Sevilla,8,39,1978
2011-09-08,Septiembre,Sevilla,8,38.7,2011
1964-09-08,Septiembre,Sevilla,8,37.8,1964
1966-09-08,Septiembre,Sevilla,8,37.8,1966
1983-09-08,Septiembre,Sevilla,8,37.8,1983
1987-09-08,Septiembre,Sevilla,8,37.8,1987
1981-09-08,Septiembre,Sevilla,8,37.6,1981
2006-09-09,Septiembre,Sevilla,9,39.6,2006
1978-09-09,Septiembre,Sevilla,9,39.2,1978
2011-09-09,Septiembre,Sevilla,9,39,2011
1960-09-09,Septiembre,Sevilla,9,38.3,1960
1964-09-09,Septiembre,Sevilla,9,37.4,1964
1966-09-09,Septiembre,Sevilla,9,37,1966
1962-09-09,Septiembre,Sevilla,9,36.8,1962
1998-09-09,Septiembre,Sevilla,9,36.8,1998
1988-09-09,Septiembre,Sevilla,9,36.6,1988
2000-09-09,Septiembre,Sevilla,9,36.6,2000
1978-09-10,Septiembre,Sevilla,10,38.6,1978
1966-09-10,Septiembre,Sevilla,10,38.4,1966
1954-09-10,Septiembre,Sevilla,10,37.8,1954
1964-09-10,Septiembre,Sevilla,10,37.8,1964
1977-09-10,Septiembre,Sevilla,10,37.4,1977
1960-09-10,Septiembre,Sevilla,10,37,1960
1979-09-10,Septiembre,Sevilla,10,36.6,1979
1955-09-10,Septiembre,Sevilla,10,36.2,1955
1999-09-10,Septiembre,Sevilla,10,36.2,1999
2004-09-10,Septiembre,Sevilla,10,36.2,2004
1978-09-11,Septiembre,Sevilla,11,38.6,1978
1962-09-11,Septiembre,Sevilla,11,38.5,1962
1994-09-11,Septiembre,Sevilla,11,37.7,1994
1985-09-11,Septiembre,Sevilla,11,37.4,1985
1955-09-11,Septiembre,Sevilla,11,37,1955
1954-09-11,Septiembre,Sevilla,11,36.8,1954
2017-09-11,Septiembre,Sevilla,11,36.7,2017
1988-09-11,Septiembre,Sevilla,11,36.6,1988
2003-09-11,Septiembre,Sevilla,11,36.4,2003
2004-09-11,Septiembre,Sevilla,11,36.4,2004
1962-09-12,Septiembre,Sevilla,12,40.4,1962
1978-09-12,Septiembre,Sevilla,12,40.2,1978
1987-09-12,Septiembre,Sevilla,12,39.6,1987
2012-09-12,Septiembre,Sevilla,12,38,2012
2011-09-12,Septiembre,Sevilla,12,37.9,2011
1960-09-12,Septiembre,Sevilla,12,37.8,1960
2017-09-12,Septiembre,Sevilla,12,37.8,2017
1955-09-12,Septiembre,Sevilla,12,37,1955
1956-09-12,Septiembre,Sevilla,12,37,1956
2003-09-12,Septiembre,Sevilla,12,37,2003
1962-09-13,Septiembre,Sevilla,13,40.5,1962
1987-09-13,Septiembre,Sevilla,13,39.4,1987
1960-09-13,Septiembre,Sevilla,13,38.2,1960
1980-09-13,Septiembre,Sevilla,13,38,1980
2011-09-13,Septiembre,Sevilla,13,38,2011
2017-09-13,Septiembre,Sevilla,13,37.2,2017
2010-09-13,Septiembre,Sevilla,13,36.9,2010
1978-09-13,Septiembre,Sevilla,13,36.8,1978
2012-09-13,Septiembre,Sevilla,13,36.6,2012
1985-09-13,Septiembre,Sevilla,13,36.4,1985
2010-09-14,Septiembre,Sevilla,14,38.8,2010
1985-09-14,Septiembre,Sevilla,14,38.6,1985
1960-09-14,Septiembre,Sevilla,14,38.2,1960
1992-09-14,Septiembre,Sevilla,14,37.9,1992
2003-09-14,Septiembre,Sevilla,14,37.5,2003
1980-09-14,Septiembre,Sevilla,14,37.4,1980
1987-09-14,Septiembre,Sevilla,14,37.4,1987
2011-09-14,Septiembre,Sevilla,14,36.9,2011
1961-09-14,Septiembre,Sevilla,14,36.6,1961
2000-09-14,Septiembre,Sevilla,14,36.5,2000
1992-09-15,Septiembre,Sevilla,15,41.8,1992
1985-09-15,Septiembre,Sevilla,15,41.2,1985
1987-09-15,Septiembre,Sevilla,15,38.4,1987
1981-09-15,Septiembre,Sevilla,15,37.6,1981
1991-09-15,Septiembre,Sevilla,15,37.6,1991
