fecha,maxima,minima
1971-04-01,18.6,10.8
1954-04-02,19.5,9
1953-04-03,22.4,11.8
1969-04-04,19.3,10.4
1971-04-05,24.3,10.3
1954-04-06,22.2,11
1968-04-07,23.8,11
1956-04-08,20.2,10.4
1970-04-09,20,11
1954-04-10,19.6,12
1954-04-11,20,12.8
1979-04-12,21.4,12
1971-04-13,19,11.4
1958-04-14,19.3,11
1958-04-15,20.5,9.5
1967-04-16,22.4,12.2
1971-04-17,20.6,12.6
1976-04-18,20.6,12
1952-04-19,22.5,11.5
1958-04-20,20.5,10
1956-04-21,24,11.8
1954-04-22,21,11.5
1954-04-23,24.4,11.5
1972-04-24,22.6,11.2
1951-04-25,20.5,12.9
1951-04-26,24.2,11
1951-04-27,24.8,12
1984-04-28,21,13.2
1954-04-29,22.2,13
1967-04-30,23.5,12.2
