fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2016-04-01,Abril,1,6,6.2,2016,1950
2016-04-02,Abril,2,5.3,5.3,2016,2022
2007-04-03,Abril,3,6,6.2,2007,1989
1964-04-04,Abril,4,5.4,5.6,1964,1991
1953-04-05,Abril,5,5.6,6,1953,2000
1975-04-06,Abril,6,4.4,4.4,1975,2007
2012-04-07,Abril,7,5.1,5.4,2012,1964
1986-04-08,Abril,8,4.8,5.8,1986,1954
1986-04-09,Abril,9,4.8,6,1986,1954
1985-04-10,Abril,10,5.4,5.6,1985,1986
1998-04-11,Abril,11,5.6,6.2,1998,1954
1998-04-12,Abril,12,5.4,6,1998,2004
1986-04-13,Abril,13,1.6,4.8,1986,1958
1958-04-14,Abril,14,4.5,6.6,1958,1993
1986-04-15,Abril,15,4.4,6,1986,1958
1999-04-16,Abril,16,5.8,6.8,1999,1994
1994-04-17,Abril,17,3.8,5.6,1994,1989
1994-04-18,Abril,18,3.8,5,1994,1986
1986-04-19,Abril,19,6,6,1986,1994
1994-04-20,Abril,20,6.8,7.8,1994,1986
1995-04-21,Abril,21,6,7,1995,1990
1995-04-22,Abril,22,3.6,7.2,1995,1990
1995-04-23,Abril,23,4.2,5.4,1995,1985
1995-04-24,Abril,24,5.4,7.4,1995,1985
1995-04-25,Abril,25,6.4,7.6,1995,1991
1993-04-26,Abril,26,6.2,7,1993,1986
1986-04-27,Abril,27,7,7.8,1986,1989
2000-04-28,Abril,28,6.8,7.3,2000,1956
2013-04-29,Abril,29,7,7.3,2013,1956
2013-04-30,Abril,30,6,6.3,2013,2012
