fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1977-04-01,Abril,1,8,9,1977,1975
1975-04-02,Abril,2,6,8.2,1975,2007
1975-04-03,Abril,3,7.4,9,1975,1993
1976-04-04,Abril,4,7.8,8,1976,1989
1971-04-05,Abril,5,8.6,9.8,1971,1974
1974-04-06,Abril,6,8.2,9.6,1974,2000
1989-04-07,Abril,7,8.4,8.8,1989,1991
1986-04-08,Abril,8,10,10.2,1986,1980
1980-04-09,Abril,9,7.6,9,1980,1986
1973-04-10,Abril,10,8,8.8,1973,1986
1973-04-11,Abril,11,7.2,7.6,1973,1990
2004-04-12,Abril,12,7,8.4,2004,1973
1974-04-13,Abril,13,7.6,7.8,1974,1998
1979-04-14,Abril,14,10,10.7,1979,1971
1992-04-15,Abril,15,9.8,10,1992,2003
1994-04-16,Abril,16,9.8,10,1994,1976
1994-04-17,Abril,17,9.8,10,1994,1972
1994-04-18,Abril,18,7,8,1994,1973
1973-04-19,Abril,19,6.6,9.4,1973,1980
1975-04-20,Abril,20,8.6,9,1975,1982
1976-04-21,Abril,21,10.8,10.8,1976,1994
1981-04-22,Abril,22,9,10,1981,1983
1995-04-23,Abril,23,9.4,9.6,1995,1993
1972-04-24,Abril,24,8.8,9.8,1972,1974
1985-04-25,Abril,25,10,10.2,1985,1972
1993-04-26,Abril,26,9.4,10.4,1993,1994
1993-04-27,Abril,27,9,10.4,1993,2000
1972-04-28,Abril,28,9,9,1972,1982
1979-04-29,Abril,29,8.4,10.2,1979,2012
2012-04-30,Abril,30,9.4,10.8,2012,1986
