fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1967-04-01,Abril,1,-2,0,1967,1954
1955-04-02,Abril,2,-1.3,-0.2,1955,1973
1967-04-03,Abril,3,-2,0,1967,1964
1996-04-04,Abril,4,-1,0,1996,1989
1975-04-05,Abril,5,-1,-0.2,1975,1996
1963-04-06,Abril,6,0,0,1963,1986
1963-04-07,Abril,7,-1.8,-0.5,1963,2000
1963-04-08,Abril,8,-1.8,-0.5,1963,1956
1967-04-09,Abril,9,0,0,1967,1973
1977-04-10,Abril,10,-0.5,-0.2,1977,1973
1973-04-11,Abril,11,-2,1.2,1973,1994
1958-04-12,Abril,12,-1,-1,1958,1986
1958-04-13,Abril,13,-2.2,0,1958,1986
1986-04-14,Abril,14,-1.4,1.6,1986,1982
2008-04-15,Abril,15,-0.1,0.6,2008,1976
1957-04-16,Abril,16,0.2,0.2,1957,1982
1962-04-17,Abril,17,0,0.5,1962,2002
1955-04-18,Abril,18,-1,0,1955,1962
1991-04-19,Abril,19,0.8,1.5,1991,2005
1991-04-20,Abril,20,0.8,1,1991,1995
1954-04-21,Abril,21,0,0.4,1954,1991
1991-04-22,Abril,22,-0.4,0,1991,1973
1995-04-23,Abril,23,2,2.8,1995,1965
1991-04-24,Abril,24,1,1.2,1991,1976
1973-04-25,Abril,25,0,1,1973,1976
1991-04-26,Abril,26,0.4,1,1991,1981
1991-04-27,Abril,27,-0.5,0.4,1991,1995
2017-04-28,Abril,28,1.8,2,2017,1956
1967-04-29,Abril,29,1,2,1967,1972
1959-04-30,Abril,30,1.5,2.6,1959,1965
