fecha,maxima,minima
1963-04-01,13.2,2
2016-04-02,17.9,1.8
1967-04-03,16.6,2
1973-04-04,15.2,1.2
1975-04-05,7.4,2
1970-04-06,13,1.6
1963-04-07,16.8,1
1964-04-08,13,2.4
1964-04-09,17,2.6
1968-04-10,13.2,1.6
1998-04-11,11,1.5
1964-04-12,14.8,3.4
1983-04-13,14.2,2.2
1983-04-14,15.4,1.6
1962-04-15,12,3
1962-04-16,10,1.6
2006-04-17,15,1.4
1971-04-18,17.2,3.4
1984-04-19,19.6,4.2
1995-04-20,14.2,4.5
1973-04-21,13.6,3.4
2007-04-22,18.9,0.8
1965-04-23,14.2,2.6
1986-04-24,15,3.8
1973-04-25,16.4,2.6
1966-04-26,17.8,4.4
1961-04-27,18,5
1981-04-28,14.6,3.8
1972-04-29,14.4,3
1972-04-30,13.4,3.6
