fecha,maxima,minima
1954-04-01,19.2,4
1975-04-02,19.4,2.8
1983-04-03,20.4,4.4
1952-04-04,16.5,4.2
1953-04-05,21,4.6
1968-04-06,16,3
1975-04-07,22.4,3.4
1986-04-08,15.6,2.4
1954-04-09,20.1,3.3
1973-04-10,18.6,2.8
1967-04-11,19.6,3.4
1973-04-12,23.4,2.8
1986-04-13,19,2.4
1958-04-14,15.8,1
1958-04-15,19,3.4
1958-04-16,20.6,5.6
1994-04-17,20.6,4
1958-04-18,21,3
1986-04-19,20.6,4.8
1954-04-20,23.1,5.6
1995-04-21,20,5.8
1995-04-22,18.2,4
1995-04-23,18,2.8
1995-04-24,21.5,6
1979-04-25,21,6.6
1981-04-26,19,5.4
1986-04-27,21,5.6
1970-04-28,22,4
1970-04-29,22,5.2
1970-04-30,26.6,5.2
