fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1978-08-01,Agosto,1,9.0,10.0,1978,1977
1965-08-02,Agosto,2,9.6,10.6,1965,1976
2005-08-03,Agosto,3,11.2,11.4,2005,1972
1972-08-04,Agosto,4,10.0,11.2,1972,1963
1986-08-05,Agosto,5,11.0,12.1,1986,2023
1967-08-06,Agosto,6,8.5,11.0,1967,1956
1971-08-07,Agosto,7,11.0,11.2,1971,1985
1962-08-08,Agosto,8,11.0,11.0,1962,1965
1966-08-09,Agosto,9,9.6,10.3,1966,2007
2007-08-10,Agosto,10,10.6,11.2,2007,1992
1951-08-11,Agosto,11,10.0,11.0,1951,1954
2017-08-12,Agosto,12,11.0,11.2,2017,1959
1960-08-13,Agosto,13,10.0,11.0,1960,1958
1967-08-14,Agosto,14,8.6,11.0,1967,1961
2006-08-15,Agosto,15,12.0,12.1,2006,2008
2015-08-16,Agosto,16,9.5,9.8,2015,1963
2014-08-17,Agosto,17,8.7,10.2,2014,1966
1966-08-18,Agosto,18,10.2,10.4,1966,2006
1963-08-19,Agosto,19,8.4,9.8,1963,2006
1986-08-20,Agosto,20,9.2,9.4,1986,1972
1961-08-21,Agosto,21,9.8,10.2,1961,1972
1963-08-22,Agosto,22,10.2,10.8,1963,2000
1954-08-23,Agosto,23,10.0,10.2,1954,2000
1977-08-24,Agosto,24,8.8,9.4,1977,1972
1986-08-25,Agosto,25,9.0,9.7,1986,2015
1958-08-26,Agosto,26,10.4,10.4,1958,1965
1985-08-27,Agosto,27,8.2,9.0,1985,1954
2011-08-28,Agosto,28,9.4,10.0,2011,1982
1986-08-29,Agosto,29,8.8,9.4,1986,1993
1986-08-30,Agosto,30,6.2,7.2,1986,1993
1974-08-31,Agosto,31,8.0,9.1,1974,2020
