fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1978-08-01,Agosto,1,8.6,9.3,1978,1966
1965-08-02,Agosto,2,7.5,9.5,1965,1960
1965-08-03,Agosto,3,8,10.2,1965,1960
1972-08-04,Agosto,4,7.8,10.2,1972,1983
1956-08-05,Agosto,5,10,10.2,1956,1967
1967-08-06,Agosto,6,7,9.2,1967,1966
1966-08-07,Agosto,7,9.7,10,1966,1987
1962-08-08,Agosto,8,9.2,10,1962,1985
1966-08-09,Agosto,9,7.6,9.8,1966,1965
1966-08-10,Agosto,10,8.2,9.6,1966,1978
2001-08-11,Agosto,11,7,8,2001,1954
1978-08-12,Agosto,12,9.5,10,1978,1974
1960-08-13,Agosto,13,8.4,10.2,1960,1967
1967-08-14,Agosto,14,7.4,8.8,1967,1960
1965-08-15,Agosto,15,10.1,10.8,1965,2006
1963-08-16,Agosto,16,9,10.1,1963,2015
2014-08-17,Agosto,17,9.7,10,2014,1963
2007-08-18,Agosto,18,8.8,10,2007,1978
1963-08-19,Agosto,19,7.2,9.8,1963,1968
1963-08-20,Agosto,20,7.6,7.8,1963,1986
1961-08-21,Agosto,21,9.8,9.8,1961,1979
1963-08-22,Agosto,22,9,9,1963,1966
1954-08-23,Agosto,23,8.4,8.9,1954,2014
1977-08-24,Agosto,24,8.5,9,1977,1972
1986-08-25,Agosto,25,7,8.2,1986,1979
1958-08-26,Agosto,26,8,9,1958,1966
1985-08-27,Agosto,27,7.2,8.4,1985,1965
1985-08-28,Agosto,28,8,8.4,1985,1982
1957-08-29,Agosto,29,9,9,1957,1998
1986-08-30,Agosto,30,4.8,7.8,1986,1988
1974-08-31,Agosto,31,7.6,8.4,1974,1977
