fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2002-08-01,Agosto,1,14.2,14.2,2002,2021
1972-08-02,Agosto,2,12.8,14,1972,1965
1972-08-03,Agosto,3,10.8,14.6,1972,1998
1972-08-04,Agosto,4,14,16.2,1972,1977
1977-08-05,Agosto,5,15,15.2,1977,1967
1967-08-06,Agosto,6,15,16.2,1967,1977
1985-08-07,Agosto,7,15.4,15.6,1985,1984
1985-08-08,Agosto,8,14.4,14.8,1985,1963
1978-08-09,Agosto,9,14,14.8,1978,1968
2007-08-10,Agosto,10,15.7,15.9,2007,2017
2002-08-11,Agosto,11,14.1,15.8,2002,1984
1968-08-12,Agosto,12,14.8,15,1968,2002
1967-08-13,Agosto,13,13.6,15.9,1967,1958
1967-08-14,Agosto,14,14,14.8,1967,2006
1964-08-15,Agosto,15,14.6,14.7,1964,2014
1979-08-16,Agosto,16,13,13.1,1979,2008
1983-08-17,Agosto,17,14.5,14.7,1983,2014
2006-08-18,Agosto,18,14.4,15.6,2006,1963
1963-08-19,Agosto,19,13.2,15,1963,1969
1957-08-20,Agosto,20,13.6,14.6,1957,1974
1972-08-21,Agosto,21,12.2,14,1972,1961
1972-08-22,Agosto,22,13.6,14.5,1972,2007
1958-08-23,Agosto,23,14.2,14.6,1958,1975
1977-08-24,Agosto,24,11,14.6,1977,1964
1954-08-25,Agosto,25,14.4,14.6,1954,1969
1965-08-26,Agosto,26,13.6,14,1965,1984
1985-08-27,Agosto,27,12.6,14.7,1985,1957
1977-08-28,Agosto,28,13.6,13.8,1977,2002
1972-08-29,Agosto,29,14,14,1972,1986
1986-08-30,Agosto,30,11,12.4,1986,1977
1974-08-31,Agosto,31,12.6,13.1,1974,1957
