fecha,maxima,minima
1969-12-01,4.2,-3.1
1973-12-02,7.6,-3.8
1973-12-03,2,-6.7
1973-12-04,8.6,-1.1
1997-12-05,4,0.4
1950-12-06,2.4,-1.4
1950-12-07,8.8,-1.3
1980-12-08,5,-1.4
1980-12-09,9,-2
1967-12-10,4.2,-2.8
1967-12-11,1.4,-4
1967-12-12,3.5,-3.3
1963-12-13,7.4,-0.6
2001-12-14,3.8,-4.2
2001-12-15,2.2,-5.6
2010-12-16,5.8,-3.2
1963-12-17,2.5,-5
2001-12-18,4.6,-1.4
2009-12-19,0.6,-1.8
1990-12-20,1.8,-1.2
1963-12-21,7.1,-1.9
1963-12-22,1,-3
1962-12-23,3.3,-4.4
1962-12-24,-4.3,-8.4
1962-12-25,-2.5,-8.4
2010-12-26,2,-3.7
1962-12-27,2.1,-2.2
1996-12-28,4.2,-0.6
1996-12-29,2.2,-2.4
1985-12-30,1.2,-2.8
1985-12-31,6.6,-3.6
