fecha,maxima,minima
1990-12-01,15.6,0.4
2013-12-02,20.2,-0.3
1980-12-03,11.4,-2.4
1956-12-04,17,-2
1956-12-05,17.8,-2
1956-12-06,19,-2
1998-12-07,16.1,-1.9
1998-12-08,16.7,-1.8
1998-12-09,17.4,-1.5
1988-12-10,17.4,-0.8
2008-12-11,13.1,0.1
1956-12-12,19,-1
1967-12-13,9.4,-1.6
1967-12-14,12.6,-0.8
2009-12-15,12.2,-2.3
1988-12-16,14.2,-1.6
1956-12-17,18,-1
1957-12-18,9.6,-1.5
1967-12-19,14,-0.4
1957-12-20,16,0
2006-12-21,15.5,-1.2
1979-12-22,10.6,-5.4
1966-12-23,16.4,0
1994-12-24,14.6,-1.9
1970-12-25,11.4,-2.6
1994-12-26,13.2,-3.7
1994-12-27,12.8,-2
2004-12-28,13.5,-2.9
1957-12-29,13,-0.5
1957-12-30,12.4,-1.8
1984-12-31,14,-2.4
