fecha,maxima,minima
1951-12-01,10.8,-3
1962-12-02,3.6,-2.8
1973-12-03,2,-3
1962-12-04,1.6,-6
1957-12-05,8.6,-3.2
1957-12-06,10.2,-5
1990-12-07,5.4,-7
1962-12-08,5.4,-4
1980-12-09,4.8,-6.2
1980-12-10,4.6,-3.8
1973-12-11,7.8,-6.2
1980-12-12,6.4,-4
1971-12-13,9,-3.8
2007-12-14,9,-5.9
2001-12-15,1,-7.6
2007-12-16,7.5,-6.4
2007-12-17,4.6,-8
2001-12-18,0.6,-7.6
1963-12-19,2.4,-7
2009-12-20,2.9,-6.9
1978-12-21,2.6,-6.4
2005-12-22,7.2,-5.4
2005-12-23,1,-7.6
1962-12-24,-1,-9.4
1962-12-25,-0.6,-11.6
2006-12-26,10.4,-5
2006-12-27,8.7,-5.1
1998-12-28,5.4,-5.4
2001-12-29,9.6,-8
1970-12-30,3.4,-6.2
1964-12-31,6,-4.6
