fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1980-12-01,Diciembre,1,5.0,5.2,1980,1998
1980-12-02,Diciembre,2,4.8,6.6,1980,1975
1980-12-03,Diciembre,3,4.4,6.8,1980,2012
1971-12-04,Diciembre,4,5.4,6.2,1971,1973
1973-12-05,Diciembre,5,5.0,8.0,1973,1997
1973-12-06,Diciembre,6,5.6,6.6,1973,1972
2002-12-07,Diciembre,7,7.2,7.6,2002,1982
1988-12-08,Diciembre,8,6.4,6.5,1988,2017
1988-12-09,Diciembre,9,6.8,7.4,1988,1974
1988-12-10,Diciembre,10,5.2,7.4,1988,1974
1986-12-11,Diciembre,11,6.8,7.0,1986,2014
1986-12-12,Diciembre,12,6.6,7.2,1986,1973
2005-12-13,Diciembre,13,6.8,7.2,2005,2017
1988-12-14,Diciembre,14,7.8,8.2,1988,1972
1988-12-15,Diciembre,15,6.6,7.6,1988,2007
1999-12-16,Diciembre,16,4.8,6.8,1999,2007
1999-12-17,Diciembre,17,6.8,6.8,1999,2010
2007-12-18,Diciembre,18,6.8,7.2,2007,1992
1991-12-19,Diciembre,19,7.4,7.6,1991,1976
1979-12-20,Diciembre,20,4.8,6.8,1979,2011
1979-12-21,Diciembre,21,5.4,7.0,1979,1994
1979-12-22,Diciembre,22,6.8,7.2,1979,1974
2006-12-23,Diciembre,23,6.0,7.4,2006,1988
1994-12-24,Diciembre,24,5.4,6.6,1994,1986
1986-12-25,Diciembre,25,5.2,6.0,1986,1994
1986-12-26,Diciembre,26,4.8,6.4,1986,1994
2004-12-27,Diciembre,27,5.8,6.4,2004,2020
1980-12-28,Diciembre,28,6.6,6.8,1980,1991
2001-12-29,Diciembre,29,6.4,7.0,2001,2012
1984-12-30,Diciembre,30,5.2,6.2,1984,1972
2014-12-31,Diciembre,31,3.9,5.2,2014,1984
