fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1977-12-01,Diciembre,1,-0.6,0.2,1977,2010
1990-12-02,Diciembre,2,-0.6,-0.5,1990,2010
1990-12-03,Diciembre,3,-1.9,-0.6,1990,2010
1973-12-04,Diciembre,4,-1,-0.4,1973,1990
1990-12-05,Diciembre,5,-0.4,1,1990,1975
1990-12-06,Diciembre,6,-0.6,0.2,1990,1997
1990-12-07,Diciembre,7,-0.6,0,1990,1975
1980-12-08,Diciembre,8,-1,-0.8,1980,1990
1980-12-09,Diciembre,9,-2.2,-1,1980,1990
1980-12-10,Diciembre,10,-1,-0.4,1980,1973
2005-12-11,Diciembre,11,-2,-0.3,2005,1973
2005-12-12,Diciembre,12,-0.6,0.4,2005,2001
2007-12-13,Diciembre,13,-0.1,0,2007,2001
2007-12-14,Diciembre,14,-1.1,-1,2007,2008
2001-12-15,Diciembre,15,-2.2,-2.2,2001,2007
2001-12-16,Diciembre,16,-3.6,-2.8,2001,1990
2001-12-17,Diciembre,17,-3.2,-2.6,2001,2007
2001-12-18,Diciembre,18,-2.8,-1.3,2001,1990
2001-12-19,Diciembre,19,-2.5,-1.2,2001,2009
2009-12-20,Diciembre,20,-2.5,-1,2009,1978
1990-12-21,Diciembre,21,-1.8,-1.4,1990,1975
1975-12-22,Diciembre,22,-2.4,-2.4,1975,2001
1975-12-23,Diciembre,23,-2,-0.8,1975,2005
2001-12-24,Diciembre,24,-1.4,-1,2001,2005
2001-12-25,Diciembre,25,-3,-1.4,2001,2006
2010-12-26,Diciembre,26,-3,-0.5,2010,2006
1996-12-27,Diciembre,27,-1,-0.2,1996,1975
1991-12-28,Diciembre,28,0,0.4,1991,2005
1996-12-29,Diciembre,29,-1.2,-0.8,1996,1980
1996-12-30,Diciembre,30,-2.8,-2.4,1996,1980
1999-12-31,Diciembre,31,-0.4,-0.2,1999,1975
