fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1971-01-01,Enero,1,-11,-7.8,1971,1993
1971-01-02,Enero,2,-9.6,-8.8,1971,1993
1972-01-03,Enero,3,-8.9,-8.4,1972,1989
1972-01-04,Enero,4,-9.8,-9.2,1972,1971
1965-01-05,Enero,5,-8.1,-6.5,1965,2021
1985-01-06,Enero,6,-12.4,-10,1985,1997
1985-01-07,Enero,7,-14,-10.2,1985,1997
1985-01-08,Enero,8,-11.2,-9.1,1985,2018
1985-01-09,Enero,9,-14.8,-11.4,1985,2018
1985-01-10,Enero,10,-13.6,-10.4,1985,2010
1999-01-11,Enero,11,-11.2,-10.2,1999,1960
1985-01-12,Enero,12,-14.2,-10.7,1985,2021
1985-01-13,Enero,13,-13.5,-10.6,1985,1999
1985-01-14,Enero,14,-13,-10.9,1985,1978
1985-01-15,Enero,15,-16,-11.2,1985,1980
1980-01-16,Enero,16,-9.4,-8.8,1980,1960
1987-01-17,Enero,17,-9.2,-7.8,1987,1957
1980-01-18,Enero,18,-12.8,-11.6,1980,1987
1994-01-19,Enero,19,-11.2,-10.4,1994,1992
1987-01-20,Enero,20,-10,-9.6,1987,1994
2000-01-21,Enero,21,-6.2,-6,2000,1990
2011-01-22,Enero,22,-9,-8.6,2011,1957
2011-01-23,Enero,23,-9.6,-9,2011,1957
1958-01-24,Enero,24,-8,-6.4,1958,2000
2000-01-25,Enero,25,-9,-8,2000,1986
1986-01-26,Enero,26,-10,-7.4,1986,1992
2007-01-27,Enero,27,-12.4,-9.4,2007,2005
2005-01-28,Enero,28,-10,-9.4,2005,2007
1963-01-29,Enero,29,-7.6,-6.4,1963,1964
2006-01-30,Enero,30,-8.2,-5.7,2006,2023
1999-01-31,Enero,31,-6.6,-6.6,1999,2005
