fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1971-01-01,Enero,1,-12.4,-7.4,1971,2008
1971-01-02,Enero,2,-13.6,-7.8,1971,1964
1971-01-03,Enero,3,-14.0,-10.8,1971,1972
1971-01-04,Enero,4,-13.5,-9.4,1971,1972
1997-01-05,Enero,5,-10.0,-6.5,1997,1969
1997-01-06,Enero,6,-9.6,-9.0,1997,1965
1971-01-07,Enero,7,-9.4,-9.0,1971,1985
2021-01-08,Enero,8,-8.1,-7.4,2021,2009
1985-01-09,Enero,9,-9.6,-7.4,1985,2010
2010-01-10,Enero,10,-10.0,-8.6,2010,2005
1967-01-11,Enero,11,-9.0,-7.6,1967,1960
1985-01-12,Enero,12,-8.0,-8.0,1985,2009
1961-01-13,Enero,13,-7.6,-7.4,1961,1953
2009-01-14,Enero,14,-10.0,-9.6,2009,1987
1987-01-15,Enero,15,-8.2,-7.7,1987,2018
1960-01-16,Enero,16,-8.7,-8.4,1960,1980
2021-01-17,Enero,17,-7.6,-6.6,2021,1957
1957-01-18,Enero,18,-8.8,-8.0,1957,2017
2017-01-19,Enero,19,-8.8,-7.6,2017,1992
1950-01-20,Enero,20,-8.0,-7.5,1950,1957
1950-01-21,Enero,21,-9.4,-7.0,1950,2004
1990-01-22,Enero,22,-7.2,-7.2,1990,2004
1963-01-23,Enero,23,-6.4,-6.2,1963,1989
2011-01-24,Enero,24,-7.6,-6.8,2011,1989
1952-01-25,Enero,25,-7.2,-6.6,1952,1989
1950-01-26,Enero,26,-8.2,-8.0,1950,2007
2007-01-27,Enero,27,-9.4,-5.8,2007,2005
2006-01-28,Enero,28,-12.4,-7.9,2006,1952
2006-01-29,Enero,29,-10.8,-6.6,2006,1963
1951-01-30,Enero,30,-10.0,-9.6,1951,2006
2005-01-31,Enero,31,-5.6,-5.5,2005,2023
