fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1971-01-01,Enero,1,-12.8,-5.2,1971,1981
1971-01-02,Enero,2,-15.4,-4.8,1971,1969
1971-01-03,Enero,3,-13.4,-4.6,1971,1985
1971-01-04,Enero,4,-15.2,-5,1971,1995
1971-01-05,Enero,5,-12.6,-6,1971,1987
1971-01-06,Enero,6,-7.8,-7.6,1971,1985
1985-01-07,Enero,7,-12.6,-6.2,1985,1971
1985-01-08,Enero,8,-14.2,-6.2,1985,1987
1985-01-09,Enero,9,-14,-3.2,1985,1987
1985-01-10,Enero,10,-11.8,-3.8,1985,1971
1985-01-11,Enero,11,-10.6,-5.8,1985,1971
1960-01-12,Enero,12,-10.6,-5.8,1960,2003
1985-01-13,Enero,13,-8.8,-6,1985,2003
1985-01-14,Enero,14,-11.2,-5.5,1985,2003
1985-01-15,Enero,15,-14,-5.8,1985,2003
1985-01-16,Enero,16,-14.2,-5.8,1985,1963
1985-01-17,Enero,17,-9.4,-6.8,1985,1960
2017-01-18,Enero,18,-7.1,-6.2,2017,1987
1994-01-19,Enero,19,-6.5,-6.4,1994,1987
1987-01-20,Enero,20,-6.5,-4.2,1987,1994
1994-01-21,Enero,21,-6.2,-5.2,1994,2000
2000-01-22,Enero,22,-7,-5.5,2000,1994
2011-01-23,Enero,23,-7,-5.5,2011,1994
2011-01-24,Enero,24,-7.2,-6.3,2011,2000
2011-01-25,Enero,25,-7.2,-4.2,2011,1963
2011-01-26,Enero,26,-6.8,-5.5,2011,2005
2005-01-27,Enero,27,-7.6,-6.5,2005,2007
2005-01-28,Enero,28,-9.8,-5.2,2005,1976
1992-01-29,Enero,29,-5,-5,1992,2007
2005-01-30,Enero,30,-5,-3.8,2005,1963
2005-01-31,Enero,31,-4.8,-4.6,2005,1963
