fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1954-02-01,Febrero,1,-2.8,-0.2,1954,1999
1954-02-02,Febrero,2,-2,-0.6,1954,1956
1956-02-03,Febrero,3,-5.4,-3,1956,1963
1956-02-04,Febrero,4,-4.8,-2.1,1956,2012
1956-02-05,Febrero,5,-4,-3.5,1956,2012
2012-02-06,Febrero,6,-2.2,-1.4,2012,1952
2012-02-07,Febrero,7,-1.4,-0.4,2012,1954
2012-02-08,Febrero,8,-1,0.2,2012,1964
1986-02-09,Febrero,9,-1.4,-1.2,1986,2012
1965-02-10,Febrero,10,-2.4,-2,1965,1983
1956-02-11,Febrero,11,-6.6,-2.4,1956,1983
1956-02-12,Febrero,12,-6.2,-2.4,1956,1983
1956-02-13,Febrero,13,-5.4,-2.6,1956,2012
1983-02-14,Febrero,14,-2.8,-2,1983,1973
2010-02-15,Febrero,15,-1.7,-1,2010,1953
1956-02-16,Febrero,16,-1.6,-0.4,1956,1973
1956-02-17,Febrero,17,-2.2,-0.5,1956,2003
1956-02-18,Febrero,18,-1,0.5,1956,2003
1965-02-19,Febrero,19,-4,-1.4,1965,1956
1956-02-20,Febrero,20,-3.5,-3.5,1956,1987
1956-02-21,Febrero,21,-2.5,-1.6,1956,1992
1956-02-22,Febrero,22,-2.2,-1.5,1956,1981
1956-02-23,Febrero,23,-0.2,0.2,1956,1992
1993-02-24,Febrero,24,-0.4,0.4,1993,1979
1993-02-25,Febrero,25,-1.4,-0.4,1993,1981
1988-02-26,Febrero,26,-1.2,-0.6,1988,1993
1988-02-27,Febrero,27,-1.5,-0.4,1988,1958
1988-02-28,Febrero,28,-0.6,0.4,1988,2005
1988-02-29,Febrero,29,0.6,1.1,1988,2004
