fecha,maxima,minima
1954-02-01,5.5,-2.8
1954-02-02,6.6,-2
1956-02-03,3,-5.4
1956-02-04,6,-4.8
1956-02-05,7,-4
2012-02-06,14,-2.2
2012-02-07,13.4,-1.4
2012-02-08,8.6,-1
1986-02-09,11,-1.4
1965-02-10,8.2,-2.4
1956-02-11,2.6,-6.6
1956-02-12,2.4,-6.2
1956-02-13,9.5,-5.4
1983-02-14,10,-2.8
2010-02-15,6,-1.7
1956-02-16,6.6,-1.6
1956-02-17,8,-2.2
1956-02-18,9.4,-1
1965-02-19,7.4,-4
1956-02-20,5.8,-3.5
1956-02-21,10.2,-2.5
1956-02-22,11,-2.2
1956-02-23,9.2,-0.2
1993-02-24,8.5,-0.4
1993-02-25,9.5,-1.4
1988-02-26,12,-1.2
1988-02-27,11,-1.5
1988-02-28,12.5,-0.6
1988-02-29,12.6,0.6
