fecha,maxima,minima
1999-02-01,8.2,-11
1963-02-02,-3.4,-10.4
1963-02-03,4.2,-9
1963-02-04,0.2,-11.6
1963-02-05,1.2,-8.6
1963-02-06,3.5,-10.6
1965-02-07,9.6,-6.8
2015-02-08,7.8,-7.6
1983-02-09,4,-10
1983-02-10,1.6,-10.6
1983-02-11,1.2,-9.4
1964-02-12,10.6,-8
1991-02-13,6.4,-8.8
1983-02-14,4,-11
1991-02-15,5.4,-9.4
1983-02-16,5.4,-9
1983-02-17,7.4,-8.2
2003-02-18,2.9,-9.3
1965-02-19,3,-6
1965-02-20,3.9,-14.5
1965-02-21,5.5,-10.8
1987-02-22,5.4,-9
2018-02-23,10.3,-5.6
2018-02-24,11.7,-5.7
1993-02-25,8.3,-6.8
2005-02-26,5.8,-7.6
1979-02-27,9.4,-6
1973-02-28,15.2,-6.2
1988-02-29,8.4,-3.6
