fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1954-02-01,Febrero,1,-6.3,-5.0,1954,2005
1954-02-02,Febrero,2,-7.0,-4.8,1954,1999
1954-02-03,Febrero,3,-9.6,-5.4,1954,1963
1954-02-04,Febrero,4,-12.8,-6.6,1954,1956
1954-02-05,Febrero,5,-10.4,-5.5,1954,1956
1954-02-06,Febrero,6,-13.4,-4.6,1954,1994
1954-02-07,Febrero,7,-11.0,-4.0,1954,2015
2012-02-08,Febrero,8,-4.2,-3.8,2012,2013
2012-02-09,Febrero,9,-6.6,-4.5,2012,2018
2012-02-10,Febrero,10,-6.0,-5.0,2012,1983
1956-02-11,Febrero,11,-7.6,-6.2,1956,2012
2012-02-12,Febrero,12,-9.2,-7.0,2012,1956
2012-02-13,Febrero,13,-9.6,-7.0,2012,1956
1956-02-14,Febrero,14,-7.4,-5.6,1956,2012
1999-02-15,Febrero,15,-4.4,-3.8,1999,2012
2012-02-16,Febrero,16,-5.3,-4.0,2012,1999
2005-02-17,Febrero,17,-5.3,-4.0,2005,2016
2005-02-18,Febrero,18,-4.4,-4.0,2005,1956
1956-02-19,Febrero,19,-4.8,-4.5,1956,2005
1956-02-20,Febrero,20,-4.4,-4.0,1956,2005
2012-02-21,Febrero,21,-4.2,-3.4,2012,1996
2005-02-22,Febrero,22,-5.5,-4.5,2005,2012
1996-02-23,Febrero,23,-4.0,-3.2,1996,2018
1981-02-24,Febrero,24,-2.6,-2.6,1981,2013
1984-02-25,Febrero,25,-3.0,-2.6,1984,1979
2013-02-26,Febrero,26,-3.2,-2.0,2013,2005
1958-02-27,Febrero,27,-3.5,-3.0,1958,2013
1988-02-28,Febrero,28,-2.6,-2.1,1988,2023
1988-02-29,Febrero,29,-2.4,-2.0,1988,1956
