fecha,maxima,minima
2005-02-01,15.3,-6.4
1981-02-02,8.6,-5.6
1963-02-03,3,-8.8
1963-02-04,-1.6,-11.2
1963-02-05,2.4,-9.2
1963-02-06,5.4,-11.6
1971-02-07,14.2,-12.2
2012-02-08,7.2,-5.5
2012-02-09,8.4,-6.4
1986-02-10,7.4,-7.2
2012-02-11,10.2,-7.6
2012-02-12,10,-7.5
1991-02-13,8.4,-6.2
1999-02-14,8.4,-7.2
1991-02-15,9.5,-6.2
1970-02-16,9.4,-5.4
2003-02-17,8,-5.8
2005-02-18,10.5,-5.3
1987-02-19,8,-7
1965-02-20,7,-6
1987-02-21,8,-5.6
2005-02-22,1.2,-5
2005-02-23,6.2,-4.8
1993-02-24,11.5,-3.6
1993-02-25,8.2,-6
2005-02-26,10.8,-5.5
2005-02-27,13.2,-5
1988-02-28,9.2,-5
1988-02-29,14.8,-4.4
