fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1954-02-01,Febrero,1,-8.0,-6.2,1954,1991
1992-02-02,Febrero,2,-6.2,-5.4,1992,1956
1956-02-03,Febrero,3,-8.8,-7.4,1956,1963
1956-02-04,Febrero,4,-5.6,-5.0,1956,1954
2005-02-05,Febrero,5,-4.8,-4.6,2005,1954
1998-02-06,Febrero,6,-4.2,-3.6,1998,1953
1989-02-07,Febrero,7,-5.0,-4.4,1989,1969
1964-02-08,Febrero,8,-3.4,-2.8,1964,1998
1969-02-09,Febrero,9,-5.0,-3.4,1969,1964
1956-02-10,Febrero,10,-9.4,-4.2,1956,1986
1956-02-11,Febrero,11,-9.6,-6.5,1956,2023
1956-02-12,Febrero,12,-7.0,-5.7,1956,2023
1983-02-13,Febrero,13,-5.0,-4.5,1983,2023
1983-02-14,Febrero,14,-7.0,-1.8,1983,1991
1983-02-15,Febrero,15,-6.8,-4.6,1983,1991
1956-02-16,Febrero,16,-6.6,-3.6,1956,1983
1983-02-17,Febrero,17,-5.8,-3.8,1983,2014
2003-02-18,Febrero,18,-5.8,-4.1,2003,2023
1956-02-19,Febrero,19,-3.6,-2.6,1956,2015
1956-02-20,Febrero,20,-4.2,-2.4,1956,1958
1965-02-21,Febrero,21,-3.2,-2.8,1965,1952
2005-02-22,Febrero,22,-4.2,-4.0,2005,1956
2005-02-23,Febrero,23,-7.0,-5.4,2005,1992
1992-02-24,Febrero,24,-2.8,-2.4,1992,1996
1993-02-25,Febrero,25,-5.4,-3.8,1993,2005
1963-02-26,Febrero,26,-3.8,-3.4,1963,2005
2018-02-27,Febrero,27,-3.5,-3.2,2018,1992
2005-02-28,Febrero,28,-4.4,-2.6,2005,1992
2000-02-29,Febrero,29,-1.0,-0.6,2000,1956
