fecha,maxima,minima
1954-02-01,-3.8,-8
1992-02-02,8.8,-6.2
1956-02-03,-3.2,-8.8
1956-02-04,0,-5.6
2005-02-05,6.4,-4.8
1998-02-06,9.8,-4.2
1989-02-07,11,-5
1964-02-08,7.8,-3.4
1969-02-09,5.8,-5
1956-02-10,2.2,-9.4
1956-02-11,-4,-9.6
1956-02-12,-2,-7
1983-02-13,1.6,-5
1983-02-14,2.6,-7
1983-02-15,5,-6.8
1956-02-16,4.4,-6.6
1983-02-17,8.6,-5.8
2003-02-18,5,-5.8
1956-02-19,0,-3.6
1956-02-20,5.2,-4.2
1965-02-21,6.4,-3.2
2005-02-22,1.8,-4.2
2005-02-23,5.2,-7
1992-02-24,10,-2.8
1993-02-25,8.6,-5.4
1963-02-26,8,-3.8
2018-02-27,6.6,-3.5
2005-02-28,0.8,-4.4
2000-02-29,13.6,-1
