fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1963-02-01,Febrero,1,-5,-3.8,1963,1954
1956-02-02,Febrero,2,-4.3,-3.6,1956,1954
1956-02-03,Febrero,3,-6.4,-6.3,1956,1954
1956-02-04,Febrero,4,-7.5,-5.4,1956,1963
1956-02-05,Febrero,5,-7.7,-2.2,1956,1963
1956-02-06,Febrero,6,-5.5,-2.7,1956,2006
2015-02-07,Febrero,7,-2.8,-2,2015,1953
2018-02-08,Febrero,8,-2.8,-1.6,2018,1965
2012-02-09,Febrero,9,-4.8,-3.4,2012,2015
1956-02-10,Febrero,10,-6.4,-4,1956,1983
1983-02-11,Febrero,11,-8,-5.6,1983,1986
2010-02-12,Febrero,12,-3.1,-3,2010,1983
2010-02-13,Febrero,13,-6.2,-5.9,2010,2012
1983-02-14,Febrero,14,-4.4,-4.3,1983,2010
1953-02-15,Febrero,15,-3.9,-2.8,1953,2010
1983-02-16,Febrero,16,-3.6,-2,1983,1976
1983-02-17,Febrero,17,-1,-1,1983,2003
2005-02-18,Febrero,18,-4.8,-3.5,2005,1953
1953-02-19,Febrero,19,-4.2,-3.8,1953,2005
1958-02-20,Febrero,20,-3.2,-2.4,1958,1981
2005-02-21,Febrero,21,-3.6,-3.4,2005,1981
2005-02-22,Febrero,22,-4,-3.3,2005,1956
2012-02-23,Febrero,23,-2.6,-2,2012,2005
2018-02-24,Febrero,24,-1.4,0.4,2018,2006
1993-02-25,Febrero,25,-2.5,-0.3,1993,2005
2005-02-26,Febrero,26,-3.1,-0.2,2005,1984
2005-02-27,Febrero,27,-1.9,-1.1,2005,2013
1988-02-28,Febrero,28,-1.6,-1.5,1988,2006
1956-02-29,Febrero,29,-0.4,-0.1,1956,2004
