fecha,maxima,minima
1963-02-01,5.8,-5
1956-02-02,3.7,-4.3
1956-02-03,1.8,-6.4
1956-02-04,5.5,-7.5
1956-02-05,6.1,-7.7
1956-02-06,13.5,-5.5
2015-02-07,11.1,-2.8
2018-02-08,10.3,-2.8
2012-02-09,11.8,-4.8
1956-02-10,5.4,-6.4
1983-02-11,6.4,-8
2010-02-12,8.4,-3.1
2010-02-13,7.7,-6.2
1983-02-14,10,-4.4
1953-02-15,9.5,-3.9
1983-02-16,13.4,-3.6
1983-02-17,12.6,-1
2005-02-18,11.4,-4.8
1953-02-19,15.6,-4.2
1958-02-20,12,-3.2
2005-02-21,11.3,-3.6
2005-02-22,8.2,-4
2012-02-23,20.5,-2.6
2018-02-24,12.7,-1.4
1993-02-25,11,-2.5
2005-02-26,13.2,-3.1
2005-02-27,14.3,-1.9
1988-02-28,10.4,-1.6
1956-02-29,18.2,-0.4
