fecha,maxima,minima
1963-07-01,28.4,9.6
1958-07-02,24,10.5
1958-07-03,25,10.5
1958-07-04,29.6,11
1967-07-05,34.6,11.2
1958-07-06,29.6,12
1965-07-07,28,12
1962-07-08,27.6,11.8
1980-07-09,26.4,11.8
1965-07-10,35,12.2
1977-07-11,28.2,10.6
1962-07-12,32,12.6
1961-07-13,29.7,11.9
1956-07-14,24.8,13.6
1968-07-15,31.6,12
1958-07-16,29.7,10.4
1958-07-17,35,10.6
1967-07-18,36.6,12.8
2001-07-19,29.4,12.6
1965-07-20,29.6,13
1971-07-21,31.4,11.6
2007-07-22,32,12.5
1973-07-23,35.4,14
1981-07-24,31.4,13.6
1966-07-25,32,12.8
1966-07-26,27,13
1980-07-27,34.8,12.4
1971-07-28,35.2,12
1977-07-29,27.6,12
1966-07-30,32,11.4
1977-07-31,30.8,12.6
