fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1963-07-01,Julio,1,10.4,12.0,1963,1956
1958-07-02,Julio,2,10.2,12.6,1958,1956
1997-07-03,Julio,3,10.0,10.4,1997,1958
1958-07-04,Julio,4,10.6,11.6,1958,1954
1991-07-05,Julio,5,11.6,12.0,1991,1988
1952-07-06,Julio,6,11.8,12.2,1952,2008
1962-07-07,Julio,7,11.2,12.4,1962,1977
2004-07-08,Julio,8,11.8,12.2,2004,1962
1980-07-09,Julio,9,12.2,12.4,1980,1964
2012-07-10,Julio,10,13.3,13.6,2012,1975
1977-07-11,Julio,11,11.6,12.4,1977,1978
1977-07-12,Julio,12,12.6,13.4,1977,2000
1961-07-13,Julio,13,12.0,12.6,1961,1963
1956-07-14,Julio,14,12.6,12.8,1956,1982
1956-07-15,Julio,15,12.0,12.6,1956,1977
2003-07-16,Julio,16,12.2,12.4,2003,1958
1973-07-17,Julio,17,10.2,13.6,1973,2003
1973-07-18,Julio,18,13.2,13.4,1973,1987
1972-07-19,Julio,19,12.0,12.5,1972,2001
1965-07-20,Julio,20,13.2,14.2,1965,2007
1965-07-21,Julio,21,13.8,14.0,1965,2007
1973-07-22,Julio,22,13.8,14.4,1973,1965
1965-07-23,Julio,23,14.6,15.6,1965,1959
2007-07-24,Julio,24,14.4,14.8,2007,1987
1965-07-25,Julio,25,12.8,15.4,1965,1955
1966-07-26,Julio,26,13.2,13.8,1966,1952
1966-07-27,Julio,27,14.0,14.8,1966,1971
1956-07-28,Julio,28,14.2,14.6,1956,1980
1966-07-29,Julio,29,12.0,12.0,1966,1977
1977-07-30,Julio,30,13.0,13.2,1977,1991
1991-07-31,Julio,31,13.8,14.4,1991,1977
