fecha,maxima,minima
1972-07-01,17.9,10.8
2012-07-02,20,10.6
1972-07-03,20.4,10.9
1980-07-04,18.6,10.8
1978-07-05,16.6,10.6
1980-07-06,20.8,10.4
1978-07-07,16.6,11.4
1978-07-08,18.4,9.4
1980-07-09,15.4,11
1993-07-10,16.2,10
1956-07-11,20.5,11.2
1972-07-12,20.6,11.5
1980-07-13,17.8,10.4
1968-07-14,16.7,11
2001-07-15,18.6,12.4
1958-07-16,16.6,11.7
1977-07-17,20.4,11
2008-07-18,20.8,11.2
1966-07-19,17.5,10.6
1967-07-20,21.9,12
1958-07-21,21.4,11.8
1987-07-22,19.2,12.4
1973-07-23,20.7,12.2
1981-07-24,16.6,11
1981-07-25,18.4,11.6
1981-07-26,18.6,11.2
1980-07-27,24.4,11.4
1977-07-28,17.4,12.6
1977-07-29,16.4,12.4
1980-07-30,22.6,11.8
1978-07-31,17.8,12.6
