fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1997-07-01,Julio,1,12.2,12.6,1997,2002
2017-07-02,Julio,2,12.1,12.3,2017,1992
1993-07-03,Julio,3,12.4,13,1993,1991
1990-07-04,Julio,4,10.7,13,1990,1981
2007-07-05,Julio,5,11.5,11.6,2007,1978
1997-07-06,Julio,6,11.5,12.2,1997,1988
1993-07-07,Julio,7,11.2,11.5,1993,1992
1988-07-08,Julio,8,11,11.6,1988,1969
1996-07-09,Julio,9,9.5,11,1996,2004
1980-07-10,Julio,10,11.6,11.6,1980,2014
1993-07-11,Julio,11,10,11.2,1993,1992
1993-07-12,Julio,12,10.3,10.5,1993,2004
1993-07-13,Julio,13,10,10.8,1993,2004
2002-07-14,Julio,14,10.5,12.5,2002,2008
1998-07-15,Julio,15,10.7,11.8,1998,1988
1988-07-16,Julio,16,11,12.6,1988,1970
1980-07-17,Julio,17,12.6,13.4,1980,1977
1974-07-18,Julio,18,13,13.4,1974,2009
1966-07-19,Julio,19,12,12.4,1966,1997
1986-07-20,Julio,20,12,12.6,1986,2001
1993-07-21,Julio,21,11,14,1993,1960
1993-07-22,Julio,22,11,13.6,1993,2008
2011-07-23,Julio,23,12.4,12.6,2011,1993
2011-07-24,Julio,24,11.8,12.7,2011,2010
1981-07-25,Julio,25,13,14.5,1981,2010
1991-07-26,Julio,26,12.5,14,1991,1977
1987-07-27,Julio,27,11.2,11.7,1987,1991
1987-07-28,Julio,28,12.6,14.5,1987,1998
1977-07-29,Julio,29,12.4,14,1977,2000
1969-07-30,Julio,30,13.4,13.4,1969,1988
1987-07-31,Julio,31,12.2,13.8,1987,1982
