fecha,maxima,minima
1997-07-01,25.4,14.6
1954-07-02,25.6,15.6
1971-07-03,25.6,16
1978-07-04,31.2,15.4
1975-07-05,27.6,14.6
1984-07-06,27.6,14
1975-07-07,26.4,14.8
1961-07-08,30.6,15
1997-07-09,32.4,15
1978-07-10,30,14.6
1961-07-11,30.4,15
1980-07-12,25.8,15.4
1956-07-13,32.6,15.6
1980-07-14,25,14.6
1980-07-15,28,15.2
2002-07-16,28.4,16.6
1981-07-17,26.8,16.8
1956-07-18,31,10
1973-07-19,29,14.6
1973-07-20,27.4,16
1973-07-21,29,16.2
1974-07-22,28.4,17
1973-07-23,27.6,16.6
1980-07-24,27.6,17
1975-07-25,27.4,16.6
1973-07-26,30,16
1954-07-27,29.6,17
1980-07-28,30.4,17.6
1966-07-29,25,17
1966-07-30,33,16
1977-07-31,26,16
