fecha,maxima,minima
2012-07-01,25.6,7.1
1984-07-02,25.6,9.8
1997-07-03,20.8,7.8
1975-07-04,27,9
1978-07-05,21.4,8.2
1974-07-06,31,8.8
2008-07-07,24.9,8.6
1996-07-08,26.8,6.4
1975-07-09,25.6,8.8
1975-07-10,26,9
1993-07-11,21.8,6.8
1993-07-12,27.8,7.6
2008-07-13,27.5,8.3
1974-07-14,24,8.2
1974-07-15,27,7.8
2012-07-16,35.4,10.9
2003-07-17,29,8.4
1974-07-18,25,7
1974-07-19,27,8
1974-07-20,30.2,8
1993-07-21,27.8,8.6
1973-07-22,25.6,7.4
1973-07-23,26,7.6
1988-07-24,26.6,9.4
1981-07-25,25.6,9.6
1973-07-26,30,10.4
1995-07-27,31,9.6
2019-07-28,30.8,10.4
2008-07-29,29.3,9.8
1988-07-30,30,9
1977-07-31,25.2,8
