fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1980-07-01,Julio,1,7.4,8.5,1980,2002
1954-07-02,Julio,2,7.3,9.6,1954,1988
1997-07-03,Julio,3,8,9.3,1997,1978
1990-07-04,Julio,4,8,8.4,1990,1980
2002-07-05,Julio,5,8,10,2002,1954
1965-07-06,Julio,6,7,8.3,1965,1954
2002-07-07,Julio,7,8,8.4,2002,1965
1954-07-08,Julio,8,8,8,1954,1978
2004-07-09,Julio,9,8,8.4,2004,1965
1965-07-10,Julio,10,8.5,9.6,1965,1980
1956-07-11,Julio,11,9.5,9.6,1956,1993
2004-07-12,Julio,12,9.5,9.8,2004,1965
1993-07-13,Julio,13,8.6,8.8,1993,1960
1963-07-14,Julio,14,9.5,9.8,1963,1960
2000-07-15,Julio,15,9.5,10.4,2000,1974
1967-07-16,Julio,16,9.4,11,1967,1958
1977-07-17,Julio,17,7.4,8.2,1977,1954
1980-07-18,Julio,18,9,10,1980,1966
1966-07-19,Julio,19,8,10.6,1966,1980
1966-07-20,Julio,20,10,10.4,1966,1987
2001-07-21,Julio,21,8,10,2001,1966
1980-07-22,Julio,22,10,11.2,1980,1960
1973-07-23,Julio,23,9.4,10.4,1973,1965
1976-07-24,Julio,24,9.8,10.8,1976,1981
2007-07-25,Julio,25,9.2,11.2,2007,1981
1981-07-26,Julio,26,10,10.1,1981,1974
1977-07-27,Julio,27,8.9,9.4,1977,1980
1965-07-28,Julio,28,9.5,11.2,1965,1954
1966-07-29,Julio,29,9.2,10.4,1966,1965
1966-07-30,Julio,30,9.5,10,1966,1980
1982-07-31,Julio,31,8.4,8.8,1982,1966
