fecha,maxima,minima
1972-07-01,17.2,9.6
1962-07-02,21.8,9.6
1962-07-03,23.2,6
1980-07-04,20,10
1963-07-05,23.2,11
1965-07-06,20,10
1962-07-07,21,8.8
1962-07-08,22.4,9
1962-07-09,23,8
1964-07-10,21.4,10.6
2019-07-11,25.1,6
1972-07-12,22.8,8.6
1993-07-13,24.7,11
1964-07-14,24.4,11
1974-07-15,21.2,10.8
1988-07-16,21.2,11.2
1980-07-17,20.6,9.8
1980-07-18,20.4,10.8
1966-07-19,20,11
1981-07-20,21.8,11.4
1980-07-21,21.6,11.2
2016-07-22,25.3,7.7
1969-07-23,25.4,8
1970-07-24,24,11.6
1968-07-25,22,11.4
1965-07-26,20.6,10
1965-07-27,21.8,10
1965-07-28,22.6,10.4
1972-07-29,22.2,10.6
1961-07-30,23.2,11.2
1962-07-31,26,11
