fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1954-07-01,Julio,1,4.0,4.8,1954,1977
1954-07-02,Julio,2,4.3,4.6,1954,2012
1956-07-03,Julio,3,5.9,6.6,1956,1958
1971-07-04,Julio,4,1.2,6.0,1971,1960
1978-07-05,Julio,5,4.0,6.3,1978,1954
1978-07-06,Julio,6,5.8,5.8,1978,1997
1978-07-07,Julio,7,4.4,5.4,1978,2001
1969-07-08,Julio,8,4.2,5.6,1969,2008
2004-07-09,Julio,9,4.4,5.4,2004,1996
1971-07-10,Julio,10,2.0,5.8,1971,1980
1993-07-11,Julio,11,4.4,4.7,1993,1956
2004-07-12,Julio,12,5.6,6.6,2004,2000
2004-07-13,Julio,13,5.4,6.2,2004,1961
2016-07-14,Julio,14,5.5,6.6,2016,2008
2016-07-15,Julio,15,5.7,6.2,2016,1974
1957-07-16,Julio,16,5.8,6.2,1957,1966
1980-07-17,Julio,17,4.0,4.5,1980,1958
1974-07-18,Julio,18,6.4,7.0,1974,1958
1966-07-19,Julio,19,4.8,6.2,1966,1974
1966-07-20,Julio,20,5.3,5.6,1966,2001
1980-07-21,Julio,21,6.6,7.3,1980,1965
1977-07-22,Julio,22,6.8,7.6,1977,1976
1958-07-23,Julio,23,6.0,6.6,1958,1973
2010-07-24,Julio,24,7.2,8.1,2010,1956
1981-07-25,Julio,25,5.8,7.0,1981,1951
1977-07-26,Julio,26,7.0,7.4,1977,1981
1987-07-27,Julio,27,5.6,6.2,1987,1977
1966-07-28,Julio,28,7.0,8.0,1966,1998
1977-07-29,Julio,29,6.2,7.4,1977,1957
1969-07-30,Julio,30,4.8,7.6,1969,1977
1954-07-31,Julio,31,5.3,7.0,1954,1977
