fecha,maxima,minima
1954-07-01,18.9,8.8
1954-07-02,20,8.5
1957-07-03,25,10.8
1963-07-04,23.6,11
1952-07-05,25.2,12
1982-07-06,22,11.2
1979-07-07,21.4,12.2
1954-07-08,18.4,11.8
1959-07-09,22,12
1954-07-10,18.2,12
1956-07-11,20,10.6
1972-07-12,20.6,11.6
1973-07-13,20.2,12.8
1967-07-14,23.4,12.4
1972-07-15,20.6,11
1956-07-16,18.6,12.2
1970-07-17,35.8,11
1954-07-18,19.4,12
1954-07-19,19,11.8
1981-07-20,32,12.6
1954-07-21,17.4,11.6
1954-07-22,19,11.8
1980-07-23,35.2,12.5
1956-07-24,21,12.4
1958-07-25,21,12.6
1986-07-26,21.4,13
2007-07-27,28.3,13.7
1954-07-28,22.6,12.5
2006-07-29,22.1,13.7
2006-07-30,22.8,13.3
1954-07-31,18.8,13
