fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1995-06-01,Junio,1,-0.4,3.0,1995,1986
1962-06-02,Junio,2,0.7,2.0,1962,1983
1961-06-03,Junio,3,3.4,3.4,1961,1962
1996-06-04,Junio,4,2.6,3.4,1996,1989
1988-06-05,Junio,5,0.6,2.5,1988,1984
1984-06-06,Junio,6,1.0,3.2,1984,1988
1986-06-07,Junio,7,0.4,1.8,1986,1988
1959-06-08,Junio,8,3.2,3.4,1959,1992
1985-06-09,Junio,9,3.2,4.0,1985,1984
1994-06-10,Junio,10,2.2,2.6,1994,1987
1994-06-11,Junio,11,1.6,3.0,1994,1971
1993-06-12,Junio,12,2.0,2.6,1993,1994
1994-06-13,Junio,13,1.4,3.2,1994,1986
1986-06-14,Junio,14,2.6,4.0,1986,1977
1971-06-15,Junio,15,4.2,4.4,1971,1987
1987-06-16,Junio,16,-1.0,5.0,1987,1971
1987-06-17,Junio,17,1.8,3.5,1987,1978
1991-06-18,Junio,18,1.2,4.3,1991,1967
1983-06-19,Junio,19,2.0,3.4,1983,1991
1992-06-20,Junio,20,5.2,5.5,1992,1985
1986-06-21,Junio,21,1.2,1.2,1986,1992
1986-06-22,Junio,22,4.6,5.2,1986,1987
1996-06-23,Junio,23,4.0,5.0,1996,1984
1996-06-24,Junio,24,3.0,4.8,1996,1986
1996-06-25,Junio,25,3.8,5.6,1996,1988
1996-06-26,Junio,26,2.6,7.0,1996,2022
1980-06-27,Junio,27,5.1,6.3,1980,1978
1997-06-28,Junio,28,3.4,5.0,1997,1991
1991-06-29,Junio,29,4.6,7.2,1991,1997
1997-06-30,Junio,30,6.0,6.2,1997,2017
