fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2006-06-01,Junio,1,5.1,8.6,2006,1984
1980-06-02,Junio,2,8.6,8.6,1980,2013
2013-06-03,Junio,3,7.6,8.1,2013,2006
1984-06-04,Junio,4,7.2,7.6,1984,1973
1975-06-05,Junio,5,7.6,8.4,1975,1976
1976-06-06,Junio,6,7.6,8.0,1976,1984
1984-06-07,Junio,7,5.2,9.0,1984,1976
1988-06-08,Junio,8,8.0,9.4,1988,1976
2005-06-09,Junio,9,8.5,8.6,2005,2020
2020-06-10,Junio,10,8.8,9.1,2020,2013
2002-06-11,Junio,11,9.4,9.8,2002,1977
1998-06-12,Junio,12,6.0,8.5,1998,2019
2019-06-13,Junio,13,8.5,8.8,2019,1994
2006-06-14,Junio,14,10.6,11.1,2006,2020
1977-06-15,Junio,15,9.2,9.4,1977,1974
1987-06-16,Junio,16,8.0,10.0,1987,1998
1979-06-17,Junio,17,8.0,9.0,1979,2016
1987-06-18,Junio,18,8.2,9.8,1987,1979
2016-06-19,Junio,19,8.1,9.2,2016,1978
1998-06-20,Junio,20,9.4,9.6,1998,2016
2010-06-21,Junio,21,9.3,10.4,2010,1992
1973-06-22,Junio,22,8.6,10.7,1973,2010
1999-06-23,Junio,23,11.4,11.6,1999,1980
1996-06-24,Junio,24,8.0,9.0,1996,1980
1995-06-25,Junio,25,11.0,11.6,1995,1977
1978-06-26,Junio,26,8.8,11.8,1978,1973
1978-06-27,Junio,27,7.0,10.4,1978,1980
1997-06-28,Junio,28,9.4,13.2,1997,1981
1997-06-29,Junio,29,9.2,10.4,1997,1981
1997-06-30,Junio,30,8.2,9.6,1997,1981
