fecha,maxima,minima
1975-06-01,24.5,10.5
1970-06-02,24.5,11
1975-06-03,23.6,9.8
1975-06-04,23.5,10.2
1968-06-05,22.4,10.5
1968-06-06,24,10.5
1992-06-07,26,10.4
1959-06-08,23,9.5
1992-06-09,25.6,11.9
1992-06-10,24,10
1992-06-11,29.5,11.5
1973-06-12,24,12
1994-06-13,22.6,11.4
1977-06-14,22,9.6
1972-06-15,26.4,10.9
1972-06-16,22.6,10
2010-06-17,24.7,13.3
1971-06-18,22.5,11.2
1979-06-19,30,12
1971-06-20,24.3,11
1971-06-21,26,11.5
1977-06-22,24.6,12.6
1973-06-23,24.2,13
1974-06-24,28.8,12.4
1950-06-25,29,10.5
1969-06-26,25,14
1968-06-27,26,13
1972-06-28,24.3,13.5
1997-06-29,26.2,14.2
1980-06-30,24.4,12.4
