fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2006-06-01,Junio,1,6.5,6.9,2006,2014
1973-06-02,Junio,2,3,5.4,1973,1975
1975-06-03,Junio,3,2.4,6.8,1975,1989
2021-06-04,Junio,4,5.9,6,2021,1975
1988-06-05,Junio,5,5.6,6,1988,1984
1974-06-06,Junio,6,6.8,7.2,1974,1989
1986-06-07,Junio,7,5.4,6.6,1986,1974
2019-06-08,Junio,8,4.8,5.4,2019,1999
2002-06-09,Junio,9,6,6.4,2002,1987
2000-06-10,Junio,10,5,5.8,2000,1974
2001-06-11,Junio,11,6.8,7,2001,1974
1998-06-12,Junio,12,5,6.3,1998,2019
1977-06-13,Junio,13,6.2,6.3,1977,2012
1977-06-14,Junio,14,5,7.1,1977,2019
1977-06-15,Junio,15,7,7.8,1977,1987
1987-06-16,Junio,16,4.8,6.4,1987,2019
1987-06-17,Junio,17,5.6,6.2,1987,1991
1991-06-18,Junio,18,6,7,1991,1975
1978-06-19,Junio,19,6,6.6,1978,1991
1978-06-20,Junio,20,7,8.2,1978,1985
1973-06-21,Junio,21,7.6,8.6,1973,1987
2012-06-22,Junio,22,6.6,7.4,2012,1973
1997-06-23,Junio,23,7.6,8,1997,1977
2013-06-24,Junio,24,6.8,8.2,2013,1986
1978-06-25,Junio,25,7.2,9.3,1978,2013
1994-06-26,Junio,26,8.4,9,1994,2007
1980-06-27,Junio,27,8.2,8.2,1980,2007
1997-06-28,Junio,28,5,7.2,1997,1978
1981-06-29,Junio,29,8.6,9.6,1981,1991
2014-06-30,Junio,30,9.7,9.8,2014,1977
