fecha,maxima,minima
2006-06-01,30,6.5
1973-06-02,25,3
1975-06-03,23.6,2.4
1975-06-04,30.6,6
1988-06-05,24.4,5.6
1974-06-06,26.4,6.8
1986-06-07,24.6,5.4
2019-06-08,21.5,4.8
2002-06-09,20,6
2000-06-10,20.6,5
2001-06-11,27.2,6.8
1998-06-12,25.8,5
1977-06-13,18.4,6.2
1977-06-14,21.4,5
1977-06-15,26,7
1987-06-16,21,4.8
1987-06-17,27.6,5.6
1991-06-18,23.6,6
1978-06-19,22.6,6
1978-06-20,22.4,7
1973-06-21,22.6,7.6
2012-06-22,25.3,6.6
1997-06-23,24.6,7.6
2013-06-24,30,6.8
1978-06-25,19,7.2
1994-06-26,28.8,8.4
1980-06-27,24,8.2
1997-06-28,15.8,5
1981-06-29,23.2,8.6
2014-06-30,26.1,9.7
