fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1980-06-01,Junio,1,4,4.2,1980,1951
1973-06-02,Junio,2,4.2,5.2,1973,1951
1975-06-03,Junio,3,4,4.6,1975,1984
1953-06-04,Junio,4,4.8,5.7,1953,2021
1953-06-05,Junio,5,4,5,1953,1972
1953-06-06,Junio,6,5,5.7,1953,1992
1960-06-07,Junio,7,5.6,6,1960,1958
1999-06-08,Junio,8,4.6,5,1999,1959
1956-06-09,Junio,9,6.2,6.6,1956,1999
1953-06-10,Junio,10,5.4,5.6,1953,2019
1972-06-11,Junio,11,5,5.6,1972,1977
1998-06-12,Junio,12,5.8,6.4,1998,1952
1977-06-13,Junio,13,6,6.1,1977,2019
2019-06-14,Junio,14,4.5,5,2019,1977
1977-06-15,Junio,15,6,6.4,1977,2011
1971-06-16,Junio,16,4,6.4,1971,1987
1971-06-17,Junio,17,6,6.9,1971,2010
1975-06-18,Junio,18,5,5.8,1975,1974
1971-06-19,Junio,19,5.2,5.2,1971,1978
1962-06-20,Junio,20,6.5,7,1962,1951
1954-06-21,Junio,21,6,6.6,1954,1980
1968-06-22,Junio,22,4.2,7.2,1968,1977
1977-06-23,Junio,23,4.8,5.8,1977,1969
1951-06-24,Junio,24,5.8,6.8,1951,1992
1992-06-25,Junio,25,7,7.6,1992,1963
1951-06-26,Junio,26,6.4,6.4,1951,1959
1980-06-27,Junio,27,7.2,7.4,1980,1978
1972-06-28,Junio,28,6.4,6.4,1972,1997
1954-06-29,Junio,29,7,7,1954,1963
1972-06-30,Junio,30,3.4,6.5,1972,1954
