fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1958-06-01,Junio,1,9,10.2,1958,1969
1983-06-02,Junio,2,10,10.5,1983,1957
1984-06-03,Junio,3,8.4,10.6,1984,1975
1958-06-04,Junio,4,11,11.4,1958,1975
1953-06-05,Junio,5,9.8,12,1953,1951
1984-06-06,Junio,6,8.8,9.4,1984,1953
1953-06-07,Junio,7,9.5,10.4,1953,1954
1965-06-08,Junio,8,10.4,12.5,1965,1951
1987-06-09,Junio,9,12,12.4,1987,1971
1977-06-10,Junio,10,9.8,10.6,1977,1966
1971-06-11,Junio,11,10.6,12,1971,1957
1971-06-12,Junio,12,10,12,1971,1972
1977-06-13,Junio,13,10,12.4,1977,1980
1977-06-14,Junio,14,10,12.2,1977,1972
1972-06-15,Junio,15,10,10.6,1972,1971
1972-06-16,Junio,16,11,11.8,1972,1978
1978-06-17,Junio,17,10.2,11.6,1978,1971
1978-06-18,Junio,18,10,13,1978,1970
1978-06-19,Junio,19,11,12.5,1978,1967
1953-06-20,Junio,20,11.9,12.4,1953,1978
1986-06-21,Junio,21,11.8,12.6,1986,1977
1986-06-22,Junio,22,12.6,13,1986,1977
1974-06-23,Junio,23,11.6,12.8,1974,1977
1978-06-24,Junio,24,12.6,13.3,1978,1992
1958-06-25,Junio,25,13.8,14,1958,1978
1958-06-26,Junio,26,13.4,13.6,1958,1974
1997-06-27,Junio,27,12.8,14,1997,1967
1958-06-28,Junio,28,14,15,1958,1973
1997-06-29,Junio,29,14.2,14.4,1997,1977
1972-06-30,Junio,30,12.6,13.5,1972,1953
