fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1959-06-01,Junio,1,10.2,10.3,1959,1957
1956-06-02,Junio,2,9,10,1956,1959
1972-06-03,Junio,3,10.2,10.4,1972,1982
1982-06-04,Junio,4,9.5,10.5,1982,1954
1952-06-05,Junio,5,9.5,10,1952,1982
1957-06-06,Junio,6,9,10.2,1957,1983
2007-06-07,Junio,7,8.8,10,2007,1954
1954-06-08,Junio,8,9.8,10,1954,1957
2007-06-09,Junio,9,10,11,2007,1956
2007-06-10,Junio,10,10.5,11,2007,1956
2007-06-11,Junio,11,11,11,2007,2015
1957-06-12,Junio,12,9,10,1957,1956
1957-06-13,Junio,13,11,11.2,1957,1952
1962-06-14,Junio,14,10,10,1962,1977
1952-06-15,Junio,15,10.5,10.5,1952,1953
1960-06-16,Junio,16,10,10.2,1960,2006
1952-06-17,Junio,17,10,10,1952,1954
1953-06-18,Junio,18,9.4,9.5,1953,1952
1952-06-19,Junio,19,9.5,10.9,1952,2007
1952-06-20,Junio,20,9,11,1952,1959
2014-06-21,Junio,21,10.2,11.2,2014,1974
1957-06-22,Junio,22,11.2,11.4,1957,1976
1973-06-23,Junio,23,10,11.6,1973,1956
1973-06-24,Junio,24,8.8,11.6,1973,1956
1954-06-25,Junio,25,11.4,11.6,1954,1956
1958-06-26,Junio,26,11,11.4,1958,1963
1963-06-27,Junio,27,10.2,10.8,1963,1956
1956-06-28,Junio,28,9.5,11.6,1956,2007
2006-06-29,Junio,29,10.5,12,2006,1956
2006-06-30,Junio,30,11.2,12,2006,1954
