fecha,maxima,minima
1959-06-01,17.2,10.2
1956-06-02,17.8,9
1972-06-03,18.6,10.2
1982-06-04,18.9,9.5
1952-06-05,23,9.5
1957-06-06,18.2,9
2007-06-07,20.2,8.8
1954-06-08,21.5,9.8
2007-06-09,19.9,10
2007-06-10,21,10.5
2007-06-11,20,11
1957-06-12,18.2,9
1957-06-13,21.6,11
1962-06-14,19.6,10
1952-06-15,21.2,10.5
1960-06-16,20,10
1952-06-17,20.5,10
1953-06-18,19.6,9.4
1952-06-19,20,9.5
1952-06-20,19.4,9
2014-06-21,22.3,10.2
1957-06-22,21.6,11.2
1973-06-23,19,10
1973-06-24,19.8,8.8
1954-06-25,18.9,11.4
1958-06-26,19.5,11
1963-06-27,21,10.2
1956-06-28,21.8,9.5
2006-06-29,21,10.5
2006-06-30,21.4,11.2
